rank,interneuron_id,neuron_name,cluster,suggested_experiments
1,720575941524114276,720575941524114276,5,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Test during maneuvers (integrates power+steering); Compare straight flight vs turns; Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
2,720575941511393233,720575941511393233,5,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Test during maneuvers (integrates power+steering); Compare straight flight vs turns; Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
3,720575941671138727,720575941671138727,5,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Test during maneuvers (integrates power+steering); Compare straight flight vs turns; Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
4,720575941623108298,720575941623108298,5,Optogenetic activation (characterize motor output); Test during maneuvers (integrates power+steering); Compare straight flight vs turns; Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
5,720575941457802480,720575941457802480,4,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Test during maneuvers (integrates power+steering); Compare straight flight vs turns; Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
6,720575941474741819,720575941474741819,4,Optogenetic activation (characterize motor output); Test during maneuvers (integrates power+steering); Compare straight flight vs turns; Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
7,720575941669049587,720575941669049587,4,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
8,720575941437525589,720575941437525589,4,Optogenetic activation (characterize motor output); Test during maneuvers (integrates power+steering); Compare straight flight vs turns; Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
9,720575941564147346,720575941564147346,4,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
10,720575941456348575,720575941456348575,2,Optogenetic activation (characterize motor output); Test during maneuvers (integrates power+steering); Compare straight flight vs turns; Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
11,720575941450532174,720575941450532174,3,Optogenetic activation (characterize motor output); Test during maneuvers (integrates power+steering); Compare straight flight vs turns; Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
12,720575941527126712,720575941527126712,4,Optogenetic activation (characterize motor output); Test during maneuvers (integrates power+steering); Compare straight flight vs turns; Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
