source,target,weight,neuropil,nt_type
720575941350374960,720575941643100754,35,VNC_WTct_R,
720575941350409264,720575941547315060,35,VNC_HTct_L,
720575941351927600,720575941645041313,26,VNC_WTct_L,
720575941399253283,720575941549822781,26,VNC_WTct_R,
720575941399264291,720575941645403000,25,VNC_WTct_L,
720575941399309603,720575941521196211,27,VNC_WTct_L,
720575941400818723,720575941513173763,36,VNC_HTct_R,
720575941400818723,720575941580669817,26,VNC_HTct_R,
720575941401776931,720575941580669817,26,VNC_WTct_R,
720575941401776931,720575941655597785,28,VNC_WTct_R,
720575941402032240,720575941463144336,27,VNC_WTct_R,
720575941402032240,720575941479034563,47,VNC_WTct_R,
720575941402032240,720575941507955269,26,VNC_WTct_L,
720575941402032240,720575941519783640,29,VNC_WTct_L,
720575941402032240,720575941533190337,43,VNC_WTct_R,
720575941402032240,720575941583644382,46,VNC_WTct_R,
720575941402032240,720575941596050112,43,VNC_WTct_R,
720575941402032240,720575941597489344,28,VNC_WTct_R,
720575941402032240,720575941640465439,30,VNC_WTct_L,
720575941402032240,720575941645403000,36,VNC_WTct_L,
720575941404452720,720575941534583786,46,VNC_WTct_L,
720575941407795118,720575941463144336,31,VNC_WTct_R,
720575941407795118,720575941479034563,41,VNC_WTct_R,
720575941407795118,720575941507955269,31,VNC_WTct_L,
720575941407795118,720575941519783640,42,VNC_WTct_L,
720575941407795118,720575941533190337,33,VNC_WTct_R,
720575941407795118,720575941534583786,29,VNC_WTct_L,
720575941407795118,720575941583644382,30,VNC_WTct_R,
720575941407795118,720575941596050112,39,VNC_WTct_R,
720575941407795118,720575941640465439,28,VNC_WTct_L,
720575941407795118,720575941645403000,35,VNC_WTct_L,
720575941408464299,720575941547394081,25,VNC_WTct_L,
720575941408509867,720575941507955269,27,VNC_WTct_L,
720575941408509867,720575941519783640,31,VNC_WTct_L,
720575941408509867,720575941583644382,27,VNC_WTct_R,
720575941408509867,720575941596050112,34,VNC_WTct_R,
720575941410007663,720575941630940642,27,VNC_HTct_L,
720575941410025071,720575941630940642,34,VNC_WTct_L,
720575941412443540,720575941655597785,39,VNC_IntTct_R,
720575941413308561,720575941655597785,33,VNC_WTct_R,
720575941414456212,720575941483845954,26,VNC_T2_MesoNm_L,
720575941415476252,720575941463144336,29,VNC_WTct_R,
720575941415476252,720575941479034563,40,VNC_WTct_R,
720575941415476252,720575941596050112,39,VNC_WTct_R,
720575941415476252,720575941643100754,29,VNC_WTct_R,
720575941428412809,720575941624155644,51,VNC_WTct_L,
720575941429556655,720575941630940642,57,VNC_HTct_L,
720575941430294703,720575941547394081,25,VNC_WTct_L,
720575941430389006,720575941458961604,57,VNC_HTct_R,
720575941430842209,720575941549822781,32,VNC_HTct_R,
720575941430842209,720575941655597785,31,VNC_HTct_R,
720575941431099567,720575941629172716,25,VNC_WTct_R,
720575941431099567,720575941643100754,91,VNC_WTct_R,
720575941431311575,720575941643100754,27,VNC_HTct_L,
720575941431311575,720575941643100754,25,VNC_WTct_L,
720575941431311575,720575941645041313,43,VNC_HTct_L,
720575941431311575,720575941645041313,112,VNC_WTct_L,
720575941433406752,720575941624155644,48,VNC_WTct_L,
720575941435581740,720575941475745898,45,VNC_WTct_R,
720575941435780114,720575941630940642,33,VNC_WTct_L,
720575941436391698,720575941459347411,30,VNC_WTct_L,
720575941436996882,720575941456201887,41,VNC_HTct_L,
720575941436996882,720575941456201887,25,VNC_WTct_L,
720575941436996882,720575941459347411,32,VNC_HTct_L,
720575941437157676,720575941547394081,26,VNC_WTct_L,
720575941437158956,720575941475745898,27,VNC_WTct_R,
720575941437603669,720575941463144336,25,VNC_WTct_R,
720575941437603669,720575941479034563,31,VNC_WTct_R,
720575941437603669,720575941596050112,60,VNC_WTct_R,
720575941438261845,720575941547394081,30,VNC_WTct_L,
720575941438659551,720575941655597785,43,VNC_WTct_R,
720575941438723263,720575941513173763,30,VNC_HTct_R,
720575941438729919,720575941507955269,26,VNC_WTct_L,
720575941438729919,720575941519783640,42,VNC_WTct_L,
720575941438729919,720575941534583786,61,VNC_WTct_L,
720575941438729919,720575941640465439,29,VNC_WTct_L,
720575941438748351,720575941624155644,82,VNC_WTct_L,
720575941438935131,720575941624155644,53,VNC_WTct_L,
720575941438951515,720575941533190337,26,VNC_WTct_R,
720575941438951515,720575941583644382,25,VNC_WTct_R,
720575941439017423,720575941542412805,182,VNC_HTct_L,
720575941439017423,720575941542412805,33,VNC_WTct_L,
720575941439017423,720575941547315060,100,VNC_HTct_L,
720575941439063503,720575941456201887,29,VNC_HTct_L,
720575941439063503,720575941630940642,37,VNC_HTct_L,
720575941440620123,720575941596050112,33,VNC_WTct_R,
720575941441993167,720575941459347411,25,VNC_WTct_L,
720575941441993167,720575941643100754,52,VNC_WTct_R,
720575941442379178,720575941643100754,31,VNC_WTct_R,
720575941445311658,720575941596050112,29,VNC_WTct_R,
720575941446990261,720575941507955269,26,VNC_WTct_L,
720575941446990261,720575941519783640,29,VNC_WTct_L,
720575941446990261,720575941534583786,39,VNC_WTct_L,
720575941446990261,720575941645403000,27,VNC_WTct_L,
720575941447025845,720575941624155644,25,VNC_WTct_L,
720575941447294045,720575941507955269,27,VNC_WTct_L,
720575941447294045,720575941519783640,30,VNC_WTct_L,
720575941447294045,720575941534583786,54,VNC_WTct_L,
720575941447363677,720575941513173763,45,VNC_WTct_R,
720575941447591246,720575941463144336,41,VNC_WTct_R,
720575941447591246,720575941583644382,25,VNC_WTct_R,
720575941449258106,720575941459347411,37,VNC_WTct_L,
720575941449258106,720575941624155644,27,VNC_WTct_L,
720575941449258106,720575941645041313,34,VNC_HTct_L,
720575941449835898,720575941519783640,25,VNC_WTct_L,
720575941449835898,720575941534583786,31,VNC_WTct_L,
720575941449835898,720575941640465439,32,VNC_WTct_L,
720575941449835898,720575941645403000,42,VNC_WTct_L,
720575941450477225,720575941547394081,31,VNC_WTct_L,
720575941450532174,720575941475745898,49,VNC_IntTct_R,
720575941450532174,720575941475745898,100,VNC_WTct_R,
720575941450628218,720575941475745898,26,VNC_IntTct_R,
720575941451662663,720575941643100754,25,VNC_WTct_R,
720575941452198707,720575941489673420,29,VNC_IntTct_L,
720575941452198707,720575941489673420,81,VNC_WTct_L,
720575941452199475,720575941489673420,85,VNC_WTct_L,
720575941456340895,720575941643100754,38,VNC_WTct_R,
720575941456348575,720575941456201887,39,VNC_HTct_L,
720575941456348575,720575941459347411,48,VNC_HTct_L,
720575941456348575,720575941630940642,61,VNC_HTct_L,
720575941456667373,720575941468288375,48,VNC_WTct_R,
720575941456667373,720575941513173763,37,VNC_WTct_R,
720575941456678893,720575941547394081,34,VNC_WTct_L,
720575941457147206,720575941513173763,66,VNC_HTct_R,
720575941457147206,720575941516770670,32,VNC_HTct_R,
720575941457147206,720575941549822781,25,VNC_HTct_R,
