dn_id,dn_name,primary_cluster,specialization,n_clusters_targeted,total_connectivity,n_in_targets,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
720575941638407199,DNa15,3,steering_control,5,1172,112,355.0,190.0,549.0,6.0,72.0
720575941504652482,DNxn124,5,steering_control,5,1138,206,43.0,277.0,331.0,145.0,342.0
720575941440280767,DNa15,3,steering_control,5,1134,119,342.0,293.0,417.0,18.0,64.0
720575941612044518,DNa04,3,steering_control,5,1044,131,290.0,227.0,314.0,20.0,193.0
720575941411441323,DNxn124,3,steering_control,5,1030,182,24.0,223.0,342.0,112.0,329.0
720575941496011719,DNa16,2,steering_control,5,971,66,89.0,391.0,76.0,61.0,354.0
720575941533704067,DNp31,4,power_control,5,946,138,89.0,212.0,222.0,227.0,196.0
720575941568870770,DNa10,3,steering_control,5,921,190,44.0,130.0,422.0,118.0,207.0
720575941552726407,DNg99,1,steering_control,5,878,86,354.0,171.0,247.0,3.0,103.0
720575941600878377,DNa05,3,steering_control,5,860,120,122.0,242.0,258.0,16.0,222.0
720575941602323897,DNa04,3,steering_control,5,822,112,188.0,201.0,279.0,19.0,135.0
720575941618366079,DNp31,2,steering_control,5,818,135,89.0,193.0,180.0,173.0,183.0
720575941486700098,DNa05,3,steering_control,5,816,124,76.0,263.0,297.0,10.0,170.0
720575941510642192,DNa10,3,steering_control,5,807,156,42.0,83.0,421.0,51.0,210.0
720575941471808375,DNxn125,3,steering_control,5,805,98,312.0,82.0,383.0,15.0,13.0
720575941592893992,DNp49,3,steering_control,5,800,112,72.0,153.0,311.0,42.0,222.0
720575941547452084,DNp49,3,steering_control,5,792,99,49.0,160.0,331.0,43.0,209.0
720575941733034283,DNp19,3,steering_control,5,789,109,292.0,144.0,329.0,21.0,3.0
720575941515972698,DNg99,1,steering_control,5,787,76,293.0,215.0,191.0,11.0,77.0
720575941450506830,DNp18,1,steering_control,5,755,83,356.0,107.0,144.0,30.0,118.0
720575941595189029,DNp18,1,steering_control,5,744,86,286.0,146.0,129.0,117.0,66.0
720575941478585450,DNp22,1,steering_control,5,736,77,297.0,250.0,172.0,5.0,12.0
720575941474063968,DNxn163,4,power_control,5,726,84,12.0,212.0,199.0,220.0,83.0
