dn_id,dn_name,strategy,direct_mn_targets,direct_synapses,indirect_in_targets,indirect_synapses,total_targets,total_synapses,direct_fraction
720575941533704067,DNp31,both,70,842,138,946,208,1788,0.470917225950783
720575941618366079,DNp31,both,72,921,135,818,207,1739,0.5296147211040828
720575941638407199,DNa15,both,10,134,112,1172,122,1306,0.10260336906584992
720575941612044518,DNa04,both,16,258,131,1044,147,1302,0.19815668202764977
720575941440280767,DNa15,both,9,118,119,1134,128,1252,0.09424920127795527
720575941504652482,DNxn124,both,7,82,206,1138,213,1220,0.06721311475409836
720575941568870770,DNa10,both,23,251,190,921,213,1172,0.21416382252559726
720575941411441323,DNxn124,both,8,86,182,1030,190,1116,0.07706093189964158
720575941510642192,DNa10,both,24,295,156,807,180,1102,0.2676950998185118
720575941602323897,DNa04,both,16,235,112,822,128,1057,0.22232734153263956
720575941496011719,DNa16,both,9,82,66,971,75,1053,0.0778727445394112
720575941471808375,DNxn125,both,14,169,98,805,112,974,0.1735112936344969
720575941600878377,DNa05,both,6,64,120,860,126,924,0.06926406926406926
720575941552726407,DNg99,both,5,43,86,878,91,921,0.04668838219326819
720575941486700098,DNa05,both,9,90,124,816,133,906,0.09933774834437085
720575941592893992,DNp49,both,7,105,112,800,119,905,0.11602209944751381
720575941547452084,DNp49,both,9,103,99,792,108,895,0.11508379888268157
720575941540246364,DNxn125,both,17,159,84,661,101,820,0.19390243902439025
720575941471955264,DNut040,both,32,229,97,586,129,815,0.2809815950920245
720575941733034283,DNp19,both,4,18,109,789,113,807,0.022304832713754646
720575941595189029,DNp18,both,10,58,86,744,96,802,0.07231920199501247
720575941515972698,DNg99,both,3,15,76,787,79,802,0.018703241895261846
720575941450506830,DNp18,both,7,40,83,755,90,795,0.050314465408805034
720575941639588127,DNp33,both,15,122,92,673,107,795,0.15345911949685534
720575941507568709,DNa16,both,11,84,48,710,59,794,0.10579345088161209
720575941532728195,DNut040,both,39,204,98,580,137,784,0.2602040816326531
720575941478585450,DNp22,both,4,29,77,736,81,765,0.03790849673202614
720575941451941498,DNp33,both,18,125,89,633,107,758,0.16490765171503957
720575941474063968,DNxn163,both,2,7,84,726,86,733,0.009549795361527967
720575941652614129,DNae002,both,7,55,73,675,80,730,0.07534246575342465
720575941574675869,DNb07,both,13,49,106,675,119,724,0.06767955801104972
720575941579876085,DNg74,indirect_only,0,0,41,715,41,715,0.0
720575941438410514,DNb07,both,14,65,103,636,117,701,0.09272467902995721
720575941447863316,DNb05,both,7,68,81,616,88,684,0.09941520467836257
720575941645444808,DNp22,both,6,52,66,621,72,673,0.07726597325408618
720575941598950556,DNg27,both,24,128,99,533,123,661,0.19364599092284418
720575941652633585,DNae002,both,8,71,63,572,71,643,0.1104199066874028
720575941535140362,DNg15,both,1,4,62,616,63,620,0.0064516129032258064
720575941414262161,DNxn163,both,1,10,77,610,78,620,0.016129032258064516
720575941535245034,DNb07,both,5,16,64,596,69,612,0.026143790849673203
720575941472160011,DNp73,both,5,22,56,587,61,609,0.0361247947454844
720575941438773548,DNae003,both,3,13,77,585,80,598,0.021739130434782608
720575941701235930,DNxn142,both,6,22,62,566,68,588,0.03741496598639456
720575941527162905,DNb05,both,7,54,67,532,74,586,0.09215017064846416
720575941552603966,DNp19,both,3,14,75,569,78,583,0.024013722126929673
720575941453030983,DNb07,both,6,30,76,551,82,581,0.05163511187607573
720575941662506040,DNg27,both,14,89,95,491,109,580,0.15344827586206897
720575941560503155,DNp73,both,3,16,55,556,58,572,0.027972027972027972
720575941442418639,DNxn142,both,3,15,56,557,59,572,0.026223776223776224
720575941543045149,DNa09,both,4,12,91,559,95,571,0.021015761821366025
720575941392812548,DNp26,both,9,57,53,506,62,563,0.10124333925399645
720575941640505375,DNge035,indirect_only,0,0,27,545,27,545,0.0
720575941540466381,DNp08,indirect_only,0,0,65,536,65,536,0.0
720575941408508078,DNp08,indirect_only,0,0,73,536,73,536,0.0
720575941504328791,DNpe005,both,14,54,82,480,96,534,0.10112359550561797
720575941476477492,DNxn122,both,5,33,50,485,55,518,0.0637065637065637
720575941563183016,DNg74,both,14,180,50,333,64,513,0.3508771929824561
720575941625972123,DNae003,both,4,24,66,481,70,505,0.047524752475247525
720575941445707284,DNp28,both,5,26,59,477,64,503,0.05168986083499006
720575941509010305,DNxn151,both,2,20,60,482,62,502,0.0398406374501992
720575941441633883,DNge049,both,12,53,47,434,59,487,0.10882956878850103
720575941563218944,DNxn122,both,8,52,48,429,56,481,0.10810810810810811
720575941618895231,DNb01,both,11,76,51,402,62,478,0.1589958158995816
720575941508492417,DNg71,both,2,14,49,464,51,478,0.029288702928870293
720575941503549931,DNg71,indirect_only,0,0,50,477,50,477,0.0
720575941558607396,DNp03,both,31,217,47,258,78,475,0.4568421052631579
720575941566309174,DNp26,both,8,48,47,421,55,469,0.1023454157782516
720575941430250377,DNg91,both,8,40,80,428,88,468,0.08547008547008547
720575941508375390,DNpe005,both,9,39,72,429,81,468,0.08333333333333333
720575941573616891,DNp59,indirect_only,0,0,45,467,45,467,0.0
720575941449983581,DNg15,both,1,4,68,456,69,460,0.008695652173913044
720575941519463278,DNg108,indirect_only,0,0,36,454,36,454,0.0
720575941572671995,DNp59,indirect_only,0,0,48,449,48,449,0.0
720575941651815445,DNge084,indirect_only,0,0,45,448,45,448,0.0
720575941652728049,DNg74,indirect_only,0,0,24,447,24,447,0.0
720575941523099127,DNut053,both,19,253,35,191,54,444,0.5698198198198198
720575941490717390,DNa09,both,2,7,72,434,74,441,0.015873015873015872
720575941492697264,DNp28,both,5,39,57,393,62,432,0.09027777777777778
720575941611992493,DNxn007,both,12,68,75,362,87,430,0.15813953488372093
720575941631013090,DNxl134,indirect_only,0,0,16,429,16,429,0.0
720575941572471454,DNg108,both,10,189,35,235,45,424,0.44575471698113206
720575941491972327,DNge084,indirect_only,0,0,36,419,36,419,0.0
720575941565245794,DNxn151,both,1,4,56,413,57,417,0.009592326139088728
720575941658941264,DNxl080,indirect_only,0,0,29,410,29,410,0.0
720575941631642860,DNut037,both,5,55,56,354,61,409,0.13447432762836187
720575941542534236,DNp13,both,7,35,56,366,63,401,0.08728179551122195
720575941491761895,DNp10,both,1,5,53,386,54,391,0.01278772378516624
720575941612039142,DNbe005,both,10,84,67,304,77,388,0.21649484536082475
720575941534435338,DNp22,both,4,31,48,354,52,385,0.08051948051948052
720575941539809997,DNp03,both,22,157,45,226,67,383,0.40992167101827676
720575941629872422,DNut037,both,4,34,55,338,59,372,0.0913978494623656
720575941491992807,DNg100,both,2,6,12,357,14,363,0.01652892561983471
720575941471238263,DNxn102,both,3,13,45,339,48,352,0.036931818181818184
720575941507073303,DNp02,both,1,7,34,343,35,350,0.02
720575941441226943,DNp53,indirect_only,0,0,50,344,50,344,0.0
720575941431097737,DNxl130,both,9,55,41,288,50,343,0.16034985422740525
720575941506310821,DNge016,both,3,10,48,328,51,338,0.029585798816568046
720575941595955569,DNp13,both,3,13,51,325,54,338,0.038461538461538464
