source,target,weight,neuropil,nt_type
720575941350890544,720575941436996882,3,VNC_IntTct_R,
720575941350890544,720575941458334163,4,VNC_IntTct_R,
720575941350890544,720575941489038311,3,VNC_WTct_R,
720575941350890544,720575941503451301,5,VNC_HTct_R,
720575941350890544,720575941503451301,6,VNC_IntTct_R,
720575941350890544,720575941507664144,4,VNC_NTct_R,
720575941350890544,720575941561304978,3,VNC_IntTct_R,
720575941350890544,720575941563316022,3,VNC_unassigned_R,
720575941350890544,720575941579017337,3,VNC_IntTct_R,
720575941350890544,720575941583601886,3,VNC_HTct_R,
720575941350890544,720575941583601886,5,VNC_IntTct_R,
720575941350890544,720575941608991050,5,VNC_IntTct_R,
720575941350890544,720575941614737877,3,VNC_IntTct_R,
720575941350890544,720575941626940710,3,VNC_IntTct_R,
720575941350890544,720575941633071008,4,VNC_NTct_R,
720575941352918576,720575941449942877,7,VNC_T2_MesoNm_L,
720575941352918576,720575941477858434,3,VNC_AMNp_R,
720575941352918576,720575941483537338,3,VNC_T1_ProNm_R,
720575941352918576,720575941487815632,4,VNC_AMNp_L,
720575941352918576,720575941489092327,3,VNC_T2_MesoNm_L,
720575941352918576,720575941506220348,3,VNC_AMNp_R,
720575941352918576,720575941533786906,7,VNC_T2_MesoNm_R,
720575941352918576,720575941555249665,6,VNC_AMNp_R,
720575941352918576,720575941555938899,3,VNC_WTct_R,
720575941352918576,720575941578793809,4,VNC_AMNp_L,
720575941352918576,720575941626286474,5,VNC_AMNp_R,
720575941352918576,720575941723152698,3,VNC_ANm_L,
720575941352918576,720575941723152698,5,VNC_ANm_R,
720575941353080624,720575941540201933,11,VNC_T1_ProNm_L,
720575941353080624,720575941703131610,5,VNC_NTct_L,
720575941353080624,720575941703131610,4,VNC_T1_ProNm_L,
720575941390285462,720575941451814215,3,VNC_HTct_R,
720575941390285462,720575941507664144,4,VNC_IntTct_R,
720575941390285462,720575941507664144,3,VNC_WTct_R,
720575941390285462,720575941551321371,5,VNC_WTct_R,
720575941390285462,720575941551321371,6,VNC_unassigned_R,
720575941390285462,720575941557612915,3,VNC_unassigned_R,
720575941390285462,720575941640895589,4,VNC_unassigned_R,
720575941390285462,720575941650696977,3,VNC_HTct_R,
720575941390285462,720575941652647185,3,VNC_NTct_R,
720575941390285462,720575941652647185,4,VNC_unassigned_R,
720575941390308246,720575941460225936,4,VNC_IntTct_R,
720575941390308246,720575941491651559,5,VNC_NTct_R,
720575941390308246,720575941503420581,3,VNC_NTct_R,
720575941390308246,720575941523983618,3,VNC_NTct_R,
720575941390308246,720575941535073770,3,VNC_HTct_R,
720575941390308246,720575941546335676,3,VNC_WTct_R,
720575941390619140,720575941536657123,5,VNC_NTct_L,
720575941390623382,720575941686037878,3,VNC_NTct_R,
720575941390722710,720575941461251027,4,VNC_T1_ProNm_R,
720575941392812548,720575941411791764,4,VNC_HTct_L,
720575941392812548,720575941411791764,4,VNC_IntTct_L,
720575941392812548,720575941414508948,22,VNC_IntTct_L,
720575941392812548,720575941439050703,4,VNC_IntTct_L,
720575941392812548,720575941447013813,4,VNC_HTct_L,
720575941392812548,720575941447305053,3,VNC_IntTct_L,
720575941392812548,720575941459514512,5,VNC_HTct_L,
720575941392812548,720575941464073558,6,VNC_IntTct_L,
720575941392812548,720575941465484566,22,VNC_HTct_L,
720575941392812548,720575941465484566,19,VNC_IntTct_L,
720575941392812548,720575941469724125,19,VNC_IntTct_L,
720575941392812548,720575941472042282,3,VNC_IntTct_L,
720575941392812548,720575941473850720,4,VNC_IntTct_L,
720575941392812548,720575941477166622,3,VNC_IntTct_L,
720575941392812548,720575941478488143,11,VNC_HTct_L,
720575941392812548,720575941495495547,5,VNC_HTct_L,
720575941392812548,720575941496803234,4,VNC_HTct_L,
720575941392812548,720575941496957346,3,VNC_IntTct_L,
720575941392812548,720575941501041643,6,VNC_IntTct_L,
720575941392812548,720575941501135191,6,VNC_IntTct_L,
720575941392812548,720575941501786930,3,VNC_HTct_L,
720575941392812548,720575941515936505,4,VNC_IntTct_L,
720575941392812548,720575941518936792,4,VNC_IntTct_L,
720575941392812548,720575941520333047,9,VNC_HTct_L,
720575941392812548,720575941520333047,9,VNC_IntTct_L,
720575941392812548,720575941534709482,7,VNC_HTct_L,
720575941392812548,720575941542900997,4,VNC_IntTct_L,
720575941392812548,720575941542900997,3,VNC_NTct_L,
720575941392812548,720575941543669765,11,VNC_HTct_L,
720575941392812548,720575941543669765,3,VNC_IntTct_L,
720575941392812548,720575941550878087,3,VNC_HTct_L,
720575941392812548,720575941553338778,7,VNC_IntTct_L,
720575941392812548,720575941561320493,12,VNC_HTct_L,
720575941392812548,720575941572251144,45,VNC_HTct_L,
720575941392812548,720575941572251144,17,VNC_IntTct_L,
