source,target,weight,neuropil,nt_type,muscle,muscle_type
720575941350890544,720575941475745898,3,VNC_IntTct_R,,i2,steering
720575941350890544,720575941580669817,4,VNC_WTct_R,,hg1,steering
720575941350890544,720575941655597785,8,VNC_IntTct_R,,b2,steering
720575941390285462,720575941468288375,5,VNC_unassigned_R,,hg3,steering
720575941390285462,720575941483845954,3,VNC_HTct_R,,hg3,steering
720575941390285462,720575941483845954,3,VNC_NTct_R,,hg3,steering
720575941390285462,720575941483845954,8,VNC_WTct_R,,hg3,steering
720575941390285462,720575941483845954,5,VNC_unassigned_R,,hg3,steering
720575941390285462,720575941513173763,4,VNC_HTct_R,,hg4,steering
720575941390285462,720575941513173763,5,VNC_unassigned_R,,hg4,steering
720575941390285462,720575941580669817,3,VNC_WTct_R,,hg1,steering
720575941390285462,720575941732789547,15,VNC_unassigned_R,,hg2,steering
720575941390619140,720575941630940642,3,VNC_unassigned_L,,hg4,steering
720575941392812548,720575941456201887,11,VNC_HTct_L,,hg1,steering
720575941392812548,720575941479658831,4,VNC_WTct_L,,hg2,steering
720575941392812548,720575941542412805,3,VNC_WTct_L,,b3,steering
720575941392812548,720575941547315060,15,VNC_IntTct_L,,i1,steering
720575941392812548,720575941547315060,4,VNC_WTct_L,,i1,steering
720575941392812548,720575941645403000,4,VNC_IntTct_L,,DLM1,power
720575941392812548,720575941732789547,7,VNC_HTct_L,,hg2,steering
720575941392812548,720575941732789547,5,VNC_IntTct_L,,hg2,steering
720575941392812548,720575941732789547,4,VNC_WTct_L,,hg2,steering
720575941394131094,720575941643100754,5,VNC_HTct_R,,ps1,steering
720575941394131094,720575941643100754,12,VNC_WTct_R,,ps1,steering
720575941401766435,720575941569529458,6,VNC_IntTct_L,,unknown,unknown
720575941401766435,720575941569529458,6,VNC_T2_MesoNm_L,,unknown,unknown
720575941401766435,720575941732789547,3,VNC_WTct_L,,hg2,steering
720575941405473327,720575941519783640,10,VNC_WTct_L,,DLM1,power
720575941405473327,720575941533190337,5,VNC_WTct_L,,DLM1,power
720575941405473327,720575941534583786,3,VNC_WTct_L,,DLM5,power
720575941405473327,720575941555120612,3,VNC_WTct_L,,unknown,unknown
720575941405473327,720575941643100754,4,VNC_WTct_L,,ps1,steering
720575941405473327,720575941645041313,5,VNC_NTct_L,,ps1,steering
720575941405473327,720575941645041313,6,VNC_WTct_L,,ps1,steering
720575941405473327,720575941645403000,3,VNC_WTct_L,,DLM1,power
720575941407841071,720575941475745898,3,VNC_IntTct_R,,i2,steering
720575941407841071,720575941547394081,3,VNC_IntTct_L,,i2,steering
