source,dn_name,dn_specialization,n_priority_ins,total_synapses
720575941411441323,DNxn124,steering_control,4,236
720575941504652482,DNxn124,steering_control,4,226
720575941598950556,DNg27,power_control,14,211
720575941527162905,DNb05,power_control,5,192
720575941574675869,DNb07,steering_control,4,192
720575941438410514,DNb07,steering_control,5,191
720575941474063968,DNxn163,power_control,3,176
720575941662506040,DNg27,power_control,15,166
720575941447863316,DNb05,power_control,4,158
720575941595542823,DNp05,power_control,2,152
720575941491972327,DNge084,steering_control,3,146
720575941510642192,DNa10,steering_control,5,142
720575941552726407,DNg99,steering_control,4,140
720575941414262161,DNxn163,steering_control,3,135
720575941515972698,DNg99,steering_control,3,135
720575941594823537,DNp05,power_control,3,125
720575941568870770,DNa10,steering_control,4,116
720575941651815445,DNge084,steering_control,3,116
720575941533704067,DNp31,power_control,13,108
720575941645444808,DNp22,steering_control,2,98
720575941573616891,DNp59,steering_control,4,94
720575941504921906,DNp47,steering_control,6,91
720575941514461772,DNp11,power_control,2,83
720575941551948543,DNp63,steering_control,3,82
720575941552603966,DNp19,steering_control,4,76
720575941539226866,DNp63,steering_control,4,75
720575941629726246,DNp07,power_control,6,71
720575941572671995,DNp59,steering_control,4,70
720575941478585450,DNp22,steering_control,2,69
720575941470254400,DNa08,power_control,11,69
720575941733034283,DNp19,steering_control,4,69
720575941618366079,DNp31,steering_control,13,66
720575941463843597,DNp45,steering_control,2,63
720575941414341521,DNxn102,steering_control,5,63
720575941591448972,DNa08,power_control,9,62
720575941592893992,DNp49,steering_control,5,62
720575941668513011,DNp11,steering_control,4,60
720575941552907838,DNp45,steering_control,2,58
720575941509010305,DNxn151,steering_control,4,58
720575941547452084,DNp49,steering_control,5,58
720575941523099127,DNut053,power_control,5,57
720575941430250377,DNg91,steering_control,1,56
720575941472160011,DNp73,steering_control,3,55
720575941515619427,DNpe055,power_control,3,52
720575941507073303,DNp02,steering_control,4,52
720575941595189029,DNp18,steering_control,5,51
720575941508492417,DNg71,steering_control,2,48
720575941477443358,DNp47,power_control,5,48
720575941503549931,DNg71,steering_control,1,45
720575941440280767,DNa15,steering_control,4,44
720575941550794751,DNg36,steering_control,1,43
720575941394119830,DNp42,steering_control,4,43
720575941546446697,DNg91,steering_control,1,43
720575941508375390,DNpe005,steering_control,3,42
720575941473793322,DNg02,power_control,7,40
720575941441162191,DNg36,steering_control,1,40
720575941503507435,DNp02,steering_control,3,39
720575941560503155,DNp73,steering_control,1,39
720575941436259602,DNut047,steering_control,5,39
720575941487149378,DNp42,steering_control,2,38
720575941558607396,DNp03,steering_control,8,37
720575941496011719,DNa16,steering_control,1,37
720575941537583336,DNp54,steering_control,3,37
720575941611791590,DNp06,steering_control,2,35
720575941407841071,DNp07,power_control,2,35
720575941471238263,DNxn102,steering_control,2,34
720575941414947220,DNxn187,steering_control,4,33
720575941491761895,DNp10,steering_control,2,32
720575941526676301,DNut047,steering_control,4,32
720575941535140362,DNg15,steering_control,2,31
720575941504328791,DNpe005,steering_control,3,31
720575941651139349,DNg92,steering_control,2,31
720575941661415224,DNg02,power_control,6,30
720575941633206944,DNp103,steering_control,3,30
720575941431097737,DNxl130,power_control,4,29
720575941657879576,DNp06,steering_control,2,29
720575941624831228,DNg17,steering_control,5,29
720575941450378333,DNp103,steering_control,3,29
720575941480954019,DNxn187,steering_control,5,28
720575941471955264,DNut040,steering_control,4,28
720575941593683051,DNp10,power_control,2,27
720575941612195501,DNg17,steering_control,5,27
720575941582282873,DNg08,steering_control,1,27
720575941450506830,DNp18,steering_control,3,27
720575941546602345,DNpe031,steering_control,4,26
720575941480554370,DNg79,power_control,3,26
720575941612039142,DNbe005,steering_control,2,26
720575941532728195,DNut040,steering_control,3,25
720575941535258802,DNxn155,steering_control,2,25
720575941732586539,DNg05,steering_control,2,24
720575941638407199,DNa15,steering_control,2,24
720575941540215501,DNp01,power_control,4,24
720575941602323897,DNa04,steering_control,3,24
720575941562192429,DNge090,steering_control,1,23
720575941506310821,DNge016,steering_control,5,23
720575941554694372,DNg36,steering_control,1,23
720575941537850600,DNp54,steering_control,2,23
720575941459103391,DNg79,power_control,2,23
720575941449983581,DNg15,steering_control,1,22
720575941563866536,DNg08,steering_control,1,22
720575941483554189,DNut050,steering_control,4,22
720575941438773548,DNae003,steering_control,1,22
720575941408661934,DNxn155,steering_control,2,21
720575941436586784,720575941436586784,steering_control,1,21
720575941604343737,DNg110,power_control,4,21
720575941632978629,DNg02,power_control,4,20
720575941459097503,DNp01,power_control,3,20
720575941632002720,DNg02,steering_control,5,20
720575941688189935,DNb01,steering_control,5,20
720575941559176942,DNb04,steering_control,1,20
720575941542664284,DNxn176,steering_control,2,19
720575941515922778,DNxn183,steering_control,2,19
720575941477013825,DNg04,steering_control,1,19
720575941441643867,DNg02,power_control,3,18
720575941591761704,DNg02,steering_control,1,18
720575941701235930,DNxn142,steering_control,3,18
720575941503528171,DNg02,steering_control,5,18
720575941477736066,DNg92,steering_control,3,18
720575941442418639,DNxn142,steering_control,2,18
