target,in_name,in_rank,in_cluster,n_dns,total_synapses
720575941524114276,720575941524114276,1,5,21,207
720575941511393233,720575941511393233,2,5,17,160
720575941671138727,720575941671138727,3,5,39,884
720575941623108298,720575941623108298,4,5,34,901
720575941457802480,720575941457802480,5,4,29,718
720575941474741819,720575941474741819,6,4,33,817
720575941669049587,720575941669049587,7,4,6,55
720575941437525589,720575941437525589,8,4,10,94
720575941564147346,720575941564147346,9,4,5,24
720575941456348575,720575941456348575,10,2,28,516
720575941450532174,720575941450532174,11,3,21,209
720575941527126712,720575941527126712,12,4,3,12
720575941516099500,720575941516099500,13,4,25,189
720575941489677001,720575941489677001,14,4,4,62
720575941515619939,720575941515619939,15,4,14,61
720575941412445332,720575941412445332,16,4,2,8
720575941490785712,720575941490785712,17,4,19,84
720575941594160421,720575941594160421,18,4,23,157
720575941457686512,720575941457686512,19,4,9,40
720575941517770412,720575941517770412,20,4,12,122
720575941563314486,720575941563314486,21,4,2,7
720575941571427323,720575941571427323,22,4,7,45
720575941449617230,720575941449617230,23,4,5,54
720575941513160697,720575941513160697,24,5,9,85
720575941551389979,720575941551389979,25,4,7,25
720575941431072137,720575941431072137,26,4,3,23
720575941402032240,720575941402032240,27,4,12,73
720575941457147206,720575941457147206,28,2,29,591
720575941612696934,720575941612696934,29,4,3,12
720575941431075503,720575941431075503,30,4,1,4
720575941518434227,720575941518434227,32,4,22,113
720575941670676135,720575941670676135,33,3,19,212
720575941464901398,720575941464901398,34,2,10,121
720575941438938175,720575941438938175,35,2,16,221
720575941554049307,720575941554049307,36,4,19,102
720575941477884802,720575941477884802,37,2,26,334
720575941484663558,720575941484663558,38,4,3,14
720575941408509867,720575941408509867,39,4,11,123
720575941512896099,720575941512896099,40,4,25,216
720575941519213016,720575941519213016,41,4,26,172
720575941507280965,720575941507280965,42,4,7,35
720575941472042282,720575941472042282,44,4,13,59
720575941470536715,720575941470536715,45,4,2,74
720575941460235152,720575941460235152,46,4,5,33
720575941562464866,720575941562464866,47,4,4,26
720575941530192843,720575941530192843,48,2,9,62
720575941477553376,720575941477553376,49,4,1,6
720575941618008447,720575941618008447,50,4,2,8
