muscle,muscle_type,muscle_group,n_motor_neurons,motor_neuron_ids
DLM1,power,DLM,8,"[720575941463144336, 720575941479034563, 720575941507955269, 720575941519783640, 720575941533190337, 720575941583644382, 720575941640465439, 720575941645403000]"
DLM5,power,DLM,2,"[720575941534583786, 720575941596050112]"
DVM1A,power,DVM,6,"[720575941472734048, 720575941560383347, 720575941565105206, 720575941566847847, 720575941597489344, 720575941603635190]"
DVM2A,power,DVM,4,"[720575941530190027, 720575941542328837, 720575941573368719, 720575941624985226]"
DVM3A,power,DVM,4,"[720575941487139138, 720575941499558369, 720575941590220684, 720575941614289683]"
b1,steering,basalar,2,"[720575941521196211, 720575941549822781]"
b2,steering,basalar,2,"[720575941624155644, 720575941655597785]"
b3,steering,basalar,2,"[720575941474574132, 720575941542412805]"
hg1,steering,haltere,2,"[720575941456201887, 720575941580669817]"
hg2,steering,haltere,2,"[720575941479658831, 720575941732789547]"
hg3,steering,haltere,2,"[720575941468288375, 720575941483845954]"
hg4,steering,haltere,2,"[720575941513173763, 720575941630940642]"
i1,steering,axillary_i,2,"[720575941468897856, 720575941547315060]"
i2,steering,axillary_i,2,"[720575941475745898, 720575941547394081]"
iii1,steering,axillary_III,2,"[720575941489673420, 720575941629172716]"
iii3,steering,axillary_III,2,"[720575941458961604, 720575941565378919]"
iii4,steering,axillary_III,2,"[720575941459347411, 720575941516770670]"
ps1,steering,pleurosternal,2,"[720575941643100754, 720575941645041313]"
