Root ID,Top in/out region,Community labels,Predicted NT type,Predicted NT confidence,Verified NT type,Verified Neuropeptide,Body Part,Function,Flow,Super Class,Class,Sub Class,Hemilineage,Nerve,Soma side,Primary Cell Type,Alternative Cell Type(s),Cable length (nm),Surface area (nm^2),Volume (nm^3),neuron_type,muscle_type,muscle_group,specific_muscle
720575941456201887,WTCT,"innervates left side of body,innervates wing",GABA,0.45,glutamate,,wing,"phasic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,16B,left_anterior_dorsal_mesothoracic_nerve,left,hg1,"hg1,iv1",,,,MN,steering,haltere,hg1
720575941458961604,HTCT,"innervates right side of body,innervates wing",OCT,0.42,,,wing,"tonic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,,right_mesothoracic_accessory_nerve,right,iii3,iii3,,,,MN,steering,axillary_III,iii3
720575941459347411,WTCT,"innervates left side of body,innervates wing",GABA,0.4,,,wing,"phasic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,,left_mesothoracic_accessory_nerve,left,iii4,iii4,,,,MN,steering,axillary_III,iii4
720575941463144336,WTCT,"innervates right side of body,innervates wing",GABA,0.49,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,03B,right_posterior_dorsal_mesothoracic_nerve,right,DLM1-4,DLM1-4,,,,MN,power,DLM,DLM1
720575941468288375,WTCT,"innervates right side of body,innervates wing",GABA,0.36,,,wing,"phasic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,16B,right_anterior_dorsal_mesothoracic_nerve,right,hg3,"hg3,iv3",,,,MN,steering,haltere,hg3
720575941468897856,INTTCT.UNASSIGNED,"innervates right side of body,innervates wing",GABA,0.45,glutamate,,wing,"phasic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,16B,right_anterior_dorsal_mesothoracic_nerve,right,i1,i1,,,,MN,steering,axillary_i,i1
720575941472734048,WTCT,"innervates right side of body,innervates wing",OCT,0.54,,,wing,wing_power,efferent,motor,wing_motor_neuron,wing_power_motor_neuron,16B,right_anterior_dorsal_mesothoracic_nerve,right,DVM1a-c,DVM1a-c,,,,MN,power,DVM,DVM1A
720575941474574132,WTCT.UNASSIGNED,"innervates right side of body,innervates wing",GABA,0.57,glutamate,,wing,"tonic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,16B,right_anterior_dorsal_mesothoracic_nerve,right,b3,b3,,,,MN,steering,basalar,b3
720575941474595370,WTCT,"innervates left side of body,innervates wing",OCT,0.34,,,wing,wing_tension,efferent,motor,wing_motor_neuron,wing_tension_motor_neuron,16B,left_anterior_dorsal_mesothoracic_nerve,left,tpn,tpn,,,,MN,wing_general,wing,unknown
720575941475745898,WTCT.INTTCT,"innervates right side of body,innervates wing",GABA,0.51,glutamate,,wing,"tonic_wing_steering,wing_steering",efferent,motor,wing_motor_neuron,wing_steering_motor_neuron,16B,right_anterior_dorsal_mesothoracic_nerve,right,i2,i2,,,,MN,steering,axillary_i,i2
