dn_name,1,2,3,4,5
720575941434874912,0,4175,630,452,0
720575941436586784,0,6741,1819,644,126
720575941606629485,615,159,151,12,0
DNa01,349,757,2398,240,51
DNa02,842,14681,2990,210,13672
DNa03,888,4257,8660,0,930
DNa04,20452,41860,52456,3059,37837
DNa05,7199,36723,38105,2602,27708
DNa06,63,10864,51,183,3118
DNa07,2079,3915,178,1075,2552
DNa08,0,222,3224,108942,2139
DNa09,10879,23673,14209,5848,6863
DNa10,3297,13708,51080,17004,176183
DNa11,0,1220,18,347,32
DNa12,9,2632,4208,5315,2024
DNa13,12,885,204,238,66
DNa14,0,952,0,0,728
DNa15,32404,51482,64787,2676,21352
DNa16,1760,68437,3191,3121,84884
DNae001,66,436,0,1144,150
DNae002,11002,8488,33618,0,42063
DNae003,12539,23873,16849,1097,8357
DNae005,0,837,0,33,0
DNae008,0,24,0,0,0
DNb01,11562,13818,15618,12355,4138
DNb02,511,24830,277,3217,17286
DNb03,1008,6739,758,5477,1811
DNb04,0,4854,6191,1765,24109
DNb05,3267,24827,17043,66874,41090
DNb06,11111,11634,30427,1224,4375
DNb07,18586,78365,45978,42399,245561
DNb08,0,436,309,341,24
DNb09,763,1351,2463,406,0
DNbe002,0,3333,0,24,4735
DNbe003,0,48,320,0,0
DNbe005,1280,14127,7093,654,19429
DNbe007,0,2475,96,0,174
DNd02,129,235,0,0,63
DNd03,554,581,930,6402,735
DNd04,539,1534,0,72,144
DNd05,0,258,0,0,27
DNde001,0,920,0,30,0
DNde005,0,804,0,0,0
DNde006,0,303,1630,36,4960
DNfl012,0,123,0,9,0
DNfl017,126,0,0,0,0
DNfl020,0,18,0,0,0
DNfl021,0,36,0,524,0
DNfl024,45,0,0,0,0
DNfl025,0,331,627,0,0
DNfl026,0,0,335,0,0
DNfl027,0,517,0,0,0
DNfl030,15,0,0,0,44
DNfl032,0,18,0,0,0
DNfl033,0,0,0,33,0
DNfl035,0,0,0,0,56
DNfl036,0,44,21,156,0
DNfl038,0,440,0,0,0
DNfl040,0,20,0,0,0
DNfl041,0,132,0,90,0
DNfl042,345,100,99,0,0
DNg01,12452,14787,2937,247,1755
DNg02,480,37132,30113,193126,51684
