dn_name,n_pathways,n_ins,n_mns,n_muscles,pathway_strength
DNp31,4299,130,50,18,449004
DNxn124,4903,155,50,18,447359
DNb07,4092,118,50,18,430889
DNg02,5755,108,50,18,312535
DNg27,3923,95,50,18,285431
DNa10,3324,163,50,18,261272
DNg99,1546,95,49,18,232161
DNxn125,1618,72,37,17,186177
DNa15,1679,149,45,18,172701
DNa16,573,75,41,16,161393
DNa04,1764,180,44,17,155664
DNp22,1679,137,47,18,153953
DNb05,1897,77,48,18,153101
DNp33,1382,107,48,18,143976
DNp19,1709,75,45,18,129442
DNxn163,1371,89,44,17,120993
DNp18,1463,106,50,18,116997
DNp63,1157,35,50,18,116256
DNp73,844,75,41,17,115210
DNp47,1467,30,49,18,115120
DNa08,1658,38,44,16,114527
DNa05,1560,189,42,17,112337
DNp49,1807,74,41,18,111409
DNge084,669,57,37,17,111363
DNut040,1770,91,50,18,110799
DNpe005,1547,70,50,18,104022
DNae002,788,96,35,16,95171
DNp13,970,70,45,18,94534
DNg06,2076,52,50,18,88368
DNg04,918,56,45,18,86413
DNg08,1433,128,42,17,84747
DNp45,874,26,33,12,82349
DNge091,989,78,37,16,81312
DNg07,1291,114,45,17,80826
DNg92,1277,33,50,18,79763
DNxn142,979,88,50,18,79242
DNp59,841,51,47,18,78711
DNxn155,757,21,42,16,76298
DNg71,710,73,36,16,74865
DNxn122,812,72,48,17,72939
DNxn102,1059,44,48,17,72925
DNp05,762,31,38,17,71417
DNp03,1153,70,50,18,71351
DNg79,1105,47,47,18,70685
DNp07,1387,40,47,17,68337
DNp26,656,74,49,18,66610
DNg91,915,88,37,17,66339
DNp10,980,64,45,18,65834
DNp08,728,71,45,18,65593
DNp28,702,88,36,17,63460
DNae003,872,99,39,17,62715
DNg108,734,71,45,18,62203
DNut047,1004,41,48,17,62086
DNa09,1049,120,42,17,61472
DNb06,591,42,43,17,58771
DNut053,592,30,46,17,57616
DNb01,854,68,49,18,57491
DNxn151,874,66,39,18,56719
DNp11,961,48,46,18,55874
DNg32,636,90,50,18,55216
DNg05,913,49,48,17,52745
DNp02,619,38,41,18,52177
DNg15,1007,78,39,17,50495
DNg106,1152,66,35,15,49150
DNg17,639,50,47,17,48475
DNp42,756,41,40,18,47553
DNg82,886,50,50,18,47537
DNb02,446,46,39,16,46121
DNg110,992,24,45,18,43478
DNxn187,780,35,39,17,43462
DNge016,796,34,49,18,43207
DNbe005,815,50,49,18,42583
DNut042,731,87,34,15,41402
DNxn007,952,47,48,18,41301
DNp51,703,63,38,17,41142
DNp103,645,32,44,18,40507
DNpe055,578,30,49,18,39597
DNp06,646,57,43,18,39172
DNut037,689,84,40,16,38324
DNb04,694,31,45,16,36919
DNg74,434,79,43,18,35614
DNp54,585,20,46,16,35396
DNxl130,535,35,45,17,34712
DNxn117,480,44,33,14,33586
DNut058,868,43,50,18,33141
DNg36,460,28,33,15,32759
DNut051,520,12,46,18,32418
DNa02,208,36,29,16,32395
DNg01,612,31,35,16,32178
DNp12,407,24,26,13,31215
DNp53,575,71,40,17,29845
DNpe031,562,37,44,18,29834
DNg42,349,52,23,13,28890
DNge175,542,27,45,17,27843
DNp43,300,18,43,18,27819
DNp57,343,32,47,17,27440
DNut050,451,25,47,17,26387
DNge090,297,28,34,16,25875
DNg03,447,29,49,18,24857
DNxn181,506,20,34,16,24735
DNp15,133,25,34,16,23568
DNxl080,391,37,39,18,22448
DNp69,555,62,44,18,22403
DNge049,339,39,45,18,22176
DNg41,332,50,43,17,21591
DNxn159,203,11,39,16,21375
DNxn176,335,34,40,17,20283
DNxn114,257,40,31,15,20007
DNp17,247,34,29,15,19957
DNxn118,165,23,27,15,19955
DNg51,393,41,21,13,19307
DNxn179,376,26,38,15,19033
DNut054,338,43,38,17,18543
DNxn183,434,38,43,16,18340
DNp16,272,42,33,16,18295
DNge140,253,26,35,17,17693
DNg98,293,28,35,15,17413
DNge053,437,30,44,16,17143
DNnt017,56,10,10,8,16891
DNpe014,241,19,41,14,16523
DNge006,134,24,27,15,16425
DNp01,293,12,45,16,16105
DNb03,241,38,46,17,15793
DNg94,205,30,22,10,15744
DNa03,256,30,25,13,14735
DNut043,300,19,48,18,14360
DNa06,173,28,23,13,14279
DNa12,211,21,43,18,14188
DNut062,111,18,20,15,14091
DNp48,221,13,36,12,13946
DNg89,122,9,14,9,13532
DNg37,262,35,32,16,13363
DNge148,260,21,34,12,12758
DNut048,172,17,33,16,12730
aSP22,168,13,37,17,12720
DNxl106,296,15,25,13,12671
DNg111,158,14,27,14,12414
DNge035,154,22,32,13,11479
DNnt015,70,10,16,9,11036
