muscle,n_pathways,n_dns,n_ins,muscle_type,pathway_strength
DLM1,20619,525,275,power,1372184
ps1,9946,521,295,steering,1321148
b2,9858,626,391,steering,845906
hg1,10669,629,383,steering,793933
hg4,8870,719,413,steering,727509
iii4,9452,728,440,steering,675060
i2,10731,639,364,steering,609199
DVM1A,7529,515,252,power,526922
iii3,2797,356,121,steering,522147
i1,7646,581,300,steering,510383
b3,5973,550,256,steering,507310
b1,5156,432,204,steering,387322
hg2,6825,597,137,steering,314145
hg3,6900,650,245,steering,312987
DLM5,4411,495,218,power,295260
iii1,5504,416,162,steering,294851
DVM3A,2849,325,121,power,130068
DVM2A,1911,242,87,power,88283
