dn_id,dn_name,in_id,in_name,mn_id,mn_name,muscle,dn_in_synapses,in_mn_synapses,dn_in_shrec,in_mn_shrec,pathway_strength
720575941350890544,DNge110,720575941489038311,IN07B081,720575941560383347,DVM1a-c,DVM1A,3,6,1.4634146341463417,0.5842259006815969,18
720575941350890544,DNge110,720575941489038311,IN07B081,720575941565105206,DVM1a-c,DVM1A,3,13,1.4634146341463417,0.7323943661971831,39
720575941350890544,DNge110,720575941563316022,IN03B069,720575941458961604,iii3,iii3,3,21,0.8746355685131195,1.5671641791044775,63
720575941350890544,DNge110,720575941563316022,IN03B069,720575941458961604,iii3,iii3,3,13,0.8746355685131195,0.9701492537313432,39
720575941350890544,DNge110,720575941567030516,IN07B077,720575941560383347,DVM1a-c,DVM1A,2,7,1.183431952662722,0.6815968841285297,14
720575941350890544,DNge110,720575941567030516,IN07B077,720575941565378919,iii3,iii3,2,11,1.183431952662722,0.5050505050505051,22
720575941350890544,DNge110,720575941567030516,IN07B077,720575941645403000,DLM1-4,DLM1,2,24,1.183431952662722,0.46792747124195755,48
720575941350890544,DNge110,720575941567030516,IN07B077,720575941560383347,DVM1a-c,DVM1A,2,7,1.183431952662722,0.6815968841285297,14
720575941350890544,DNge110,720575941567030516,IN07B077,720575941565378919,iii3,iii3,2,11,1.183431952662722,0.5050505050505051,22
720575941350890544,DNge110,720575941567030516,IN07B077,720575941645403000,DLM1-4,DLM1,2,24,1.183431952662722,0.46792747124195755,48
720575941350890544,DNge110,720575941579017337,IN07B077,720575941565378919,iii3,iii3,3,13,1.4285714285714286,0.5968778696051423,39
720575941352918576,DNg70,720575941449942877,IN17A072,720575941519783640,DLM1-4,DLM1,7,16,6.481481481481481,0.4512126339537508,112
720575941352918576,DNg70,720575941449942877,IN17A072,720575941565105206,DVM1a-c,DVM1A,7,9,6.481481481481481,0.5070422535211268,63
720575941352918576,DNg70,720575941449942877,IN17A072,720575941566847847,DVM1a-c,DVM1A,7,12,6.481481481481481,0.6521739130434783,84
720575941352918576,DNg70,720575941449942877,IN17A072,720575941590220684,DVM3a-b,DVM3A,7,5,6.481481481481481,0.7716049382716049,35
720575941352918576,DNg70,720575941449942877,IN17A072,720575941519783640,DLM1-4,DLM1,2,16,1.8518518518518516,0.4512126339537508,32
720575941352918576,DNg70,720575941449942877,IN17A072,720575941565105206,DVM1a-c,DVM1A,2,9,1.8518518518518516,0.5070422535211268,18
720575941352918576,DNg70,720575941449942877,IN17A072,720575941566847847,DVM1a-c,DVM1A,2,12,1.8518518518518516,0.6521739130434783,24
720575941352918576,DNg70,720575941449942877,IN17A072,720575941590220684,DVM3a-b,DVM3A,2,5,1.8518518518518516,0.7716049382716049,10
720575941352918576,DNg70,720575941533786906,IN17A077,720575941479034563,DLM1-4,DLM1,1,28,0.6172839506172839,0.5350659277660997,28
720575941352918576,DNg70,720575941533786906,IN17A077,720575941583644382,DLM1-4,DLM1,1,18,0.6172839506172839,0.4628439187451787,18
720575941352918576,DNg70,720575941533786906,IN17A077,720575941603635190,DVM1a-c,DVM1A,1,10,0.6172839506172839,0.4144218814753419,10
720575941352918576,DNg70,720575941533786906,IN17A077,720575941479034563,DLM1-4,DLM1,7,28,4.320987654320987,0.5350659277660997,196
720575941352918576,DNg70,720575941533786906,IN17A077,720575941583644382,DLM1-4,DLM1,7,18,4.320987654320987,0.4628439187451787,126
720575941352918576,DNg70,720575941533786906,IN17A077,720575941603635190,DVM1a-c,DVM1A,7,10,4.320987654320987,0.4144218814753419,70
720575941352918576,DNg70,720575941533786906,IN17A077,720575941479034563,DLM1-4,DLM1,2,28,1.2345679012345678,0.5350659277660997,56
720575941352918576,DNg70,720575941533786906,IN17A077,720575941583644382,DLM1-4,DLM1,2,18,1.2345679012345678,0.4628439187451787,36
720575941352918576,DNg70,720575941533786906,IN17A077,720575941603635190,DVM1a-c,DVM1A,2,10,1.2345679012345678,0.4144218814753419,20
720575941352918576,DNg70,720575941533786906,IN17A077,720575941479034563,DLM1-4,DLM1,2,28,1.2345679012345678,0.5350659277660997,56
720575941352918576,DNg70,720575941533786906,IN17A077,720575941583644382,DLM1-4,DLM1,2,18,1.2345679012345678,0.4628439187451787,36
720575941352918576,DNg70,720575941533786906,IN17A077,720575941603635190,DVM1a-c,DVM1A,2,10,1.2345679012345678,0.4144218814753419,20
720575941352918576,DNg70,720575941555938899,IN17A083,720575941479034563,DLM1-4,DLM1,1,23,2.564102564102564,0.4395184406650105,23
720575941352918576,DNg70,720575941555938899,IN17A083,720575941479034563,DLM1-4,DLM1,1,23,2.564102564102564,0.4395184406650105,23
720575941352918576,DNg70,720575941555938899,IN17A083,720575941479034563,DLM1-4,DLM1,3,23,7.6923076923076925,0.4395184406650105,69
720575941352918576,DNg70,720575941555938899,IN17A083,720575941479034563,DLM1-4,DLM1,1,23,2.564102564102564,0.4395184406650105,23
720575941352918576,DNg70,720575941578793809,IN17A072,720575941566847847,DVM1a-c,DVM1A,4,17,4.25531914893617,0.9239130434782609,68
