dn_id,specialization,total_synapses,power_synapses,steering_synapses,primary_synapses,secondary_synapses,specificity,n_target_ins,target_clusters
720575941350890544,power_control,13,7,6,7,6,0.5384615384615384,4,"{4: 2, 1: 2, 3: 1}"
720575941352918576,power_control,37,37,0,37,0,1.0,5,"{1: 10, 3: 3}"
720575941390308246,steering_control,10,0,10,10,0,1.0,2,{5: 3}
720575941392812548,steering_control,300,34,266,266,34,0.8866666666666667,22,"{5: 11, 2: 6, 4: 5, 3: 3, 1: 1}"
720575941394119830,steering_control,20,0,20,20,0,1.0,5,"{5: 4, 4: 1}"
720575941394131094,steering_control,3,0,3,3,0,1.0,1,{5: 2}
720575941400285475,steering_control,51,0,51,51,0,1.0,2,{5: 2}
720575941401753635,steering_control,46,0,46,46,0,1.0,10,"{5: 10, 4: 3, 2: 1}"
720575941401766435,steering_control,17,0,17,17,0,1.0,2,"{5: 1, 2: 1}"
720575941401786403,steering_control,26,0,26,26,0,1.0,4,"{5: 3, 2: 2}"
720575941401814307,steering_control,86,0,86,86,0,1.0,2,{5: 2}
720575941404813680,steering_control,3,0,3,3,0,1.0,1,{2: 1}
720575941404981360,steering_control,3,0,3,3,0,1.0,1,{5: 1}
720575941405473327,steering_control,16,0,16,16,0,1.0,2,{5: 3}
720575941407841071,steering_control,242,79,163,163,79,0.6735537190082644,19,"{5: 22, 4: 13, 3: 9}"
720575941408508078,steering_control,176,0,176,176,0,1.0,10,"{5: 13, 2: 5}"
720575941408535343,power_control,4,4,0,4,0,1.0,1,{3: 1}
720575941408639535,power_control,16,16,0,16,0,1.0,5,"{1: 3, 3: 2}"
720575941408661934,steering_control,93,12,81,81,12,0.8709677419354839,4,"{5: 5, 1: 1}"
720575941409225902,steering_control,43,0,43,43,0,1.0,3,"{4: 2, 2: 2}"
720575941411212715,steering_control,110,9,101,101,9,0.9181818181818182,11,"{5: 14, 3: 2, 4: 1}"
720575941411441323,steering_control,606,91,515,515,91,0.8498349834983498,54,"{5: 98, 1: 22, 4: 9, 3: 6, 2: 3}"
720575941411472555,steering_control,40,0,40,40,0,1.0,3,"{5: 2, 2: 1}"
720575941412619631,steering_control,55,0,55,55,0,1.0,4,{5: 5}
720575941413189999,steering_control,3,0,3,3,0,1.0,1,{5: 1}
720575941413642268,steering_control,7,0,7,7,0,1.0,1,{5: 1}
720575941414262161,steering_control,195,0,195,195,0,1.0,15,{5: 20}
720575941414341521,steering_control,184,61,123,123,61,0.6684782608695652,14,"{1: 10, 5: 9, 2: 2}"
720575941414424977,steering_control,104,0,104,104,0,1.0,8,"{5: 6, 2: 3, 4: 1}"
720575941414947220,steering_control,11,5,6,6,5,0.5454545454545454,3,"{5: 3, 1: 1}"
720575941415224348,steering_control,17,0,17,17,0,1.0,1,{5: 2}
720575941415707420,steering_control,5,0,5,5,0,1.0,1,{5: 1}
720575941425381716,steering_control,5,0,5,5,0,1.0,1,{5: 1}
720575941429866593,steering_control,7,0,7,7,0,1.0,2,"{5: 1, 4: 1}"
720575941430069641,steering_control,108,0,108,108,0,1.0,3,"{2: 5, 5: 2}"
720575941430250377,steering_control,250,0,250,250,0,1.0,23,"{5: 23, 2: 16, 4: 1}"
720575941430607753,steering_control,34,0,34,34,0,1.0,4,{5: 6}
720575941430630392,steering_control,7,0,7,7,0,1.0,1,{2: 1}
720575941431097737,steering_control,136,45,91,91,45,0.6691176470588235,12,"{1: 7, 5: 5, 3: 2}"
720575941431184559,steering_control,34,10,24,24,10,0.7058823529411765,5,"{5: 5, 2: 1, 3: 1}"
720575941431211951,steering_control,14,0,14,14,0,1.0,1,{5: 2}
720575941431577007,steering_control,15,3,12,12,3,0.8,3,"{5: 4, 3: 1}"
720575941432269271,power_control,19,19,0,19,0,1.0,1,{3: 2}
720575941432295639,steering_control,13,4,9,9,4,0.6923076923076923,3,"{5: 3, 1: 1}"
720575941432481633,steering_control,3,0,3,3,0,1.0,1,{5: 1}
720575941432905943,power_control,35,20,15,20,15,0.5714285714285714,7,"{1: 6, 5: 3, 3: 1}"
720575941433116046,steering_control,30,0,30,30,0,1.0,6,{5: 8}
720575941433139598,steering_control,36,8,28,28,8,0.7777777777777778,7,"{5: 6, 3: 2, 4: 1}"
720575941433415200,steering_control,42,17,25,25,17,0.5952380952380952,8,"{5: 8, 3: 5, 1: 1}"
720575941433654048,steering_control,93,7,86,86,7,0.9247311827956989,12,"{5: 11, 2: 7, 3: 1, 1: 1}"
720575941434224526,steering_control,11,3,8,8,3,0.7272727272727273,3,"{5: 1, 1: 1, 4: 1}"
720575941434874912,steering_control,21,9,12,12,9,0.5714285714285714,5,"{1: 4, 5: 2, 3: 1}"
720575941435430542,steering_control,128,0,128,128,0,1.0,8,"{5: 11, 2: 1}"
720575941436052768,steering_control,25,10,15,15,10,0.6,6,"{5: 3, 1: 3, 4: 1}"
720575941436095788,steering_control,38,3,35,35,3,0.9210526315789473,8,"{5: 10, 1: 1, 2: 1}"
720575941436259602,steering_control,61,10,51,51,10,0.8360655737704918,13,"{5: 9, 2: 3, 1: 3}"
720575941436586784,steering_control,28,0,28,28,0,1.0,3,{5: 4}
720575941438213951,steering_control,14,4,10,10,4,0.7142857142857143,3,"{3: 3, 5: 2}"
720575941438410514,steering_control,299,33,266,266,33,0.8896321070234113,18,"{5: 31, 1: 4, 3: 4, 4: 3, 2: 1}"
720575941438445330,steering_control,27,0,27,27,0,1.0,1,{5: 1}
720575941438465298,steering_control,30,7,23,23,7,0.7666666666666667,6,"{5: 8, 1: 2}"
720575941438690834,steering_control,80,0,80,80,0,1.0,9,"{5: 10, 2: 2}"
720575941438773548,steering_control,242,0,242,242,0,1.0,20,"{5: 21, 2: 12, 4: 1}"
720575941439029951,steering_control,51,16,35,35,16,0.6862745098039216,11,"{5: 14, 1: 7}"
720575941439143954,steering_control,58,0,58,58,0,1.0,7,"{2: 5, 5: 3}"
720575941439285036,steering_control,32,0,32,32,0,1.0,7,"{5: 4, 4: 3, 2: 3}"
720575941439454783,steering_control,7,0,7,7,0,1.0,2,"{2: 1, 4: 1}"
720575941439563583,steering_control,19,3,16,16,3,0.8421052631578947,3,"{2: 1, 5: 1, 3: 1}"
720575941439577055,steering_control,3,0,3,3,0,1.0,1,{5: 1}
720575941439622111,steering_control,54,12,42,42,12,0.7777777777777778,7,"{5: 6, 1: 4, 4: 1}"
720575941439786719,steering_control,5,0,5,5,0,1.0,1,{2: 1}
