neuron_id,similarity,neuron_id_name
720575941407795118,0.5405759,IN19B067
720575941409016235,0.48019424,IN19B075
720575941408509867,0.45985335,IN18B034
720575941402032240,0.38423672,IN19B043
720575941405813295,0.3646417,IN06B066
720575941399264291,0.25019437,IN03B089
720575941390660502,0.17002895,IN03B090
720575941399251235,0.1615409,IN12A062
720575941401776931,0.14243525,IN12A015
720575941411210667,0.13106507,IN19B041
720575941392812548,0.12692046,DNp26
720575941351927600,0.11125257,IN07B038
720575941405473327,0.11073735,DNge015
720575941404452720,0.11028675,IN07B047
720575941350374960,0.10851771,IN08A011
720575941350890544,0.102325216,DNge110
720575941402058608,0.07899243,IN00A040
720575941410021231,0.07889669,IN11B022
720575941408568750,0.077426985,AN19B001
720575941394131094,0.07141635,DNg26
