dn_id,dn_name,in_id,in_name,mn_id,mn_name,muscle,dn_in_synapses,in_mn_synapses,pathway_strength
720575941392812548,DNp26,720575941572251144,w-cHIN,720575941549822781,b1,b1,45,25,1125
720575941392812548,DNp26,720575941630748859,w-cHIN,720575941655597785,b2,b2,28,58,1624
720575941400285475,DNnt020,720575941579868917,IN03B022,720575941630940642,hg4,hg4,45,46,2070
720575941400285475,DNnt020,720575941579868917,IN03B022,720575941630940642,hg4,hg4,45,33,1485
720575941408508078,DNp08,720575941563920999,IN02A010,720575941629172716,iii1,iii1,28,237,6636
720575941408508078,DNp08,720575941625963419,IN04B006,720575941516770670,iii4,iii4,36,33,1188
720575941411441323,DNxn124,720575941575397263,IN13A013,720575941645041313,ps1,ps1,26,25,650
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941472734048,DVM1a-c,DVM1A,29,39,1131
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941603635190,DVM1a-c,DVM1A,29,32,928
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941643100754,ps1,ps1,29,96,2784
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941643100754,ps1,ps1,29,182,5278
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941645041313,ps1,ps1,29,26,754
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941645041313,ps1,ps1,29,52,1508
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941645041313,ps1,ps1,29,47,1363
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941472734048,DVM1a-c,DVM1A,27,39,1053
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941603635190,DVM1a-c,DVM1A,27,32,864
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941643100754,ps1,ps1,27,96,2592
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941643100754,ps1,ps1,27,182,4914
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941645041313,ps1,ps1,27,26,702
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941645041313,ps1,ps1,27,52,1404
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941645041313,ps1,ps1,27,47,1269
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941472734048,DVM1a-c,DVM1A,36,39,1404
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941603635190,DVM1a-c,DVM1A,36,32,1152
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941643100754,ps1,ps1,36,96,3456
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941643100754,ps1,ps1,36,182,6552
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941645041313,ps1,ps1,36,26,936
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941645041313,ps1,ps1,36,52,1872
720575941411441323,DNxn124,720575941623108298,IN13A013,720575941645041313,ps1,ps1,36,47,1692
720575941411441323,DNxn124,720575941671138727,IN13A013,720575941565105206,DVM1a-c,DVM1A,32,46,1472
720575941411441323,DNxn124,720575941671138727,IN13A013,720575941566847847,DVM1a-c,DVM1A,32,25,800
720575941411441323,DNxn124,720575941671138727,IN13A013,720575941643100754,ps1,ps1,32,41,1312
720575941411441323,DNxn124,720575941671138727,IN13A013,720575941643100754,ps1,ps1,32,36,1152
720575941411441323,DNxn124,720575941671138727,IN13A013,720575941643100754,ps1,ps1,32,34,1088
720575941411441323,DNxn124,720575941671138727,IN13A013,720575941645041313,ps1,ps1,32,64,2048
720575941411441323,DNxn124,720575941671138727,IN13A013,720575941645041313,ps1,ps1,32,157,5024
720575941411441323,DNxn124,720575941671138727,IN13A013,720575941565105206,DVM1a-c,DVM1A,31,46,1426
720575941411441323,DNxn124,720575941671138727,IN13A013,720575941566847847,DVM1a-c,DVM1A,31,25,775
720575941411441323,DNxn124,720575941671138727,IN13A013,720575941643100754,ps1,ps1,31,41,1271
720575941411441323,DNxn124,720575941671138727,IN13A013,720575941643100754,ps1,ps1,31,36,1116
720575941411441323,DNxn124,720575941671138727,IN13A013,720575941643100754,ps1,ps1,31,34,1054
720575941411441323,DNxn124,720575941671138727,IN13A013,720575941645041313,ps1,ps1,31,64,1984
720575941411441323,DNxn124,720575941671138727,IN13A013,720575941645041313,ps1,ps1,31,157,4867
720575941414262161,DNxn163,720575941457802480,IN12B015,720575941516770670,iii4,iii4,57,26,1482
720575941430250377,DNg91,720575941457147206,IN18B020,720575941513173763,hg4,hg4,25,66,1650
720575941430250377,DNg91,720575941457147206,IN18B020,720575941516770670,iii4,iii4,25,32,800
720575941430250377,DNg91,720575941457147206,IN18B020,720575941549822781,b1,b1,25,25,625
720575941430250377,DNg91,720575941457147206,IN18B020,720575941580669817,hg1,hg1,25,40,1000
720575941438410514,DNb07,720575941623108298,IN13A013,720575941472734048,DVM1a-c,DVM1A,29,39,1131
720575941438410514,DNb07,720575941623108298,IN13A013,720575941603635190,DVM1a-c,DVM1A,29,32,928
720575941438410514,DNb07,720575941623108298,IN13A013,720575941643100754,ps1,ps1,29,96,2784
