dn_id,dn_name
720575941564155904,DNnt012
720575941486815238,DNfl022
720575941565091847,DNfl026
720575941470195723,DNxl056
720575941438646290,DNg38
720575941614483475,DNg08
720575941447884820,DNxn071
720575941467453462,DNfl038
720575941507205143,DNxn178
720575941658841112,DNxl102
720575941658613784,DNad006
720575941658621976,DNpe054
720575941413642268,DNg78
720575941542617117,DNp17
720575941549490209,DNg02
720575941508261922,DNnt007
720575941508298786,DNg43
720575941399099427,DNfl033
720575941595605029,DNge071
720575941401753635,DNg06
720575941401786403,DNut042
720575941730332715,DNg02
720575941730244651,DNg12
720575941559205933,DNg05
720575941561655341,DNae001
720575941561776173,DNxl120
720575941476214833,DNge140
720575941504090162,DNxl022
720575941454569523,DNg18
720575941454260275,DNg106
720575941490071605,DNut046
720575941627576377,DNge085
720575941722210362,DNg06
720575941628153913,DNge140
720575941506644028,DNnt011
720575941550561341,DNxn189
720575941486684226,DNa14
720575941515077699,DNg12
720575941523447883,DNg07
720575941522739275,DNg10
720575941513793612,DNg12
720575941450934350,DNp27
720575941644058706,oviDN
720575941554856019,DNpe054
720575941554354259,DNg12
720575941440350293,DNp71
720575941532803160,DNxl081
720575941579149401,DNp17
720575941578692697,DNp09
720575941441615963,DNpe007
720575941542676572,DNg85
720575941429866593,DNut054
720575941565716578,DNfl030
720575941643577445,DNxn113
720575941610213478,DNg01
720575941574226024,DNge020
720575941576562792,DNxl101
720575941404981360,DNp17
720575941569505394,DNut042
720575941557512307,DNg12
720575941663518844,DNxn146
720575941496684672,DNxl106
720575941493928064,DNnt008
720575941480587394,DNxn071
720575941509165185,DNp27
720575941596596357,DNit004
720575941553551495,DNg07
720575941624572042,DNg61
720575941502734475,DNp38
720575941591064716,DNpe054
720575941486692493,DNp68
720575941435949198,DNxl118
720575941515411603,DNit005
720575941516800147,DNnt019
720575941565876375,DNge152
720575941691031704,DNg48
720575941688242328,DNge024
720575941614432409,DNxn162
720575941626175643,DNg16
720575941563201687,DNg12
720575941573417117,DNg10
720575941572464798,DNad006
720575941630646432,DNfl003_CvC
720575941528109222,DNg88
720575941562771624,DNnt012
720575941430610095,DNge109
720575941450039477,DNg83
720575941530466488,DNg08
720575941603438777,DNg07
720575941545033916,DNnt011
720575941605091518,DNnt011
720575941602726078,DNge109
720575941536706753,DNg80
720575941480480963,DNxn172
720575941480917187,DNge069
720575941462378692,oviDN
720575941483266246,DNpe045
720575941495775431,DNge085
720575941633124549,DNxn157
720575941623634122,DNg02
720575941440714959,DNg03
720575941485430992,DNg37
720575941510361298,DNge117
720575941461352659,DNxn144
720575941511270610,DNg39
720575941461407955,DNxn157
720575941595193558,DNp35
720575941432295639,DNg02
720575941585365214,DNut042
720575941478074592,DNg02
720575941631013090,DNxl134
720575941556199652,DNxn109
720575941531918565,DNxn109
720575941611833577,DNge051
720575941503527147,DNge025
720575941456679149,DNpe020
720575941688133871,DNge046
720575941652156657,DNp41
720575941666660595,DNpe014
720575941431875832,DNxl083
720575941514447097,DNnt018
720575941569306874,DNg12
720575941516357881,DNpe014
720575941482713341,DNg07
720575941588369662,DNg01
720575941588123902,DNg12
720575941563334912,DNp17
720575941552863489,DNg92
720575941525186818,DNnt016
720575941574744329,DNg02
720575941471768843,DNxn171
720575941448018196,DNge142
720575941652078869,DNg44
720575941448124692,DNge115
720575941445677332,DNge060
720575941536772378,DNp29
720575941542885661,DNg84
720575941640075551,DNge062
720575941436313888,DNfl035
720575941433235744,DNg12
720575941505929506,DNg02
720575941401962787,DNg104
720575941558599972,DNxn177
720575941557473572,DNde006
720575941627484454,DNge145
720575941731655979,DNge094
720575941437329708,DNg08_b
720575941475557681,DNg03
720575941503846706,DNpe011
720575941504602418,DNxn129
720575941489207605,DNnt012
720575941565694262,DNfl036
720575941565477174,DNfl021
720575941566165302,DNg87
720575941490694453,DNp30
720575941723220282,DNxl063
720575941722108218,DNg07
720575941566232886,DNfl024
720575941505415484,DNfl021
720575941469370688,DNg10
720575941586901316,DNge089
720575941425381716,DNxn109
720575941426612564,DNg92
720575941501552983,DNg02
720575941577482585,DNxn108
720575941516601690,oviDN
720575941543108956,DNp37
720575941473933664,DNge104
720575941429383521,DNg12
720575941514608995,DNg81
720575941527175524,DNg03
720575941515579747,DNxn170
720575941612058982,DNxn179
720575941564402023,DNg09
720575941519462766,DNg104
720575941413189999,DNp38
720575941404748144,DNxl097
720575941404813680,DNut042
720575941569571186,DNp71
720575941560435059,DNge133
720575941569808754,DNnt008
720575941596205425,DNg106
720575941688582518,DNge092
720575941471297911,DNxl109
720575941687421302,DNg09
720575941471627639,DNg92
720575941452030330,oviDN
720575941579450745,DNge020
720575941547473268,DNnt008
720575941537718653,DNxn108
720575941663480188,DNge101
720575941620273535,DNd03
720575941496697216,DNp39
720575941479563650,DNxl084
720575941596424581,oviDN
720575941626302858,DNg12
720575941433139598,DNg06
720575941414947220,DNxn187
720575941688574360,DNge109
720575941615534489,DNp68
720575941612374425,DNfl021
720575941574467997,DNpe054
720575941571453342,DNge094
720575941572407710,DNad004
720575941572719006,DNp67
720575941643030945,DNg92
720575941498788258,DNnt011
720575941557316004,DNg14
720575941444536746,DNut042
720575941442861482,DNg09
720575941409214894,DNp25
720575941431577007,DNg02
720575941492588976,DNxl123
720575941521369523,DNge092
720575941449875893,DNxl106
720575941527644600,DNg57
720575941634017723,DNpe018
720575941633833403,DNge091
720575941605523902,DNp44
720575941482058179,DNxn144
720575941643043272,DNg72
720575941489377737,DNp17
720575941623407050,DNg09
720575941530577355,DNut046
720575941513798097,DNg88
720575941432269271,DNg10
720575941689709019,DNg07
720575941614012892,DNg64
720575941690874331,DNp16
720575941479434720,DNg12
720575941499077089,DNpe027
720575941556283876,DNge004
720575941488845287,DNg44
720575941534075370,DNge071
720575941503461867,DNge010
720575941533807082,DNg11
720575941455929837,DNge089
720575941453830637,DNfl012
720575941560162798,DNp35
720575941652433393,DNpe011
720575941603791350,DNg76
720575941523079671,DNg106
720575941523106295,DNg14
720575941483358717,DNp17
720575941551991295,DNg16
720575941552009727,DNg49
720575941390619140,DNg10
720575941542584837,DNge020
720575941393242628,DNp30
720575941565293063,DNg12
720575941471805963,DNg51
720575941431747086,DNg73
720575941433031182,DNxn165
720575941510509072,DNnt009
720575941560564239,DNp16
720575941417243164,oviDN
720575941414353436,DNg10
720575941477392926,DNxl073
720575941548409377,DNxn128
