dn_id,dn_name,strategy,direct_mn_targets,direct_synapses,indirect_in_targets,indirect_synapses,total_targets,total_synapses,direct_fraction
720575941533704067,DNp31,both,32,654,31,424,63,1078,0.6066790352504638
720575941618366079,DNp31,both,32,711,22,316,54,1027,0.6923076923076923
720575941440280767,DNa15,both,7,103,27,659,34,762,0.13517060367454067
720575941638407199,DNa15,both,9,126,28,593,37,719,0.17524339360222532
720575941612044518,DNa04,both,10,213,21,465,31,678,0.3141592920353982
720575941496011719,DNa16,both,2,46,13,611,15,657,0.0700152207001522
720575941602323897,DNa04,both,6,181,20,388,26,569,0.3181019332161687
720575941507568709,DNa16,both,2,40,12,474,14,514,0.07782101167315175
720575941471808375,DNxn125,both,6,131,17,349,23,480,0.27291666666666664
720575941552726407,DNg99,both,2,22,22,458,24,480,0.04583333333333333
720575941450506830,DNp18,both,1,15,16,401,17,416,0.036057692307692304
720575941547452084,DNp49,both,3,66,21,345,24,411,0.16058394160583941
720575941515972698,DNg99,indirect_only,0,0,19,378,19,378,0.0
720575941645444808,DNp22,both,2,32,17,339,19,371,0.0862533692722372
720575941510642192,DNa10,both,10,224,9,146,19,370,0.6054054054054054
720575941504652482,DNxn124,both,4,65,15,298,19,363,0.1790633608815427
720575941540246364,DNxn125,both,5,105,13,254,18,359,0.2924791086350975
720575941592893992,DNp49,both,4,91,15,268,19,359,0.25348189415041783
720575941411441323,DNxn124,both,4,65,12,270,16,335,0.19402985074626866
720575941639588127,DNp33,both,4,63,16,270,20,333,0.1891891891891892
720575941535245034,DNb07,indirect_only,0,0,16,322,16,322,0.0
720575941652633585,DNae002,both,2,34,14,287,16,321,0.1059190031152648
720575941478585450,DNp22,both,1,14,16,300,17,314,0.044585987261146494
720575941472160011,DNp73,indirect_only,0,0,14,306,14,306,0.0
720575941568870770,DNa10,both,10,183,8,122,18,305,0.6
720575941600878377,DNa05,both,2,37,18,264,20,301,0.12292358803986711
720575941733034283,DNp19,indirect_only,0,0,20,296,20,296,0.0
720575941474063968,DNxn163,indirect_only,0,0,12,295,12,295,0.0
720575941652614129,DNae002,both,2,31,13,263,15,294,0.1054421768707483
720575941560503155,DNp73,indirect_only,0,0,13,286,13,286,0.0
720575941563218944,DNxn122,both,2,24,13,262,15,286,0.08391608391608392
720575941442418639,DNxn142,indirect_only,0,0,12,280,12,280,0.0
720575941414262161,DNxn163,both,1,10,14,261,15,271,0.03690036900369004
720575941486700098,DNa05,both,3,56,14,211,17,267,0.20973782771535582
720575941491972327,DNge084,indirect_only,0,0,8,267,8,267,0.0
720575941595189029,DNp18,both,2,21,7,242,9,263,0.07984790874524715
720575941451941498,DNp33,both,2,38,15,221,17,259,0.14671814671814673
720575941453030983,DNb07,both,1,11,12,240,13,251,0.043824701195219126
720575941552603966,DNp19,indirect_only,0,0,17,250,17,250,0.0
