target,in_name,in_rank,in_cluster,n_dns,total_synapses
720575941623108298,720575941623108298,1,3,11,561
720575941669049587,720575941669049587,3,2,1,10
720575941524114276,720575941524114276,4,3,3,53
720575941402032240,720575941402032240,5,2,1,16
720575941457802480,720575941457802480,6,2,12,537
720575941594160421,720575941594160421,8,2,1,16
720575941518434227,720575941518434227,9,2,1,12
720575941554049307,720575941554049307,10,2,1,10
720575941557612915,720575941557612915,11,1,31,1288
720575941572251144,720575941572251144,13,1,33,1134
720575941474741819,720575941474741819,14,2,16,633
720575941516099500,720575941516099500,17,2,3,31
720575941671138727,720575941671138727,19,3,12,518
720575941511393233,720575941511393233,20,3,2,22
720575941608991050,720575941608991050,22,1,34,955
720575941460235152,720575941460235152,25,2,1,16
720575941512896099,720575941512896099,26,2,4,63
720575941477166622,720575941477166622,28,5,22,564
720575941415476252,720575941415476252,31,2,1,12
720575941519213016,720575941519213016,32,2,2,25
720575941408509867,720575941408509867,33,2,4,62
720575941532246762,720575941532246762,36,5,15,473
720575941579868917,720575941579868917,37,4,23,714
720575941457147206,720575941457147206,38,4,11,396
720575941611080010,720575941611080010,45,5,18,433
720575941537594573,720575941537594573,47,2,1,13
720575941562464866,720575941562464866,48,5,1,13
720575941473850720,720575941473850720,49,5,15,416
720575941553338778,720575941553338778,50,5,11,364
