group_id,neuron_1,neuron_2,similarity,group_size,n_target_mns,total_synapses
4,720575941402032240,7.205759415941604e+17,0.9780555890389704,2,7,916
10,720575941407795118,7.2057594151562e+17,0.9761906737869575,2,5,568
38,720575941433406752,7.205759414387483e+17,0.9599496052808584,2,1,171
47,720575941437603669,7.205759415516328e+17,0.9623715679564039,2,1,152
54,720575941438729919,7.205759416056027e+17,0.9579780041490813,2,2,259
55,720575941438935131,7.205759414334067e+17,0.9560791178949117,2,1,126
62,720575941445311658,7.205759414376037e+17,0.9588542996163683,2,1,103
75,720575941452198707,7.205759414793693e+17,0.9838420511816108,2,1,255
76,720575941452199475,7.205759414521987e+17,0.9814899243672427,2,1,248
85,720575941456340895,7.205759415534792e+17,0.9600157538865544,2,1,121
87,720575941457073478,7.205759414887329e+17,0.9607448101426542,2,1,123
90,720575941457979039,7.205759415168421e+17,0.9631344675663565,2,1,186
97,720575941459514512,7.205759415362943e+17,0.9544681363748121,2,1,127
98,720575941460235152,7.205759415540493e+17,0.9754987994762117,2,6,967
99,720575941461076493,7.205759414744596e+17,0.9604366126730636,2,1,134
107,720575941468245879,7.205759415534792e+17,0.9566552384995894,2,1,138
113,720575941469045824,7.205759415732556e+17,0.962371938928432,2,1,110
121,720575941474413873,7.205759415467277e+17,0.9800417906418307,2,2,424
122,720575941474447134,7.205759416251703e+17,0.9616843697691791,2,2,274
134,720575941477553376,7.205759416180084e+17,0.9543605230968867,2,4,484
148,720575941484663558,7.205759414077951e+17,0.9662375096519226,2,3,310
149,720575941485135426,7.2057594161492e+17,0.9752047764088901,2,3,367
152,720575941485775110,7.205759415307872e+17,0.9709507756505887,2,1,139
153,720575941486089538,7.205759415058351e+17,0.9567637748153782,2,3,424
157,720575941487910608,7.205759415640346e+17,0.9706172739584653,2,2,382
162,720575941489819081,7.205759416326735e+17,0.966725248211959,2,5,741
169,720575941494969726,7.205759416233281e+17,0.974358043222046,2,2,280
178,720575941496949410,7.20575941610537e+17,0.9613374691185187,2,2,265
180,720575941498696354,7.20575941628691e+17,0.978906440730343,2,1,136
184,720575941499420555,7.205759414521987e+17,0.9805995189558233,2,1,217
