dn_name,1,2,3,4,5
720575941436586784,0,0,0,2343,0
720575941606629485,195,0,0,0,0
DNa01,0,0,0,0,780
DNa02,0,0,0,7439,11262
DNa03,0,0,0,290,1560
DNa04,9012,0,374,12364,53251
DNa05,451,0,1384,6343,25436
DNa06,0,0,0,3517,858
DNa08,0,8700,0,0,0
DNa09,2322,845,0,2620,5025
DNa10,377,671,98032,0,5153
DNa12,0,0,0,0,3379
DNa14,0,0,0,190,0
DNa15,19961,0,0,20056,44996
DNa16,0,0,0,39615,78146
DNae002,4319,0,484,4998,42948
DNae003,3219,0,0,5699,8208
DNae005,0,0,0,620,0
DNb01,5612,0,0,0,8759
DNb02,0,0,0,8500,9115
DNb03,0,0,0,1439,2256
DNb04,0,0,0,0,473
DNb05,899,22241,7953,336,599
DNb06,3212,0,0,2641,21526
DNb07,7397,0,159125,17142,11097
DNb08,0,0,0,0,270
DNb09,0,0,0,0,660
DNbe002,0,0,0,176,0
DNbe003,0,0,0,0,320
DNbe005,0,0,0,0,120
DNbe007,0,0,0,1274,0
DNd04,0,0,0,1144,0
DNde001,0,0,0,836,0
DNde006,0,0,0,0,3476
DNfl025,0,0,0,0,490
DNfl026,0,0,0,0,290
DNfl027,0,0,0,484,0
DNg01,6366,0,0,0,0
DNg02,0,0,0,200,2884
DNg04,0,0,0,3766,38648
DNg05,410,0,0,0,1888
DNg06,429,9816,0,0,790
DNg07,3357,0,312,3381,21338
DNg08,748,0,680,7712,8001
DNg10,0,0,0,2376,0
DNg100,0,0,0,0,780
DNg105,0,0,0,140,2541
DNg106,0,0,0,1551,3102
DNg108,4230,0,0,924,1447
DNg111,0,0,0,5522,685
DNg15,2050,0,966,3077,957
DNg17,0,7552,0,731,4082
DNg18,0,0,0,0,120
DNg19,0,0,0,0,140
DNg21,0,0,1540,0,1518
DNg27,0,23670,0,0,31025
DNg32,1885,0,0,1790,14863
DNg36,1032,0,0,9111,0
DNg37,0,0,0,3504,448
DNg39,0,0,0,441,0
DNg41,0,0,0,3174,599
DNg42,2153,0,0,0,7888
DNg45,781,0,0,0,0
DNg49,0,0,0,863,0
DNg51,2755,0,0,0,0
DNg55,0,0,0,1230,0
DNg56,1500,0,0,0,0
DNg59,0,0,0,1705,0
DNg62,0,0,0,0,570
DNg65,0,0,0,528,0
DNg71,4763,0,0,19303,5970
DNg73,0,0,0,3016,0
DNg74,5010,0,0,1192,3428
DNg75,0,0,0,1796,976
DNg79,348,10000,0,2058,636
DNg82,11461,0,0,2832,0
DNg88,0,0,0,378,0
DNg89,0,0,0,6557,0
DNg90,0,0,0,1730,0
DNg91,1967,0,0,16173,429
DNg94,1679,0,110,1915,132
DNg97,0,0,0,0,210
DNg98,0,0,0,1972,410
DNg99,18363,0,86213,22707,3583
DNge006,0,0,0,1810,3764
DNge007,0,0,0,352,0
DNge014,1316,0,0,0,0
DNge016,4481,0,0,0,0
DNge035,0,0,0,394,0
DNge037,0,0,0,777,160
DNge046,168,0,0,0,0
DNge049,0,6770,0,440,826
DNge050,0,0,0,0,330
DNge053,0,0,0,0,3144
DNge063,0,0,0,350,0
DNge076,0,0,0,1056,0
DNge084,8028,0,0,52117,0
DNge085,0,0,0,0,360
DNge088,1844,0,0,0,0
DNge090,3962,0,0,6739,121
DNge091,7078,0,0,8251,27072
DNge093,3623,0,0,0,0
DNge094,0,0,0,0,330
DNge095,170,0,0,0,336
DNge116,0,0,0,682,0
DNge118,510,0,0,0,144
DNge131,200,0,0,0,0
DNge175,2612,0,0,0,0
DNht001,0,0,0,150,0
DNit007,0,0,0,429,0
DNnt010,0,0,0,3719,0
DNnt011,0,0,0,744,0
DNnt012,0,0,0,0,630
DNnt015,0,0,0,6285,0
DNnt017,0,0,0,11687,0
DNnt020,0,0,0,4015,418
DNp01,0,2900,0,0,0
DNp02,2376,4001,7536,2087,1022
DNp03,2573,0,0,0,0
DNp04,3102,0,0,0,0
DNp05,0,20601,0,510,0
DNp06,0,4755,0,0,2893
DNp07,377,0,8007,970,774
DNp08,3775,0,0,10222,20644
DNp10,4234,0,0,6460,1758
DNp103,0,0,0,0,8777
DNp11,0,8587,0,0,0
DNp12,0,0,0,12200,688
DNp13,5076,0,1090,22791,168
DNp15,1555,0,0,5089,8539
DNp16,440,0,0,946,1159
DNp17,2295,0,0,3947,610
DNp18,21080,1600,9338,110,4449
DNp19,9836,704,0,29765,6405
DNp22,19009,0,0,35260,11084
DNp23,0,0,0,240,0
DNp26,12719,0,2168,1230,11498
DNp28,2680,0,0,18442,7421
DNp31,6837,51305,30780,73181,7722
DNp33,4010,0,3094,64480,3546
DNp37,0,0,0,0,1222
DNp42,480,0,1528,0,0
DNp43,3638,0,10142,0,0
DNp45,494,0,16421,0,14211
DNp47,0,0,29416,0,240
DNp48,0,2346,0,0,0
DNp49,1160,0,7950,4597,7008
DNp51,3352,0,0,550,4709
DNp53,3841,0,0,962,0
DNp54,0,0,0,1924,6930
DNp57,4185,0,0,0,3460
DNp59,0,13664,0,0,11544
DNp60,0,0,420,0,0
DNp63,0,0,42785,0,0
DNp66,0,0,0,150,0
DNp69,0,0,0,450,2772
DNp72,1035,0,0,0,0
DNp73,14049,0,0,49093,150
DNpe003,0,0,0,300,0
DNpe004,380,0,0,1743,0
DNpe005,20099,16798,0,1079,0
DNpe006,1384,0,0,0,0
DNpe010,0,1810,0,0,0
DNpe011,200,0,0,0,0
DNpe031,0,0,0,230,0
DNpe032,0,0,0,0,810
DNpe039,0,0,0,0,330
DNpe042,0,0,0,0,1078
DNpe045,0,0,0,154,0
DNpe054,1693,0,0,770,0
DNpe055,0,8236,0,2586,2278
DNut037,6423,0,0,464,2565
DNut040,1795,0,13460,100,20324
DNut042,1560,0,0,3933,3635
DNut043,280,0,0,0,0
DNut046,1606,0,0,605,448
DNut047,0,0,6594,0,0
DNut048,3820,0,0,0,0
DNut050,2449,0,0,0,0
DNut051,0,0,0,1604,4141
DNut053,600,18599,0,0,610
DNut054,950,0,0,2254,156
DNut058,200,0,0,0,0
DNut062,0,0,0,614,7581
DNxl075,0,0,0,204,0
DNxl080,0,0,0,378,2190
DNxl092,0,0,0,561,0
DNxl100,0,0,0,130,0
DNxl103,0,0,0,0,290
DNxl111,0,0,0,651,0
DNxl112,0,0,400,0,0
DNxl113,0,0,0,420,0
DNxl115,286,0,0,0,0
DNxl117,0,0,0,1358,0
DNxl127,0,143,0,130,100
DNxl130,0,0,0,0,768
DNxn007,0,0,0,330,1558
DNxn102,3048,10136,0,989,4722
DNxn106,720,0,0,0,0
DNxn109,0,0,0,0,330
DNxn114,0,0,0,1612,8051
DNxn117,3610,0,0,4272,4935
DNxn118,5132,0,0,0,3345
DNxn122,11117,0,0,1310,12518
DNxn124,0,1250,203876,396,1139
DNxn125,10659,0,0,601,97247
DNxn131,0,0,0,170,0
DNxn136,697,0,0,0,2070
DNxn139,0,0,0,0,140
DNxn142,17830,0,0,3051,2395
DNxn143,0,0,0,0,2610
DNxn144,0,0,0,1185,0
DNxn146,0,0,0,992,0
DNxn151,760,0,769,9775,1851
DNxn152,0,0,1090,440,456
DNxn153,0,0,0,0,2601
DNxn155,0,19352,0,156,18371
DNxn159,0,0,0,0,8378
DNxn163,0,24477,480,2591,7250
DNxn173,0,0,0,0,1794
DNxn175,0,0,0,0,1038
DNxn176,1892,0,0,3372,0
DNxn179,0,0,0,1520,0
