dn_name,n_pathways,n_ins,n_mns,n_muscles,pathway_strength
DNxn124,248,10,27,13,206661
DNb07,321,19,31,15,194761
DNp31,412,34,43,17,169825
DNg99,179,28,31,15,130866
DNa16,85,15,15,9,117761
DNxn125,149,16,16,9,108507
DNa10,175,9,26,13,104233
DNa15,192,39,19,10,85013
DNp33,137,24,19,11,75130
DNa04,160,32,22,12,75001
DNp22,148,29,21,12,65353
DNp73,96,22,17,10,63292
DNge084,71,12,15,9,60145
DNg27,134,9,26,6,54695
DNae002,84,23,15,8,52749
DNp19,135,23,22,13,46710
DNp63,85,3,15,7,42785
DNg04,44,7,6,4,42414
DNge091,106,15,21,13,42401
DNpe005,93,7,23,10,37976
DNxn155,96,8,19,7,37879
DNp18,66,15,23,11,36577
DNut040,83,11,26,13,35679
DNxn163,93,16,20,10,34798
DNp08,56,11,13,7,34641
DNa05,106,30,20,11,33614
DNb05,73,7,20,9,32028
DNp45,86,11,11,7,31126
DNg71,62,15,18,10,30036
DNp47,113,3,19,8,29656
DNp13,57,12,15,8,29125
DNp28,70,14,18,10,28543
DNg07,66,8,14,8,28388
DNp26,57,17,17,10,27615
DNb06,52,4,16,9,27379
DNp59,72,13,21,10,25208
DNxn122,65,16,16,9,24945
DNxn142,59,15,13,8,23276
DNp05,46,3,9,3,21111
DNp49,82,19,25,11,20715
DNut053,56,4,24,10,19809
DNxn102,45,8,22,11,18895
DNa02,29,8,6,3,18701
DNg91,46,8,15,9,18569
DNg32,34,10,11,7,18538
DNb02,43,9,11,7,17615
DNg08,40,11,13,8,17141
DNae003,62,18,17,10,17126
DNp02,57,9,22,10,17022
DNp15,24,9,6,3,15183
DNb01,43,11,12,7,14371
DNg82,37,8,10,5,14293
DNp43,38,6,9,6,13780
DNxn151,44,12,17,11,13155
DNpe055,50,6,25,11,13100
DNg79,38,6,20,9,13042
DNp12,27,4,13,7,12888
DNxn117,44,6,13,10,12817
DNp10,35,9,16,11,12452
DNg17,31,5,24,8,12365
DNnt017,7,3,1,1,11687
DNg06,55,4,19,8,11035
DNge090,29,6,8,6,10822
DNa09,52,16,17,10,10812
DNg36,28,5,10,7,10143
