source,target,weight,neuropil,nt_type,target_total_input,shrec_score
720575941350374960,720575941643100754,35,VNC_WTct_R,,8670,0.40369088811995385
720575941350409264,720575941547315060,35,VNC_HTct_L,,5135,0.6815968841285297
720575941350409264,720575941565378919,13,VNC_HTct_L,,2178,0.5968778696051423
720575941390660502,720575941519783640,15,VNC_WTct_L,,3546,0.4230118443316413
720575941390660502,720575941614289683,3,VNC_WTct_L,,593,0.5059021922428331
720575941390660502,720575941645403000,21,VNC_WTct_L,,5129,0.4094365373367128
720575941393490326,720575941521196211,13,VNC_WTct_L,,2190,0.593607305936073
720575941399253283,720575941549822781,26,VNC_WTct_R,,4270,0.6088992974238876
720575941399264291,720575941534583786,24,VNC_WTct_L,,5271,0.4553215708594195
720575941399264291,720575941590220684,8,VNC_WTct_L,,648,1.2345679012345678
720575941399264291,720575941590220684,3,VNC_unassigned_L,,648,0.4629629629629629
720575941399264291,720575941614289683,3,VNC_WTct_L,,593,0.5059021922428331
720575941399264291,720575941645403000,25,VNC_WTct_L,,5129,0.48742444921037237
720575941399309603,720575941521196211,27,VNC_WTct_L,,2190,1.2328767123287672
720575941400818723,720575941513173763,36,VNC_HTct_R,,5531,0.6508768757909962
720575941400818723,720575941580669817,26,VNC_HTct_R,,6173,0.4211890490847238
720575941401776931,720575941580669817,26,VNC_WTct_R,,6173,0.4211890490847238
720575941401776931,720575941732789547,8,VNC_HTct_L,,1895,0.4221635883905013
720575941401776931,720575941732789547,20,VNC_WTct_R,,1895,1.0554089709762533
720575941402032240,720575941463144336,27,VNC_WTct_R,,4549,0.5935370411079358
720575941402032240,720575941472734048,18,VNC_WTct_R,,1616,1.1138613861386137
720575941402032240,720575941479034563,47,VNC_WTct_R,,5233,0.8981463787502388
720575941402032240,720575941487139138,15,VNC_WTct_R,,905,1.6574585635359116
720575941402032240,720575941499558369,8,VNC_WTct_R,,929,0.8611410118406888
720575941402032240,720575941499558369,5,VNC_unassigned_R,,929,0.5382131324004306
720575941402032240,720575941507955269,26,VNC_WTct_L,,4269,0.6090419301944249
720575941402032240,720575941519783640,29,VNC_WTct_L,,3546,0.8178228990411731
720575941402032240,720575941530190027,10,VNC_WTct_R,,680,1.4705882352941175
720575941402032240,720575941533190337,43,VNC_WTct_R,,4534,0.9483899426554918
720575941402032240,720575941542328837,5,VNC_WTct_L,,481,1.0395010395010396
720575941402032240,720575941560383347,22,VNC_WTct_L,,1027,2.142161635832522
720575941402032240,720575941565105206,12,VNC_WTct_L,,1775,0.676056338028169
720575941402032240,720575941566847847,15,VNC_WTct_L,,1840,0.8152173913043478
720575941402032240,720575941583644382,46,VNC_WTct_R,,3889,1.1828233479043457
720575941402032240,720575941590220684,3,VNC_WTct_L,,648,0.4629629629629629
720575941402032240,720575941596050112,43,VNC_WTct_R,,5583,0.77019523553645
720575941402032240,720575941597489344,28,VNC_WTct_R,,1757,1.593625498007968
720575941402032240,720575941603635190,20,VNC_WTct_R,,2413,0.8288437629506838
720575941402032240,720575941614289683,5,VNC_WTct_L,,593,0.8431703204047217
720575941402032240,720575941624985226,12,VNC_WTct_R,,738,1.6260162601626018
720575941402032240,720575941640465439,30,VNC_WTct_L,,4273,0.7020828457758015
720575941402032240,720575941645403000,36,VNC_WTct_L,,5129,0.7018912068629363
720575941404452720,720575941534583786,46,VNC_WTct_L,,5271,0.872699677480554
720575941404724848,720575941521196211,11,VNC_WTct_L,,2190,0.502283105022831
720575941405813295,720575941487139138,4,VNC_WTct_R,,905,0.44198895027624313
720575941405813295,720575941499558369,5,VNC_WTct_R,,929,0.5382131324004306
720575941407795118,720575941463144336,31,VNC_WTct_R,,4549,0.6814684546054077
720575941407795118,720575941472734048,19,VNC_WTct_R,,1616,1.1757425742574257
720575941407795118,720575941479034563,41,VNC_WTct_R,,5233,0.7834893942289318
720575941407795118,720575941507955269,31,VNC_WTct_L,,4269,0.7261653783087374
720575941407795118,720575941519783640,42,VNC_WTct_L,,3546,1.1844331641285957
720575941407795118,720575941530190027,11,VNC_WTct_R,,680,1.6176470588235297
720575941407795118,720575941533190337,33,VNC_WTct_R,,4534,0.7278341420379356
720575941407795118,720575941534583786,29,VNC_WTct_L,,5271,0.5501802314551318
720575941407795118,720575941542328837,2,VNC_WTct_L,,481,0.4158004158004158
720575941407795118,720575941560383347,10,VNC_WTct_L,,1027,0.9737098344693282
720575941407795118,720575941565105206,15,VNC_WTct_L,,1775,0.8450704225352111
720575941407795118,720575941566847847,20,VNC_WTct_L,,1840,1.0869565217391304
720575941407795118,720575941583644382,30,VNC_WTct_R,,3889,0.7714065312419645
720575941407795118,720575941590220684,7,VNC_WTct_L,,648,1.0802469135802468
720575941407795118,720575941596050112,39,VNC_WTct_R,,5583,0.6985491671144546
720575941407795118,720575941597489344,16,VNC_WTct_R,,1757,0.910643141718839
720575941407795118,720575941603635190,16,VNC_WTct_R,,2413,0.6630750103605471
720575941407795118,720575941614289683,7,VNC_WTct_L,,593,1.1804384485666104
720575941407795118,720575941624985226,5,VNC_WTct_R,,738,0.6775067750677507
720575941407795118,720575941640465439,28,VNC_WTct_L,,4273,0.6552773227240815
720575941407795118,720575941645403000,35,VNC_WTct_L,,5129,0.6823942288945214
720575941408509867,720575941463144336,20,VNC_WTct_L,,4549,0.4396570674873599
720575941408509867,720575941463144336,24,VNC_WTct_R,,4549,0.5275884809848318
720575941408509867,720575941507955269,27,VNC_WTct_L,,4269,0.6324666198172875
720575941408509867,720575941519783640,31,VNC_WTct_L,,3546,0.8742244782853921
720575941408509867,720575941530190027,6,VNC_WTct_R,,680,0.8823529411764706
720575941408509867,720575941530190027,3,VNC_unassigned_R,,680,0.4411764705882353
720575941408509867,720575941533190337,23,VNC_WTct_R,,4534,0.5072783414203794
720575941408509867,720575941534583786,23,VNC_WTct_L,,5271,0.436349838740277
720575941408509867,720575941542328837,3,VNC_WTct_L,,481,0.6237006237006237
720575941408509867,720575941560383347,5,VNC_WTct_L,,1027,0.4868549172346641
720575941408509867,720575941573368719,3,VNC_WTct_L,,371,0.8086253369272237
720575941408509867,720575941583644382,27,VNC_WTct_R,,3889,0.6942658781177681
720575941408509867,720575941596050112,34,VNC_WTct_R,,5583,0.6089915815869604
720575941408509867,720575941603635190,12,VNC_WTct_R,,2413,0.49730625777041026
720575941408509867,720575941624985226,7,VNC_WTct_R,,738,0.9485094850948509
720575941408509867,720575941640465439,24,VNC_WTct_L,,4273,0.5616662766206413
720575941409016235,720575941530190027,3,VNC_WTct_R,,680,0.4411764705882353
720575941409016235,720575941590220684,5,VNC_WTct_L,,648,0.7716049382716049
720575941409939055,720575941549822781,18,VNC_WTct_R,,4270,0.4215456674473068
720575941410007663,720575941560383347,5,VNC_WTct_L,,1027,0.4868549172346641
720575941410007663,720575941630940642,27,VNC_HTct_L,,5684,0.4750175932441942
720575941410025071,720575941630940642,34,VNC_WTct_L,,5684,0.5981703026038001
720575941411210667,720575941565105206,12,VNC_WTct_L,,1775,0.676056338028169
720575941411210667,720575941566847847,13,VNC_WTct_L,,1840,0.7065217391304348
720575941411210667,720575941590220684,4,VNC_WTct_L,,648,0.6172839506172839
720575941411210667,720575941590220684,3,VNC_unassigned_L,,648,0.4629629629629629
720575941411210667,720575941614289683,4,VNC_WTct_L,,593,0.6745362563237773
720575941411758740,720575941560383347,6,VNC_WTct_L,,1027,0.5842259006815969
720575941412323473,720575941521196211,16,VNC_HTct_L,,2190,0.730593607305936
720575941412443540,720575941655597785,39,VNC_IntTct_R,,7277,0.5359351381063625
720575941412445332,720575941472734048,12,VNC_WTct_R,,1616,0.7425742574257426
720575941412445332,720575941487139138,11,VNC_WTct_R,,905,1.2154696132596685
720575941412445332,720575941499558369,7,VNC_WTct_R,,929,0.7534983853606028
720575941412445332,720575941530190027,3,VNC_WTct_R,,680,0.4411764705882353
720575941412445332,720575941542328837,2,VNC_WTct_R,,481,0.4158004158004158
720575941412445332,720575941597489344,12,VNC_WTct_R,,1757,0.6829823562891292
720575941412445332,720575941624985226,3,VNC_WTct_R,,738,0.40650406504065045
720575941413308561,720575941655597785,33,VNC_WTct_R,,7277,0.4534835783976914
720575941413872924,720575941468897856,24,VNC_HTct_R,,5313,0.4517221908526256
720575941413920540,720575941513173763,23,VNC_HTct_R,,5531,0.4158380039775809
720575941414326161,720575941547315060,23,VNC_IntTct_L,,5135,0.44790652385589097
720575941414456212,720575941483845954,26,VNC_T2_MesoNm_L,,3549,0.7326007326007326
720575941414464660,720575941521196211,17,VNC_unassigned_R,,2190,0.776255707762557
720575941414464660,720575941549822781,20,VNC_WTct_R,,4270,0.468384074941452
720575941414508948,720575941542328837,4,VNC_WTct_L,,481,0.8316008316008316
720575941414508948,720575941560383347,10,VNC_WTct_L,,1027,0.9737098344693282
720575941414508948,720575941566847847,9,VNC_WTct_L,,1840,0.48913043478260876
720575941414508948,720575941590220684,7,VNC_WTct_L,,648,1.0802469135802468
720575941415476252,720575941463144336,29,VNC_WTct_R,,4549,0.6375027478566717
720575941415476252,720575941472734048,7,VNC_WTct_R,,1616,0.4331683168316832
720575941415476252,720575941479034563,40,VNC_WTct_R,,5233,0.764379896808714
720575941415476252,720575941487139138,5,VNC_WTct_R,,905,0.5524861878453038
720575941415476252,720575941530190027,5,VNC_WTct_R,,680,0.7352941176470588
720575941415476252,720575941533190337,20,VNC_WTct_R,,4534,0.4411116012351125
720575941415476252,720575941596050112,39,VNC_WTct_R,,5583,0.6985491671144546
720575941415476252,720575941597489344,12,VNC_WTct_R,,1757,0.6829823562891292
720575941415476252,720575941603635190,18,VNC_WTct_R,,2413,0.7459593866556155
720575941415476252,720575941624985226,5,VNC_WTct_R,,738,0.6775067750677507
720575941428238840,720575941565378919,12,VNC_WTct_L,,2178,0.5509641873278237
720575941428238840,720575941565378919,11,VNC_unassigned_L,,2178,0.5050505050505051
720575941428412809,720575941521196211,9,VNC_WTct_L,,2190,0.410958904109589
720575941428412809,720575941624155644,51,VNC_WTct_L,,5692,0.8959943780744906
720575941428428681,720575941472734048,9,VNC_WTct_R,,1616,0.5569306930693069
720575941428428681,720575941487139138,4,VNC_WTct_R,,905,0.44198895027624313
720575941428965368,720575941560383347,6,VNC_WTct_L,,1027,0.5842259006815969
720575941429324641,720575941630940642,24,VNC_HTct_L,,5684,0.422237860661506
720575941429422295,720575941542328837,5,VNC_WTct_L,,481,1.0395010395010396
720575941429422295,720575941565105206,8,VNC_WTct_L,,1775,0.4507042253521127
720575941429422295,720575941614289683,3,VNC_WTct_L,,593,0.5059021922428331
720575941429422295,720575941640465439,18,VNC_WTct_L,,4273,0.4212497074654809
720575941429439959,720575941489673420,20,VNC_IntTct_L,,3793,0.5272871078302136
720575941429466839,720575941573368719,3,VNC_WTct_L,,371,0.8086253369272237
720575941429466839,720575941590220684,4,VNC_WTct_L,,648,0.6172839506172839
720575941429532119,720575941487139138,4,VNC_WTct_L,,905,0.44198895027624313
720575941429532119,720575941542328837,5,VNC_WTct_L,,481,1.0395010395010396
720575941429532119,720575941565105206,22,VNC_WTct_L,,1775,1.2394366197183098
720575941429532119,720575941566847847,11,VNC_WTct_L,,1840,0.5978260869565217
720575941429532119,720575941590220684,9,VNC_WTct_L,,648,1.3888888888888888
720575941429532119,720575941614289683,10,VNC_WTct_L,,593,1.6863406408094435
720575941429556655,720575941630940642,57,VNC_HTct_L,,5684,1.0028149190710767
720575941430163982,720575941516770670,24,VNC_WTct_R,,5918,0.4055424129773572
720575941430389006,720575941458961604,57,VNC_HTct_R,,1340,4.253731343283582
720575941430389006,720575941565378919,12,VNC_HTct_R,,2178,0.5509641873278237
720575941430842209,720575941458961604,12,VNC_HTct_R,,1340,0.8955223880597015
720575941430842209,720575941549822781,32,VNC_HTct_R,,4270,0.7494145199063231
720575941430842209,720575941655597785,31,VNC_HTct_R,,7277,0.42599972516146767
720575941431072137,720575941542328837,3,VNC_WTct_L,,481,0.6237006237006237
720575941431072137,720575941560383347,7,VNC_WTct_L,,1027,0.6815968841285297
720575941431072137,720575941565105206,17,VNC_WTct_L,,1775,0.9577464788732395
720575941431072137,720575941566847847,19,VNC_WTct_L,,1840,1.0326086956521738
720575941431072137,720575941590220684,4,VNC_WTct_L,,648,0.6172839506172839
720575941431072137,720575941614289683,11,VNC_WTct_L,,593,1.854974704890388
720575941431075503,720575941487139138,8,VNC_WTct_R,,905,0.8839779005524863
720575941431075503,720575941499558369,4,VNC_WTct_R,,929,0.4305705059203444
720575941431075503,720575941530190027,5,VNC_WTct_R,,680,0.7352941176470588
720575941431075503,720575941542328837,3,VNC_WTct_L,,481,0.6237006237006237
720575941431075503,720575941560383347,8,VNC_WTct_L,,1027,0.7789678675754625
720575941431075503,720575941565105206,12,VNC_WTct_L,,1775,0.676056338028169
720575941431075503,720575941566847847,9,VNC_WTct_L,,1840,0.48913043478260876
720575941431075503,720575941573368719,4,VNC_WTct_L,,371,1.078167115902965
720575941431075503,720575941590220684,3,VNC_WTct_L,,648,0.4629629629629629
720575941431075503,720575941597489344,10,VNC_WTct_R,,1757,0.5691519635742743
720575941431075503,720575941614289683,4,VNC_WTct_L,,593,0.6745362563237773
720575941431099567,720575941629172716,25,VNC_WTct_R,,4097,0.61020258725897
720575941431099567,720575941643100754,91,VNC_WTct_R,,8670,1.04959630911188
720575941431311575,720575941645041313,43,VNC_HTct_L,,6617,0.6498413178177421
720575941431311575,720575941645041313,112,VNC_WTct_L,,6617,1.6926099440834217
720575941431660937,720575941732789547,8,VNC_HTct_R,,1895,0.4221635883905013
720575941432778638,720575941479034563,21,VNC_WTct_R,,5233,0.40129944582457483
720575941432778638,720575941499558369,5,VNC_WTct_R,,929,0.5382131324004306
720575941432778638,720575941583644382,18,VNC_WTct_R,,3889,0.4628439187451787
720575941433406752,720575941521196211,11,VNC_IntTct_L,,2190,0.502283105022831
720575941433406752,720575941521196211,12,VNC_WTct_L,,2190,0.547945205479452
720575941433406752,720575941624155644,48,VNC_WTct_L,,5692,0.8432888264230498
720575941433448224,720575941499558369,6,VNC_WTct_R,,929,0.6458557588805167
720575941435581740,720575941475745898,45,VNC_WTct_R,,7388,0.6090958310774229
720575941435625516,720575941542412805,19,VNC_IntTct_L,,4250,0.4470588235294118
720575941435780114,720575941630940642,33,VNC_WTct_L,,5684,0.5805770584095707
720575941435993888,720575941472734048,15,VNC_WTct_R,,1616,0.9282178217821782
720575941435993888,720575941487139138,5,VNC_WTct_R,,905,0.5524861878453038
720575941435993888,720575941499558369,7,VNC_WTct_R,,929,0.7534983853606028
720575941435993888,720575941530190027,4,VNC_WTct_R,,680,0.5882352941176471
720575941435993888,720575941573368719,2,VNC_WTct_R,,371,0.5390835579514826
720575941435993888,720575941590220684,4,VNC_WTct_L,,648,0.6172839506172839
720575941435993888,720575941597489344,8,VNC_WTct_R,,1757,0.4553215708594195
720575941435993888,720575941603635190,10,VNC_WTct_R,,2413,0.4144218814753419
720575941435993888,720575941614289683,3,VNC_WTct_L,,593,0.5059021922428331
720575941435993888,720575941624985226,5,VNC_WTct_R,,738,0.6775067750677507
720575941436391698,720575941456201887,23,VNC_WTct_L,,5339,0.43079228319910096
720575941436391698,720575941459347411,30,VNC_WTct_L,,6237,0.48100048100048104
720575941436996882,720575941456201887,41,VNC_HTct_L,,5339,0.7679340700505713
720575941436996882,720575941456201887,25,VNC_WTct_L,,5339,0.4682524817381532
720575941436996882,720575941459347411,32,VNC_HTct_L,,6237,0.5130671797338464
720575941437526869,720575941565378919,18,VNC_WTct_L,,2178,0.8264462809917356
720575941437603669,720575941463144336,25,VNC_WTct_R,,4549,0.5495713343591998
720575941437603669,720575941479034563,31,VNC_WTct_R,,5233,0.5923944200267534
720575941437603669,720575941533190337,21,VNC_WTct_R,,4534,0.4631671812968681
720575941437603669,720575941583644382,21,VNC_WTct_R,,3889,0.5399845718693752
720575941437603669,720575941596050112,60,VNC_WTct_R,,5583,1.07469102632993
720575941438261845,720575941547394081,30,VNC_WTct_L,,6992,0.4290617848970252
720575941438382380,720575941565105206,9,VNC_T2_MesoNm_L,,1775,0.5070422535211268
720575941438440236,720575941479658831,7,VNC_WTct_L,,1708,0.4098360655737705
720575941438440236,720575941542328837,5,VNC_WTct_L,,481,1.0395010395010396
720575941438440236,720575941560383347,6,VNC_WTct_L,,1027,0.5842259006815969
720575941438440236,720575941565105206,18,VNC_WTct_L,,1775,1.0140845070422535
720575941438440236,720575941566847847,14,VNC_WTct_L,,1840,0.7608695652173914
720575941438440236,720575941573368719,5,VNC_WTct_L,,371,1.3477088948787064
720575941438440236,720575941590220684,11,VNC_WTct_L,,648,1.6975308641975309
720575941438659551,720575941655597785,43,VNC_WTct_R,,7277,0.5909028445788099
720575941438723263,720575941513173763,30,VNC_HTct_R,,5531,0.5423973964924969
720575941438729919,720575941507955269,26,VNC_WTct_L,,4269,0.6090419301944249
720575941438729919,720575941519783640,42,VNC_WTct_L,,3546,1.1844331641285957
720575941438729919,720575941534583786,61,VNC_WTct_L,,5271,1.1572756592676912
720575941438729919,720575941640465439,29,VNC_WTct_L,,4273,0.6786800842499415
720575941438748351,720575941521196211,18,VNC_WTct_L,,2190,0.821917808219178
720575941438748351,720575941624155644,82,VNC_WTct_L,,5692,1.4406184118060434
720575941438935131,720575941521196211,14,VNC_WTct_L,,2190,0.6392694063926941
720575941438935131,720575941624155644,53,VNC_WTct_L,,5692,0.9311314125087842
720575941438938175,720575941479658831,15,VNC_WTct_L,,1708,0.8782201405152225
720575941438938175,720575941732789547,12,VNC_IntTct_L,,1895,0.6332453825857519
720575941438938175,720575941732789547,18,VNC_WTct_L,,1895,0.9498680738786279
720575941438951515,720575941499558369,5,VNC_WTct_R,,929,0.5382131324004306
720575941438951515,720575941530190027,6,VNC_WTct_R,,680,0.8823529411764706
720575941438951515,720575941533190337,26,VNC_WTct_R,,4534,0.5734450816056462
720575941438951515,720575941583644382,25,VNC_WTct_R,,3889,0.6428387760349704
720575941438951515,720575941624985226,6,VNC_WTct_R,,738,0.8130081300813009
