rank,interneuron_id,neuron_name,cluster,suggested_experiments
1,720575941564147346,720575941564147346,2,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Test steering precision; Measure wing angle control
2,720575941623108298,720575941623108298,3,Optogenetic activation (characterize motor output); Test during maneuvers (integrates power+steering); Compare straight flight vs turns; Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
3,720575941669049587,720575941669049587,2,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Test steering precision; Measure wing angle control
4,720575941524114276,720575941524114276,3,Optogenetic activation (characterize motor output); Test during maneuvers (integrates power+steering); Compare straight flight vs turns; Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
5,720575941402032240,720575941402032240,2,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Test steering precision; Measure wing angle control
6,720575941515619939,720575941515619939,2,Optogenetic silencing (expect strong flight deficit); Calcium imaging during flight; Test steering precision; Measure wing angle control
7,720575941554049307,720575941554049307,2,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
8,720575941518434227,720575941518434227,2,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
9,720575941594160421,720575941594160421,2,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
10,720575941407795118,720575941407795118,2,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
11,720575941703124698,720575941703124698,5,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
12,720575941612696934,720575941612696934,5,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
13,720575941516099500,720575941516099500,2,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
14,720575941551389979,720575941551389979,2,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
15,720575941484663558,720575941484663558,2,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
16,720575941457802480,720575941457802480,2,Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
17,720575941511393233,720575941511393233,3,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
18,720575941581685113,720575941581685113,2,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
19,720575941637958687,720575941637958687,2,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
20,720575941460235152,720575941460235152,2,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
21,720575941477897346,720575941477897346,5,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
22,720575941512896099,720575941512896099,2,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
23,720575941618008447,720575941618008447,2,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
24,720575941561308818,720575941561308818,2,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
25,720575941474741819,720575941474741819,2,Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
26,720575941415476252,720575941415476252,2,Test steering precision; Measure wing angle control
27,720575941519213016,720575941519213016,2,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
28,720575941408509867,720575941408509867,2,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
29,720575941527833016,720575941527833016,2,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
30,720575941671138727,720575941671138727,3,Trace upstream DNs (finds behavior triggers); Test steering precision; Measure wing angle control
31,720575941485135426,720575941485135426,2,Test steering precision; Measure wing angle control
32,720575941652536593,720575941652536593,2,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
33,720575941504424517,720575941504424517,2,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
34,720575941477553376,720575941477553376,2,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
35,720575941512808780,720575941512808780,2,Optogenetic activation (characterize motor output); Test steering precision; Measure wing angle control
36,720575941606544493,720575941606544493,2,Test steering precision; Measure wing angle control
37,720575941642530504,720575941642530504,2,Test steering precision; Measure wing angle control
38,720575941571524872,720575941571524872,2,Test steering precision; Measure wing angle control
39,720575941537594573,720575941537594573,2,Test steering precision; Measure wing angle control
40,720575941562464866,720575941562464866,5,Test steering precision; Measure wing angle control
41,720575941533234954,720575941533234954,2,Test steering precision; Measure wing angle control
42,720575941614919893,720575941614919893,2,Test steering precision; Measure wing angle control
43,720575941610618982,720575941610618982,2,Test steering precision; Measure wing angle control
44,720575941581683039,720575941581683039,2,Test steering precision; Measure wing angle control
45,720575941517770412,720575941517770412,2,Test steering precision; Measure wing angle control
46,720575941571427323,720575941571427323,5,Test steering precision; Measure wing angle control
47,720575941632673516,720575941632673516,5,Test steering precision; Measure wing angle control
48,720575941575681718,720575941575681718,4,Optogenetic activation (characterize motor output); Trace upstream DNs (finds behavior triggers); Test wing beat frequency modulation; Power control characterization
49,720575941486089538,720575941486089538,5,Test steering precision; Measure wing angle control
50,720575941489819081,720575941489819081,5,Test steering precision; Measure wing angle control
