Root ID,Top in/out region,Community labels,Predicted NT type,Predicted NT confidence,Verified NT type,Verified Neuropeptide,Body Part,Function,Flow,Super Class,Class,Sub Class,Hemilineage,Nerve,Soma side,Primary Cell Type,Alternative Cell Type(s),Cable length (nm),Surface area (nm^2),Volume (nm^3),neuron_type
720575941350890544,SAD.INTTCT,"CNS neuron,soma in brain",ACH,0.93,,,,,intrinsic,descending,descending_neuron,,LB7,,left,DNge110,DNge110,,,,DN
720575941352057904,IPS.NTCT,soma in brain,ACH,0.71,,,,,intrinsic,descending,descending_neuron,,PSp2,,left,DNpe054,DNpe054,,,,DN
720575941352918576,FLA.ANM,"CNS neuron,DNxn180,soma in brain",GABA,0.83,,Lk,,,intrinsic,descending,descending_neuron,,MX3,,left,DNg70,DNg70,,,,DN
720575941353080624,GNG.T1_PRONM,"CNS neuron,DNfl042,soma in brain",ACH,0.79,,,,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNfl042,"DNfl042,DNge036",,,,DN
720575941390285462,GNG.UNASSIGNED,"CNS neuron,DNg05,soma in brain",ACH,0.95,,,,,intrinsic,descending,descending_neuron,,LB12,,right,DNg05,"DNg05,DNg05_b",,,,DN
720575941390308246,IPS.NTCT,"CNS neuron,DNut054,soma in brain",ACH,0.98,,,,,intrinsic,descending,descending_neuron,,LB7,,left,DNut054,"DNge118,DNut054",,,,DN
720575941390619140,NTCT.GNG,"CNS neuron,soma in brain",GABA,0.99,,,,,intrinsic,descending,descending_neuron,,,,right,DNg10,DNg10,,,,DN
720575941390623382,IPS.UNASSIGNED,"CNS neuron,soma in brain",GABA,0.65,acetylcholine,,,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNp20,"DNOVS1,DNp20",,,,DN
720575941390722710,GNG.T1_PRONM,"CNS neuron,soma in brain",ACH,0.95,,,,,intrinsic,descending,descending_neuron,,MX12,,right,DNge025,"DNge025,MX12_R_10",,,,DN
720575941391756548,GNG.T1_PRONM,,ACH,0.92,,,,,intrinsic,descending,descending_neuron,,,,left,DNfl028,"DNfl028,MX12_L_38",,,,DN
720575941392812548,PLP.INTTCT,"CNS neuron,soma in brain",ACH,0.83,,,,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNp26,DNp26,,,,DN
720575941393196950,IPS.HTCT,"CNS neuron,soma in brain",ACH,0.83,,,,,intrinsic,descending,descending_neuron,,PSp2,,right,DNpe054,DNpe054,,,,DN
720575941393242628,AVLP.WED,"CNS neuron,soma in brain",SER,0.48,,Dsk,,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNp30,DNp30,,,,DN
720575941394119830,ICL.LTCT,"CNS neuron,soma in brain",ACH,0.91,,,,,intrinsic,descending,descending_neuron,,PSp3,,right,DNp42,DNp42,,,,DN
720575941394131094,FLA.WTCT,"CNS neuron,HuginVNC,soma in brain",SER,1.0,serotonin,"AstC,Hug",,,intrinsic,descending,descending_neuron,,MX0__prim,,left,DNg26,"DNg26,Hugin-VNC",,,,DN
720575941399042851,GNG.T1_PRONM,"CNS neuron,DNfl025,soma in brain",ACH,0.83,,,,,intrinsic,descending,descending_neuron,,putative_primary,,left,DNfl025,"DNfl025,DNge077",,,,DN
720575941399099427,GNG.T1_PRONM,"CNS neuron,soma in brain",ACH,0.88,,,,,intrinsic,descending,descending_neuron,,,,right,DNfl033,DNfl033,,,,DN
720575941399380515,GNG.T1_PRONM,"CNS neuron,DNg12,soma in brain",ACH,0.96,,,,,intrinsic,descending,descending_neuron,,MX12,,right,DNg12,"DNg12,DNg12_e,MX12_R_40",,,,DN
720575941400285475,GNG.NTCT,"CNS neuron,DNnt020,soma in brain",ACH,0.85,,,,,intrinsic,descending,descending_neuron,,LB7__prim,,right,DNnt020,"DNge125,DNnt020",,,,DN
