in_id,cluster,n_muscle_types,muscle_types,power_targets,steering_targets,integration_score
720575941623108298,3,2,"['steering', 'power']",10,10,10
720575941524114276,3,2,"['steering', 'power']",6,23,6
720575941511393233,3,2,"['steering', 'power']",5,19,5
720575941671138727,3,2,"['steering', 'power']",4,7,4
720575941560427379,3,2,"['steering', 'power']",4,3,3
720575941688644470,3,2,"['steering', 'power']",4,3,3
720575941457802480,2,2,"['steering', 'power']",4,3,3
720575941602987510,3,2,"['steering', 'power']",3,3,3
720575941606544493,2,2,"['steering', 'power']",3,3,3
720575941563314486,3,2,"['steering', 'power']",2,3,2
720575941551389979,2,2,"['steering', 'power']",10,2,2
720575941567030516,2,2,"['steering', 'power']",2,3,2
720575941415476252,2,2,"['steering', 'power']",8,2,2
720575941571524872,2,2,"['steering', 'power']",5,2,2
720575941513220601,3,2,"['steering', 'power']",2,2,2
720575941603749817,3,2,"['steering', 'power']",5,2,2
720575941485378626,4,2,"['steering', 'power']",2,3,2
720575941431075503,5,2,"['steering', 'power']",2,2,2
720575941464901398,4,2,"['steering', 'power']",2,2,2
720575941474741819,2,2,"['steering', 'power']",2,2,2
720575941604946797,5,2,"['steering', 'power']",2,1,1
720575941574155003,5,2,"['steering', 'power']",2,1,1
720575941564147346,2,2,"['steering', 'power']",35,1,1
720575941663489404,3,2,"['steering', 'power']",1,1,1
720575941652652561,2,2,"['steering', 'power']",1,1,1
720575941642530504,2,2,"['steering', 'power']",8,1,1
720575941642372040,1,2,"['steering', 'power']",1,4,1
720575941581683039,2,2,"['steering', 'power']",6,1,1
720575941581685113,2,2,"['steering', 'power']",19,1,1
720575941586427972,2,2,"['steering', 'power']",1,1,1
720575941610953446,3,2,"['steering', 'power']",2,1,1
720575941587367991,3,2,"['steering', 'power']",1,1,1
720575941610618982,2,2,"['steering', 'power']",8,1,1
720575941412445332,3,2,"['steering', 'power']",4,1,1
720575941533258689,2,2,"['steering', 'power']",3,1,1
720575941562066856,5,2,"['steering', 'power']",1,3,1
720575941474830644,2,2,"['steering', 'power']",4,1,1
720575941431072137,5,2,"['steering', 'power']",3,1,1
720575941441993167,3,2,"['steering', 'power']",1,6,1
720575941450101063,2,2,"['steering', 'power']",1,1,1
720575941450532174,5,2,"['steering', 'power']",1,5,1
720575941459906630,5,2,"['steering', 'power']",3,1,1
720575941462590608,5,2,"['steering', 'power']",1,1,1
720575941470536715,5,2,"['steering', 'power']",4,1,1
720575941474640682,4,2,"['steering', 'power']",1,1,1
720575941474725684,5,2,"['steering', 'power']",1,3,1
720575941485135426,2,2,"['steering', 'power']",11,1,1
720575941536708323,2,2,"['steering', 'power']",1,1,1
720575941489038311,2,2,"['steering', 'power']",3,1,1
720575941501903154,5,2,"['steering', 'power']",1,1,1
720575941507280965,3,2,"['steering', 'power']",1,1,1
720575941521485643,2,2,"['steering', 'power']",3,1,1
720575941524021860,3,2,"['steering', 'power']",2,1,1
720575941525142182,2,2,"['steering', 'power']",5,1,1
720575941527126712,2,2,"['steering', 'power']",5,1,1
720575941528729784,2,2,"['steering', 'power']",5,1,1
720575941535419418,2,2,"['steering', 'power']",4,1,1
720575941700592858,2,2,"['steering', 'power']",4,1,1
