dn_id,specialization,total_synapses,power_synapses,steering_synapses,primary_synapses,secondary_synapses,specificity,n_target_ins,n_target_clusters
720575941392812548,steering_control,73,28,45,45,28,0.6164383561643836,2,2
720575941400285475,steering_control,45,0,45,45,0,1.0,1,1
720575941408508078,steering_control,64,0,64,64,0,1.0,2,1
720575941411441323,power_control,181,181,0,181,0,1.0,3,1
720575941414262161,steering_control,57,0,57,57,0,1.0,1,1
720575941430250377,steering_control,25,0,25,25,0,1.0,1,1
720575941438410514,power_control,57,57,0,57,0,1.0,2,1
720575941440280767,power_control,194,152,42,152,42,0.7835051546391752,4,2
720575941442418639,power_control,30,30,0,30,0,1.0,1,1
720575941445707284,steering_control,35,0,35,35,0,1.0,1,1
720575941447863316,steering_control,102,0,102,102,0,1.0,1,1
720575941450506830,power_control,131,131,0,131,0,1.0,3,1
720575941451941498,steering_control,26,0,26,26,0,1.0,1,1
720575941456897005,steering_control,60,0,60,60,0,1.0,2,1
720575941461674436,steering_control,27,0,27,27,0,1.0,1,1
720575941463843597,power_control,25,25,0,25,0,1.0,1,1
720575941471808375,steering_control,149,0,149,149,0,1.0,2,1
720575941472160011,steering_control,141,31,110,110,31,0.7801418439716312,3,2
720575941474063968,steering_control,62,0,62,62,0,1.0,1,1
720575941475448123,power_control,32,32,0,32,0,1.0,1,1
720575941477013825,steering_control,31,0,31,31,0,1.0,1,1
720575941478585450,steering_control,127,31,96,96,31,0.7559055118110236,3,2
720575941486700098,steering_control,34,0,34,34,0,1.0,1,1
720575941491972327,steering_control,142,0,142,142,0,1.0,2,1
720575941492697264,steering_control,30,0,30,30,0,1.0,1,1
720575941493998464,steering_control,43,0,43,43,0,1.0,1,1
720575941496011719,steering_control,488,0,488,488,0,1.0,6,1
720575941496676295,steering_control,64,0,64,64,0,1.0,2,1
720575941503549931,steering_control,25,0,25,25,0,1.0,1,1
720575941504328791,steering_control,42,0,42,42,0,1.0,1,1
720575941504652482,power_control,122,122,0,122,0,1.0,2,1
720575941505673566,power_control,33,33,0,33,0,1.0,1,1
720575941507568709,steering_control,355,0,355,355,0,1.0,5,1
720575941508492417,steering_control,32,0,32,32,0,1.0,1,1
720575941509010305,steering_control,25,0,25,25,0,1.0,1,1
720575941510475536,steering_control,61,0,61,61,0,1.0,2,1
720575941510642192,power_control,26,26,0,26,0,1.0,1,1
720575941513096012,steering_control,28,0,28,28,0,1.0,1,1
720575941514949881,steering_control,67,0,67,67,0,1.0,1,1
720575941515972698,steering_control,118,51,67,67,51,0.5677966101694916,2,2
720575941527162905,steering_control,39,0,39,39,0,1.0,1,1
720575941533704067,power_control,27,27,0,27,0,1.0,1,1
720575941534222770,steering_control,44,0,44,44,0,1.0,1,1
720575941535258802,steering_control,37,0,37,37,0,1.0,1,1
720575941536003314,steering_control,26,0,26,26,0,1.0,1,1
720575941536972018,steering_control,27,0,27,27,0,1.0,1,1
720575941540246364,steering_control,140,0,140,140,0,1.0,2,1
720575941540466381,steering_control,32,0,32,32,0,1.0,1,1
720575941552603966,steering_control,60,0,60,60,0,1.0,2,1
720575941552726407,power_control,140,140,0,140,0,1.0,3,2
720575941552907838,power_control,51,51,0,51,0,1.0,2,2
720575941560503155,steering_control,132,0,132,132,0,1.0,3,1
720575941562059176,power_control,27,27,0,27,0,1.0,1,1
720575941563218944,power_control,32,32,0,32,0,1.0,1,1
720575941566309174,power_control,33,33,0,33,0,1.0,1,1
720575941566556775,power_control,29,29,0,29,0,1.0,1,1
720575941568870770,power_control,26,26,0,26,0,1.0,1,1
720575941573616891,power_control,72,72,0,72,0,1.0,1,1
720575941574675869,power_control,27,27,0,27,0,1.0,1,1
720575941591050494,power_control,31,31,0,31,0,1.0,1,1
720575941592644054,steering_control,31,0,31,31,0,1.0,1,1
720575941593505387,steering_control,121,0,121,121,0,1.0,3,1
720575941594823537,steering_control,35,0,35,35,0,1.0,1,1
720575941595189029,steering_control,156,77,79,79,77,0.5064102564102564,2,2
720575941595542823,steering_control,84,0,84,84,0,1.0,1,1
720575941596602048,power_control,29,29,0,29,0,1.0,1,1
720575941598950556,steering_control,29,0,29,29,0,1.0,1,1
720575941600878377,steering_control,30,0,30,30,0,1.0,1,1
720575941602114494,steering_control,33,0,33,33,0,1.0,1,1
720575941602323897,steering_control,66,0,66,66,0,1.0,2,1
720575941612044518,steering_control,241,64,177,177,64,0.7344398340248963,7,2
720575941618366079,power_control,56,56,0,56,0,1.0,2,2
720575941618895231,steering_control,30,0,30,30,0,1.0,1,1
720575941628867042,steering_control,27,0,27,27,0,1.0,1,1
720575941631642860,power_control,53,27,26,27,26,0.5094339622641509,2,2
720575941632167611,steering_control,41,0,41,41,0,1.0,1,1
720575941633206944,power_control,41,41,0,41,0,1.0,1,1
720575941634269371,steering_control,31,0,31,31,0,1.0,1,1
720575941638407199,steering_control,165,32,133,133,32,0.806060606060606,3,2
720575941639588127,steering_control,86,0,86,86,0,1.0,3,1
720575941645444808,power_control,118,70,48,70,48,0.5932203389830508,2,2
720575941651815445,steering_control,128,0,128,128,0,1.0,3,1
720575941652614129,steering_control,82,0,82,82,0,1.0,2,1
720575941652633585,steering_control,78,29,49,49,29,0.6282051282051282,2,2
720575941656710736,steering_control,28,0,28,28,0,1.0,1,1
720575941681678525,steering_control,37,0,37,37,0,1.0,1,1
720575941691021720,steering_control,39,0,39,39,0,1.0,1,1
720575941701235930,steering_control,124,47,77,77,47,0.6209677419354839,2,2
