source,target,weight,neuropil,nt_type,target_cluster,target_function
720575941392812548,720575941572251144,45,VNC_HTct_L,,5,steering_control
720575941392812548,720575941630748859,28,VNC_HTct_L,,3,power_control
720575941400285475,720575941579868917,45,VNC_NTct_L,,5,steering_control
720575941408508078,720575941563920999,28,VNC_IntTct_R,,5,steering_control
720575941408508078,720575941625963419,36,VNC_IntTct_R,,5,steering_control
720575941411441323,720575941575397263,26,VNC_HTct_R,,2,power_control
720575941411441323,720575941623108298,29,VNC_HTct_R,,2,power_control
720575941411441323,720575941623108298,27,VNC_IntTct_R,,2,power_control
720575941411441323,720575941623108298,36,VNC_WTct_R,,2,power_control
720575941411441323,720575941671138727,32,VNC_IntTct_L,,2,power_control
720575941411441323,720575941671138727,31,VNC_WTct_L,,2,power_control
720575941414262161,720575941457802480,57,VNC_LTct_R,,5,steering_control
720575941430250377,720575941457147206,25,VNC_IntTct_L,,5,steering_control
720575941438410514,720575941623108298,29,VNC_WTct_R,,2,power_control
720575941438410514,720575941671138727,28,VNC_WTct_L,,2,power_control
720575941440280767,720575941429556655,42,VNC_IntTct_R,,5,steering_control
720575941440280767,720575941458334163,33,VNC_HTct_R,,3,power_control
720575941440280767,720575941503451301,53,VNC_HTct_R,,3,power_control
720575941440280767,720575941608991050,66,VNC_HTct_R,,3,power_control
720575941442418639,720575941503451301,30,VNC_IntTct_R,,3,power_control
720575941445707284,720575941723242042,35,VNC_IntTct_L,,5,steering_control
720575941447863316,720575941457802480,59,VNC_IntTct_R,,5,steering_control
720575941447863316,720575941457802480,43,VNC_LTct_R,,5,steering_control
720575941450506830,720575941458334163,25,VNC_HTct_R,,3,power_control
720575941450506830,720575941503451301,36,VNC_HTct_R,,3,power_control
720575941450506830,720575941503451301,26,VNC_IntTct_R,,3,power_control
720575941450506830,720575941608991050,44,VNC_IntTct_R,,3,power_control
720575941451941498,720575941438723263,26,VNC_HTct_R,,5,steering_control
720575941456897005,720575941496830370,32,VNC_HTct_R,,5,steering_control
720575941456897005,720575941501721138,28,VNC_HTct_R,,5,steering_control
720575941461674436,720575941583601886,27,VNC_IntTct_R,,5,steering_control
720575941463843597,720575941670676135,25,VNC_IntTct_L,,4,power_control
720575941471808375,720575941553338778,37,VNC_IntTct_L,,5,steering_control
720575941471808375,720575941583601886,29,VNC_HTct_R,,5,steering_control
720575941471808375,720575941583601886,83,VNC_IntTct_R,,5,steering_control
720575941472160011,720575941456348575,34,VNC_IntTct_R,,5,steering_control
720575941472160011,720575941593615211,76,VNC_IntTct_R,,5,steering_control
720575941472160011,720575941608991050,31,VNC_IntTct_R,,3,power_control
720575941474063968,720575941457802480,62,VNC_LTct_L,,5,steering_control
720575941475448123,720575941615272601,32,VNC_LTct_L,,4,power_control
720575941477013825,720575941611080010,31,VNC_HTct_L,,5,steering_control
720575941478585450,720575941457147206,33,VNC_IntTct_L,,5,steering_control
720575941478585450,720575941465484566,31,VNC_HTct_L,,3,power_control
720575941478585450,720575941572251144,33,VNC_HTct_L,,5,steering_control
720575941478585450,720575941572251144,30,VNC_IntTct_L,,5,steering_control
