dn_group,DLM1,DLM5,DVM1A,DVM2A,DVM3A,b1,b2,b3,hg1,hg2,hg3,hg4,i1,i2,iii1,iii3,iii4,ps1
DNa02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009718951687835615,0.0046075065186938335,0.0,0.0,0.0018389550858069683,0.0007327921887430223,0.0,0.0,0.0,0.001222904200578828,0.0
DNa03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024939043115962812,0.0,0.0,0.0,0.0,0.0
DNa04,0.0,0.0,0.0,0.0,0.0,0.0,0.0009179863168852676,0.01714432373609781,0.03783717757091882,0.0,0.0014282785454996316,0.008390903755551911,0.016193667802798246,0.0,0.0,0.0,0.0037929049784968753,0.0
DNa05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005691222667162833,0.005606365015386798,0.0,0.0,0.0,0.018390358705546957,0.0,0.0,0.0,0.0,0.0
DNa07,0.0,0.0,0.0,0.0,0.0,0.0,0.009746900791806765,0.0,0.031035993699470698,0.009732716176711466,0.0,0.001654961158988591,0.005143895264681009,0.0,0.0,0.0,0.007948404623197564,0.0
DNa08,0.04110166811973245,0.012316481758150217,0.00897538381988834,0.01923714472572832,0.003966817518790096,0.0,0.0,0.02061378014754453,0.0,0.002443100836993548,0.00472261875381413,0.0,0.0,0.0012229088291678199,0.0,0.0,0.0,0.0
DNa09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004066825163078652,0.0,0.0,0.0,0.0,0.001731566685911128,0.0,0.0,0.0,0.0,0.0
DNa10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015383310930603892,0.0013259698944797322,0.0,0.0,0.0,0.009568969597179091,0.06243408050000247,0.0014014532195657768,0.0,0.0,0.0
DNa12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011827356786460945,0.0
DNa15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018649453005013243,0.011163167770613788,0.0,0.0,0.0,0.011405330036847561,0.0,0.0,0.0,0.0,0.0
DNa16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020255819603512827,0.005237872478187507,0.0,0.0,0.01801087263662498,0.0,0.0,0.0,0.0,0.002934894475737779,0.0
