dn_group,muscle,numerator_synapses,denominator_input,input_fraction
DNg02,ps1,840,15287,0.05494864917904101
DNp63,hg2,155,3603,0.04301970580072162
DNg82,hg2,128,3603,0.035525950596724955
DNp31,DVM2A,68,2270,0.029955947136563875
DNa10,i2,421,14380,0.029276773296244785
DNpe005,hg2,101,3603,0.028032195392728283
DNp49,iii1,212,7890,0.026869455006337136
DNg05,hg2,92,3603,0.025534276991396057
DNb07,hg2,90,3603,0.02497918401332223
DNp31,ps1,361,15287,0.02361483613527834
DNxn125,b1,148,6460,0.022910216718266253
DNge148,DVM3A,69,3075,0.0224390243902439
DNp31,DLM1,728,35422,0.020552199198238384
DNa04,hg1,233,11512,0.020239749826268243
DNp31,DVM3A,60,3075,0.01951219512195122
DNp31,DVM1A,176,10428,0.016877637130801686
DNxn122,hg2,57,3603,0.01582014987510408
DNg05,hg3,113,7292,0.015496434448710916
DNut040,hg3,111,7292,0.015222161272627537
DNut040,hg2,51,3603,0.014154870940882597
DNp31,DLM5,148,10854,0.013635526073337019
DNg04,hg1,153,11512,0.013290479499652537
DNxn124,i2,190,14380,0.01321279554937413
DNg04,hg4,147,11215,0.013107445385644227
DNp26,hg2,47,3603,0.013044684984734944
DNg02,DVM3A,39,3075,0.012682926829268294
DNa15,b3,108,8553,0.012627148368993335
DNg02,DVM2A,28,2270,0.012334801762114538
DNxn125,hg2,42,3603,0.011656952539550375
DNp57,hg2,40,3603,0.011101859561476548
DNa08,DVM2A,25,2270,0.011013215859030838
DNb07,hg3,80,7292,0.010970927043335162
DNg02,DVM1A,113,10428,0.01083621020329881
DNa04,b3,91,8553,0.010639541681281423
DNg110,ps1,159,15287,0.010400994308889907
DNb01,hg2,37,3603,0.010269220094365806
DNxn125,b2,132,12969,0.010178117048346057
DNa16,hg4,112,11215,0.009986625055728934
DNg27,DLM5,104,10854,0.009581721024507094
DNa05,i1,100,10448,0.009571209800918835
DNg10,hg4,105,11215,0.009362460989745877
DNa10,b3,80,8553,0.00935344323629136
DNae002,b3,80,8553,0.00935344323629136
DNg02,DLM1,330,35422,0.009316244142058607
DNa04,i1,95,10448,0.009092649310872895
DNg17,b2,111,12969,0.008558871154291001
DNge148,DVM1A,86,10428,0.008247027234369007
DNut037,i1,78,10448,0.007465543644716692
DNg108,ps1,113,15287,0.007391901615751946
DNp22,b3,63,8553,0.0073658365485794455
DNa15,i1,73,10448,0.006986983154670751
DNg92,hg2,25,3603,0.006938662225922842
DNxn007,hg2,25,3603,0.006938662225922842
DNp03,hg2,25,3603,0.006938662225922842
DNg93,ps1,104,15287,0.00680316608883365
DNut040,hg1,78,11512,0.006775538568450313
DNa15,hg1,75,11512,0.006514940931202224
DNbe005,hg1,75,11512,0.006514940931202224
DNp05,iii1,51,7890,0.006463878326996198
DNut040,b2,82,12969,0.006322769681548307
DNg82,DLM5,68,10854,0.0062649714391007924
DNa08,b3,52,8553,0.006079738103589384
DNa08,DLM1,211,35422,0.005956750042346564
DNp22,i1,62,10448,0.0059341500765696786
DNg74,ps1,89,15287,0.0058219402106364886
DNg82,DLM1,205,35422,0.005787363785218226
DNut053,DLM5,61,10854,0.005620047908605122
DNut040,b1,35,6460,0.005417956656346749
DNa10,i1,55,10448,0.00526416539050536
DNp03,b3,43,8553,0.005027475739506606
DNb05,b2,65,12969,0.005011951576837073
DNa07,hg1,57,11512,0.00495135510771369
DNut053,hg3,35,7292,0.0047997805814591335
DNp51,b3,41,8553,0.0047936396585993215
DNbe005,hg2,17,3603,0.004718290313627533
DNut040,hg4,52,11215,0.004636647347302719
DNg02,DLM5,50,10854,0.004606596646397641
DNa04,hg4,51,11215,0.004547481052162282
DNae003,b3,38,8553,0.004442885537238396
DNut053,hg2,16,3603,0.004440743824590619
DNut053,DLM1,157,35422,0.00443227372819152
DNpe053,DVM1A,46,10428,0.004411200613732259
DNp33,DVM1A,46,10428,0.004411200613732259
DNg08,i2,62,14380,0.004311543810848401
DNb01,i1,45,10448,0.004307044410413476
DNp33,iii4,52,12155,0.0042780748663101605
DNxn007,hg1,49,11512,0.0042564280750521195
DNxn125,hg3,31,7292,0.0042512342292923755
DNp33,i2,61,14380,0.004242002781641168
DNge049,DVM3A,13,3075,0.004227642276422764
DNp33,hg1,48,11512,0.004169562195969423
DNg01,hg2,15,3603,0.004163197335553705
DNg27,DLM1,145,35422,0.004093501213934842
DNg26,ps1,61,15287,0.003990318571335121
DNxl130,DVM3A,12,3075,0.003902439024390244
DNp28,i1,40,10448,0.0038284839203675345
DNut051,DLM1,135,35422,0.003811190785387612
DNp03,DLM5,40,10854,0.0036852773171181133
DNb07,hg1,41,11512,0.003561501042390549
DNp03,DLM1,126,35422,0.0035571113996951047
DNge148,DVM2A,8,2270,0.003524229074889868
DNg91,b3,30,8553,0.00350754121360926
DNp26,i1,36,10448,0.003445635528330781
DNp60,hg3,25,7292,0.003428414701042238
DNb05,b1,22,6460,0.003405572755417957
DNp03,ps1,52,15287,0.003401583044416825
DNxn122,hg1,39,11512,0.0033877692842251565
DNg99,i1,35,10448,0.0033499234303215925
DNut051,DLM5,36,10854,0.003316749585406302
DNa05,b3,28,8553,0.0032737051327019757
DNg110,DVM3A,10,3075,0.0032520325203252032
DNa08,DLM5,35,10854,0.003224617652478349
DNg42,b3,27,8553,0.003156787092248334
DNg50,DLM5,34,10854,0.0031324857195503962
DNp63,hg1,36,11512,0.0031271716469770676
DNg110,DVM2A,7,2270,0.0030837004405286344
DNp28,b3,26,8553,0.003039869051794692
DNg74,DVM3A,9,3075,0.002926829268292683
DNg93,DVM3A,9,3075,0.002926829268292683
DNa02,hg1,33,11512,0.0028665740097289782
DNg05,hg1,33,11512,0.0028665740097289782
DNa16,hg1,33,11512,0.0028665740097289782
DNg05,hg4,32,11215,0.0028533214444939814
DNut054,iii3,10,3518,0.0028425241614553724
DNa05,hg1,32,11512,0.002779708130646282
