dn_group,DLM1,DLM5,DVM1A,DVM2A,DVM3A,b1,b2,b3,hg1,hg2,hg3,hg4,i1,i2,iii1,iii3,iii4,ps1
DNa02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007015082427218519,0.0028665740097289782,0.0,0.0,0.0011591618368256798,0.0004785604900459418,0.0,0.0,0.0,0.0007404360345536817,0.0
DNa03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005742725880551302,0.0,0.0,0.0,0.0,0.0
DNa04,0.0,0.0,0.0,0.0,0.0,0.0,0.0004626416840157298,0.010639541681281423,0.020239749826268243,0.0,0.0009599561162918266,0.004547481052162282,0.009092649310872895,0.0,0.0,0.0,0.001974496092143151,0.0
DNa05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032737051327019757,0.002779708130646282,0.0,0.0,0.0,0.009571209800918835,0.0,0.0,0.0,0.0,0.0
DNa07,0.0,0.0,0.0,0.0,0.0,0.0,0.0014650319993831445,0.0,0.00495135510771369,0.002775464890369137,0.0,0.0002674988854213107,0.0008614088820826952,0.0,0.0,0.0,0.0012340600575894694,0.0
DNa08,0.005956750042346564,0.003224617652478349,0.002397391637897967,0.011013215859030838,0.001951219512195122,0.0,0.0,0.006079738103589384,0.0,0.0011101859561476548,0.0015085024684585847,0.0,0.0,0.0002781641168289291,0.0,0.0,0.0,0.0
DNa09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001987606687711914,0.0,0.0,0.0,0.0,0.0007656967840735069,0.0,0.0,0.0,0.0,0.0
DNa10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00935344323629136,0.0006949270326615705,0.0,0.0,0.0,0.00526416539050536,0.029276773296244785,0.0008871989860583017,0.0,0.0,0.0
DNa12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032908268202385847,0.0
DNa15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012627148368993335,0.006514940931202224,0.0,0.0,0.0,0.006986983154670751,0.0,0.0,0.0,0.0,0.0
