dn_group,muscle,numerator_synapses,denominator_input,input_fraction
DNg02,ps1,840,15287,0.05494864917904101
DNp63,hg2,155,3603,0.04301970580072162
DNg82,hg2,128,3603,0.035525950596724955
DNp31,DVM2A,68,2270,0.029955947136563875
DNa10,i2,421,14380,0.029276773296244785
DNpe005,hg2,101,3603,0.028032195392728283
DNp49,iii1,212,7890,0.026869455006337136
DNg05,hg2,92,3603,0.025534276991396057
DNb07,hg2,90,3603,0.02497918401332223
DNp31,ps1,361,15287,0.02361483613527834
DNxn125,b1,148,6460,0.022910216718266253
DNge148,DVM3A,69,3075,0.0224390243902439
DNp31,DLM1,728,35422,0.020552199198238384
DNa04,hg1,233,11512,0.020239749826268243
DNp31,DVM3A,60,3075,0.01951219512195122
DNp31,DVM1A,176,10428,0.016877637130801686
DNxn122,hg2,57,3603,0.01582014987510408
DNg05,hg3,113,7292,0.015496434448710916
DNut040,hg3,111,7292,0.015222161272627537
DNut040,hg2,51,3603,0.014154870940882597
DNp31,DLM5,148,10854,0.013635526073337019
DNg04,hg1,153,11512,0.013290479499652537
DNxn124,i2,190,14380,0.01321279554937413
DNg04,hg4,147,11215,0.013107445385644227
DNp26,hg2,47,3603,0.013044684984734944
DNg02,DVM3A,39,3075,0.012682926829268294
DNa15,b3,108,8553,0.012627148368993335
DNg02,DVM2A,28,2270,0.012334801762114538
DNxn125,hg2,42,3603,0.011656952539550375
DNp57,hg2,40,3603,0.011101859561476548
DNa08,DVM2A,25,2270,0.011013215859030838
DNb07,hg3,80,7292,0.010970927043335162
DNg02,DVM1A,113,10428,0.01083621020329881
DNa04,b3,91,8553,0.010639541681281423
DNg110,ps1,159,15287,0.010400994308889907
DNb01,hg2,37,3603,0.010269220094365806
DNxn125,b2,132,12969,0.010178117048346057
