muscle,denominator_input,total_dn_input_fraction,n_dn_groups_ge_0.01
hg2,3603,0.2875381626422426,11
ps1,15287,0.12612023287760843,3
hg1,11512,0.1178769979152189,2
b3,8553,0.10920144978370162,2
DVM3A,3075,0.0897560975609756,3
i1,10448,0.08441807044410414,0
DLM1,35422,0.07207385240810796,1
DVM2A,2270,0.07180616740088105,3
hg3,7292,0.07076247942951179,3
hg4,11215,0.0688363798484173,1
i2,14380,0.06675938803894298,2
DVM1A,10428,0.06501726121979286,2
DLM5,10854,0.06099133959830477,1
b2,12969,0.05505436039787185,1
iii1,7890,0.041191381495564006,1
b1,6460,0.0346749226006192,1
iii4,12155,0.021801727684080625,0
iii3,3518,0.005400795906765207,0
