dn_group,muscle,numerator_synapses,denominator_output,output_fraction
DNa08,DLM1,211,802.0,0.2630922693266833
DNg26,ps1,61,273.0,0.22344322344322345
DNge015,ps1,20,94.0,0.2127659574468085
DNge015,DLM1,18,94.0,0.19148936170212766
untyped_720575941434874912,ps1,30,201.0,0.14925373134328357
DNg110,ps1,159,1139.0,0.1395961369622476
DNp31,DLM1,728,5347.0,0.13615111277351785
DNg02,ps1,840,6277.0,0.13382188943762943
DNut051,DLM1,135,1079.0,0.12511584800741427
DNut053,DLM1,157,1263.0,0.12430720506730007
DNa10,i2,421,3438.0,0.12245491564863292
DNg82,DLM1,205,1780.0,0.1151685393258427
DNa07,hg1,57,513.0,0.1111111111111111
DNpe010,hg3,11,126.0,0.0873015873015873
DNg50,DLM5,34,419.0,0.081145584725537
DNg82,hg2,128,1780.0,0.07191011235955057
DNg04,hg1,153,2212.0,0.06916817359855335
DNp31,ps1,361,5347.0,0.06751449410884608
DNg04,hg4,147,2212.0,0.06645569620253164
DNa08,b3,52,802.0,0.06483790523690773
DNp63,hg2,155,2528.0,0.06131329113924051
DNa04,hg1,233,3803.0,0.06126742045753353
DNbe005,hg1,75,1307.0,0.057383320581484314
DNg110,DLM1,64,1139.0,0.056189640035118525
DNpe010,hg4,7,126.0,0.05555555555555555
DNg50,DLM1,23,419.0,0.05489260143198091
untyped_720575941434874912,DLM1,11,201.0,0.05472636815920398
DNg02,DLM1,330,6277.0,0.05257288513621156
DNg17,b2,111,2124.0,0.052259887005649715
DNp49,iii1,212,4103.0,0.05166951011455033
DNg05,hg3,113,2334.0,0.048414738646101116
DNut053,DLM5,61,1263.0,0.04829770387965162
DNp03,DLM1,126,2622.0,0.04805491990846682
DNxn125,b1,148,3107.0,0.04763437399420663
DNnt007,ps1,8,169.0,0.047337278106508875
DNg27,DLM1,145,3182.0,0.04556882463859208
DNa08,DLM5,35,802.0,0.043640897755610975
DNxn125,b2,132,3107.0,0.04248471194077889
DNut037,i1,78,1848.0,0.04220779220779221
DNge154,b2,8,191.0,0.041884816753926704
DNge110,b2,14,343.0,0.04081632653061224
DNpe010,hg1,5,126.0,0.03968253968253968
DNg05,hg2,92,2334.0,0.03941730934018852
DNg82,DLM5,68,1780.0,0.038202247191011236
DNxn007,hg1,49,1300.0,0.03769230769230769
DNa07,b2,19,513.0,0.037037037037037035
DNxn124,i2,190,5347.0,0.03553394426781373
DNp60,hg3,25,726.0,0.03443526170798898
DNge175,DLM1,17,503.0,0.033797216699801194
DNut051,DLM5,36,1079.0,0.033364226135310475
DNp31,DVM1A,176,5347.0,0.03291565363755377
DNg27,DLM5,104,3182.0,0.03268384663733501
DNge015,DLM5,3,94.0,0.031914893617021274
DNa08,DVM2A,25,802.0,0.03117206982543641
DNa08,DVM1A,25,802.0,0.03117206982543641
DNg92,hg4,30,966.0,0.031055900621118012
DNut040,hg3,111,3602.0,0.030816213214880622
DNge092,hg4,18,588.0,0.030612244897959183
DNg10,hg4,105,3476.0,0.030207134637514385
DNge038,DLM1,23,768.0,0.029947916666666668
DNa05,i1,100,3350.0,0.029850746268656716
DNge175,b2,15,503.0,0.02982107355864811
DNut047,b3,19,647.0,0.02936630602782071
DNa07,iii4,15,513.0,0.029239766081871343
DNp33,i2,61,2160.0,0.02824074074074074
DNp05,iii1,51,1830.0,0.027868852459016394
DNut053,hg3,35,1263.0,0.027711797307996833
DNp31,DLM5,148,5347.0,0.02767907237703385
DNa16,hg4,112,4198.0,0.0266793711291091
DNge110,i2,9,343.0,0.026239067055393587
DNxn136,b3,12,458.0,0.026200873362445413
DNge154,i2,5,191.0,0.02617801047120419
DNg92,hg2,25,966.0,0.025879917184265012
DNge148,DVM1A,86,3371.0,0.025511717591219223
DNge090,b2,13,514.0,0.02529182879377432
DNa04,i1,95,3803.0,0.024980278727320535
DNae002,b3,80,3279.0,0.024397682220189083
DNge014,DLM1,8,331.0,0.02416918429003021
DNp51,b3,41,1698.0,0.024146054181389872
DNp33,iii4,52,2160.0,0.024074074074074074
DNa04,b3,91,3803.0,0.023928477517749146
DNa10,b3,80,3438.0,0.02326934264107039
DNut040,b2,82,3602.0,0.022765130483064965
DNa15,b3,108,4760.0,0.0226890756302521
DNxn122,hg2,57,2562.0,0.02224824355971897
DNp33,hg1,48,2160.0,0.022222222222222223
DNut040,hg1,78,3602.0,0.021654636313159357
DNg05,DLM1,50,2334.0,0.021422450728363324
DNp33,DVM1A,46,2160.0,0.021296296296296296
DNge095,b2,10,477.0,0.020964360587002098
DNut040,DLM1,75,3602.0,0.02082176568573015
DNpe005,hg2,101,4881.0,0.020692481048965376
DNge148,DVM3A,69,3371.0,0.02046870364876891
DNut054,b2,17,850.0,0.02
DNp03,ps1,52,2622.0,0.019832189168573607
DNp28,i1,40,2052.0,0.01949317738791423
DNa07,hg2,10,513.0,0.01949317738791423
DNxn007,hg2,25,1300.0,0.019230769230769232
DNge150,ps1,3,158.0,0.0189873417721519
DNxn102,DLM1,53,2823.0,0.0187743535246192
DNge118,b2,8,433.0,0.018475750577367205
DNg08,i2,62,3439.0,0.01802849665600465
DNg02,DVM1A,113,6277.0,0.01800223036482396
DNg82,b2,32,1780.0,0.017977528089887642
DNge175,b1,9,503.0,0.017892644135188866
DNa07,i1,9,513.0,0.017543859649122806
DNut058,hg1,11,659.0,0.01669195751138088
DNut058,DLM1,11,659.0,0.01669195751138088
DNg42,b3,27,1641.0,0.016453382084095063
DNp03,b3,43,2622.0,0.016399694889397406
DNp26,hg2,47,2882.0,0.016308119361554477
DNxn109,hg4,20,1235.0,0.016194331983805668
DNa10,i1,55,3438.0,0.015997673065735893
DNxn118,hg1,19,1191.0,0.01595298068849706
DNg110,DVM1A,18,1139.0,0.015803336259877086
DNa15,hg1,75,4760.0,0.015756302521008403
DNg82,hg1,28,1780.0,0.015730337078651686
DNge154,iii4,3,191.0,0.015706806282722512
DNge154,hg1,3,191.0,0.015706806282722512
DNge071,b3,14,899.0,0.01557285873192436
DNa15,i1,73,4760.0,0.015336134453781512
DNp03,DLM5,40,2622.0,0.015255530129672006
DNxn122,hg1,39,2562.0,0.01522248243559719
untyped_720575941434874912,DVM2A,3,201.0,0.014925373134328358
DNge071,hg4,13,899.0,0.014460511679644048
DNut040,hg4,52,3602.0,0.014436424208772903
DNge038,DVM1A,11,768.0,0.014322916666666666
DNg06,ps1,18,1261.0,0.014274385408406027
DNp63,hg1,36,2528.0,0.014240506329113924
DNut040,hg2,51,3602.0,0.014158800666296502
DNg05,hg1,33,2334.0,0.014138817480719794
DNp22,b3,63,4507.0,0.013978256046150432
DNp22,i1,62,4507.0,0.013756378966052807
DNa08,hg3,11,802.0,0.01371571072319202
DNg05,hg4,32,2334.0,0.013710368466152529
DNge090,i2,7,514.0,0.013618677042801557
DNp57,hg2,40,2954.0,0.013540961408259987
DNxn125,hg2,42,3107.0,0.013517862890247827
DNa04,hg4,51,3803.0,0.013410465422035235
DNae003,b3,38,2855.0,0.013309982486865149
DNbe005,hg2,17,1307.0,0.013006885998469778
DNge016,b2,7,541.0,0.012939001848428836
DNut048,b2,3,232.0,0.01293103448275862
DNp31,DVM2A,68,5347.0,0.012717411632691229
DNp28,b3,26,2052.0,0.012670565302144249
DNut053,hg2,16,1263.0,0.012668250197941409
DNb07,hg2,90,7204.0,0.01249305941143809
DNp26,i1,36,2882.0,0.012491325468424705
DNg76,hg4,19,1536.0,0.012369791666666666
DNge014,DLM5,4,331.0,0.012084592145015106
DNp33,i1,26,2160.0,0.012037037037037037
DNge175,DLM5,6,503.0,0.011928429423459244
DNp51,hg1,20,1698.0,0.011778563015312132
DNut054,iii3,10,850.0,0.011764705882352941
DNxn118,i1,14,1191.0,0.011754827875734676
DNge110,hg1,4,343.0,0.011661807580174927
DNp31,DVM3A,60,5347.0,0.011221245558256966
DNg01,hg2,15,1347.0,0.011135857461024499
DNb07,hg3,80,7204.0,0.01110494169905608
DNxl082,iii4,23,2086.0,0.01102588686481304
DNg04,iii4,24,2212.0,0.0108499095840868
DNg17,DLM1,23,2124.0,0.010828625235404897
DNut047,hg1,7,647.0,0.010819165378670788
DNut058,b1,7,659.0,0.010622154779969651
DNg91,b3,30,2829.0,0.010604453870625663
DNg99,i1,35,3301.0,0.010602847621932747
DNut062,iii3,3,284.0,0.01056338028169014
DNut050,b2,4,387.0,0.0103359173126615
DNpe055,DLM1,14,1372.0,0.01020408163265306
DNg82,i1,18,1780.0,0.010112359550561797
DNxn125,hg3,31,3107.0,0.009977470228516253
DNbe005,hg3,13,1307.0,0.009946442234123947
DNp19,i2,27,2747.0,0.009828904259191846
DNut040,b1,35,3602.0,0.00971682398667407
DNp26,hg1,28,2882.0,0.009715475364330326
DNa05,hg1,32,3350.0,0.00955223880597015
DNp03,hg2,25,2622.0,0.009534706331045004
DNg04,b2,21,2212.0,0.00949367088607595
DNb01,i1,45,4766.0,0.009441879983214435
DNg93,ps1,104,11077.0,0.009388823688724384
DNb05,b2,65,7024.0,0.009253986332574031
DNxn007,hg3,12,1300.0,0.009230769230769232
DNg91,i2,26,2829.0,0.009190526687875575
DNp03,i1,24,2622.0,0.009153318077803204
DNae002,hg1,30,3279.0,0.009149130832570906
DNge038,DVM3A,7,768.0,0.009114583333333334
DNb06,hg4,28,3073.0,0.009111617312072893
DNut058,hg4,6,659.0,0.009104704097116844
DNg110,DVM3A,10,1139.0,0.00877963125548727
DNge110,iii4,3,343.0,0.008746355685131196
DNge145,b3,5,581.0,0.008605851979345954
DNg32,b2,23,2681.0,0.008578888474449832
DNa05,b3,28,3350.0,0.00835820895522388
DNp33,hg4,18,2160.0,0.008333333333333333
DNnt012,b3,7,872.0,0.008027522935779817
DNg02,DLM5,50,6277.0,0.007965588657001752
DNa16,hg1,33,4198.0,0.00786088613625536
DNb01,hg2,37,4766.0,0.007763323541754091
DNg99,i2,25,3301.0,0.007573462587094819
DNxl130,DVM1A,27,3574.0,0.007554560716284275
DNa08,DVM3A,6,802.0,0.007481296758104738
DNp16,b3,14,1884.0,0.0074309978768577496
DNge016,DLM1,4,541.0,0.0073937153419593345
DNpe055,DVM1A,10,1372.0,0.007288629737609329
DNg09,b3,8,1102.0,0.007259528130671506
DNg06,hg4,9,1261.0,0.007137192704203013
DNxn114,i2,4,564.0,0.0070921985815602835
DNut037,hg1,13,1848.0,0.007034632034632035
DNge118,iii3,3,433.0,0.006928406466512702
DNxn118,hg2,8,1191.0,0.006717044500419815
DNg01,DLM1,9,1347.0,0.0066815144766146995
DNpe053,DVM1A,46,6916.0,0.006651243493348756
DNp13,iii4,28,4224.0,0.006628787878787879
DNxn136,hg1,3,458.0,0.006550218340611353
DNp22,i2,29,4507.0,0.006434435322831151
DNut040,DLM5,23,3602.0,0.006385341476957246
DNa04,iii4,24,3803.0,0.006310807257428346
DNge001,hg4,6,958.0,0.006263048016701462
DNg02,DVM3A,39,6277.0,0.006213159152461367
DNge109,b2,3,486.0,0.006172839506172839
