dn_group,DLM1,DLM5,DVM1A,DVM2A,DVM3A,b1,b2,b3,hg1,hg2,hg3,hg4,i1,i2,iii1,iii3,iii4,ps1
DNa02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010041841004184101,0.005523012552301255,0.0,0.0,0.0021757322175732217,0.0008368200836820083,0.0,0.0,0.0,0.0015062761506276152,0.0
DNa03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009011715229798738,0.0,0.0,0.0,0.0,0.0
DNa04,0.0,0.0,0.0,0.0,0.0,0.0,0.0015777018143570865,0.023928477517749146,0.06126742045753353,0.0,0.0018406521167499343,0.013410465422035235,0.024980278727320535,0.0,0.0,0.0,0.006310807257428346,0.0
DNa05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00835820895522388,0.00955223880597015,0.0,0.0,0.0,0.029850746268656716,0.0,0.0,0.0,0.0,0.0
DNa07,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.1111111111111111,0.01949317738791423,0.0,0.005847953216374269,0.017543859649122806,0.0,0.0,0.0,0.029239766081871343,0.0
DNa08,0.2630922693266833,0.043640897755610975,0.03117206982543641,0.03117206982543641,0.007481296758104738,0.0,0.0,0.06483790523690773,0.0,0.004987531172069825,0.01371571072319202,0.0,0.0,0.004987531172069825,0.0,0.0,0.0,0.0
DNa09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005886426592797784,0.0,0.0,0.0,0.0,0.002770083102493075,0.0,0.0,0.0,0.0,0.0
DNa10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326934264107039,0.002326934264107039,0.0,0.0,0.0,0.015997673065735893,0.12245491564863292,0.002036067481093659,0.0,0.0,0.0
DNa12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020376974019358125,0.0
DNa15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0226890756302521,0.015756302521008403,0.0,0.0,0.0,0.015336134453781512,0.0,0.0,0.0,0.0,0.0
