dn_group,denominator_output,total_wing_output_fraction,n_muscles_ge_0.01
DNa08,802.0,0.46508728179551123,6
DNge015,94.0,0.43617021276595747,3
DNp31,5347.0,0.29979427716476525,6
DNg82,1780.0,0.27303370786516856,6
DNg110,1139.0,0.23178226514486394,3
DNg02,6277.0,0.22574478253942964,3
DNg26,273.0,0.22344322344322345,1
DNa07,513.0,0.2202729044834308,5
untyped_720575941434874912,201.0,0.2189054726368159,3
DNut053,1263.0,0.21298495645288992,4
DNpe010,126.0,0.18253968253968253,3
DNa10,3438.0,0.1660849331006399,3
DNut051,1079.0,0.15848007414272475,2
DNg04,2212.0,0.15732368896925858,3
DNut040,3602.0,0.14380899500277625,6
DNg05,2334.0,0.14310197086546703,5
DNg50,419.0,0.1360381861575179,2
DNa04,3803.0,0.1333158033131738,4
DNp03,2622.0,0.12852784134248665,4
DNxn125,3107.0,0.12198261989056967,3
DNp33,2160.0,0.11898148148148148,5
DNge154,191.0,0.09947643979057591,4
DNge175,503.0,0.09343936381709742,4
DNge110,343.0,0.08746355685131195,3
DNbe005,1307.0,0.08263198163733741,2
DNg27,3182.0,0.08170961659333752,2
DNp63,2528.0,0.07713607594936708,2
DNg17,2124.0,0.07297551789077213,2
DNxn007,1300.0,0.06615384615384616,2
DNut058,659.0,0.0622154779969651,3
DNg92,966.0,0.061076604554865424,2
DNge038,768.0,0.05859375,2
DNa15,4760.0,0.05378151260504201,3
DNp49,4103.0,0.05166951011455033,1
DNge148,3371.0,0.04924354790863245,2
DNut037,1848.0,0.04924242424242424,1
DNa05,3350.0,0.04776119402985075,1
DNnt007,169.0,0.047337278106508875,1
DNp51,1698.0,0.045936395759717315,2
DNp26,2882.0,0.04371963913948647,2
DNa16,4198.0,0.041686517389232965,1
DNut047,647.0,0.040185471406491494,2
DNp60,726.0,0.03994490358126722,1
DNae002,3279.0,0.03964623360780726,1
DNge090,514.0,0.038910505836575876,2
DNut054,850.0,0.03764705882352941,2
DNxn122,2562.0,0.03747072599531616,2
DNge014,331.0,0.03625377643504532,2
DNxn124,5347.0,0.036095006545726574,1
DNg10,3476.0,0.035960874568469504,1
DNge071,899.0,0.034482758620689655,2
DNxn118,1191.0,0.03442485306465155,2
DNp22,4507.0,0.03416907033503439,2
DNp28,2052.0,0.033625730994152045,2
DNb07,7204.0,0.03345363686840644,2
DNxn136,458.0,0.03275109170305677,1
DNge092,588.0,0.030612244897959183,1
DNb01,4766.0,0.03000419639110365,0
DNg91,2829.0,0.02863202545068929,1
DNp05,1830.0,0.027868852459016394,1
DNpe005,4881.0,0.027658266748617086,1
DNg01,1347.0,0.025983667409057165,1
DNge118,433.0,0.025404157043879907,1
DNxn102,2823.0,0.022316684378320933,1
DNg06,1261.0,0.02141157811260904,1
DNge095,477.0,0.020964360587002098,1
DNg08,3439.0,0.02035475428903751,1
DNge016,541.0,0.02033271719038817,1
DNb05,7024.0,0.020074031890660593,0
DNpe055,1372.0,0.019679300291545188,1
DNp19,2747.0,0.019657808518383692,0
DNp18,5758.0,0.019624869746439736,0
DNg99,3301.0,0.019085125719478943,1
DNge150,158.0,0.0189873417721519,1
DNb06,3073.0,0.01887406443215099,0
DNxn109,1235.0,0.01862348178137652,1
DNg42,1641.0,0.016453382084095063,1
DNp57,2954.0,0.015910629654705487,1
DNxn142,3253.0,0.015677835843836457,0
DNae003,2855.0,0.015061295971978984,1
DNg76,1536.0,0.014322916666666666,1
DNxl130,3574.0,0.013430330162283156,0
DNut048,232.0,0.01293103448275862,1
DNxn114,564.0,0.012411347517730497,0
DNg93,11077.0,0.012367969666877313,0
DNa02,5975.0,0.01104602510460251,0
DNxl082,2086.0,0.01102588686481304,1
DNut062,284.0,0.01056338028169014,1
DNut050,387.0,0.0103359173126615,1
DNg03,1069.0,0.01028999064546305,0
DNp73,4000.0,0.01,0
DNg32,2681.0,0.00969787392763894,0
DNxn126,983.0,0.009155645981688708,0
DNge049,4765.0,0.009024134312696748,0
DNa09,2888.0,0.00865650969529086,0
DNge145,581.0,0.008605851979345954,0
DNpe053,6916.0,0.008530942741469058,0
DNxn113,1313.0,0.008377760853008377,0
DNg71,2478.0,0.008071025020177564,0
DNnt012,872.0,0.008027522935779817,0
DNxl119,2181.0,0.007794589637780834,0
DNp16,1884.0,0.0074309978768577496,0
DNg108,19005.0,0.007419100236779794,0
DNxn151,3777.0,0.007413290971670638,0
DNp13,4224.0,0.007339015151515152,0
DNg09,1102.0,0.007259528130671506,0
DNg07,3585.0,0.0066945606694560665,0
DNge001,958.0,0.006263048016701462,0
DNge109,486.0,0.006172839506172839,0
DNp72,1564.0,0.005754475703324808,0
DNp07,2838.0,0.005637773079633545,0
DNge048,2698.0,0.0055596738324684945,0
DNg74,25087.0,0.005181966755690198,0
DNp15,1769.0,0.005087620124364048,0
DNge032,1061.0,0.00471253534401508,0
DNxn117,854.0,0.00468384074941452,0
DNg51,3484.0,0.004305396096440872,0
DNg79,4034.0,0.003966286564204264,0
DNxn163,4409.0,0.0038557496030845995,0
DNxn177,6335.0,0.0037884767166535124,0
DNpe013,1595.0,0.003761755485893417,0
DNg81,813.0,0.0036900369003690036,0
DNg41,2183.0,0.0036646816307833257,0
aSP22,1764.0,0.003401360544217687,0
DNp48,4714.0,0.0033941450997030122,0
DNp02,4425.0,0.0031638418079096044,0
DNnt017,1291.0,0.003098373353989156,0
DNpe003,1733.0,0.0028851702250432777,0
DNbe007,1988.0,0.0025150905432595573,0
DNxn176,1270.0,0.002362204724409449,0
DNg37,4984.0,0.0022070626003210273,0
DNp11,4605.0,0.002171552660152009,0
DNa12,1963.0,0.0020376974019358125,0
DNb03,3935.0,0.0020330368487928843,0
DNg15,5051.0,0.0017818253811126509,0
DNg35,4264.0,0.0014071294559099437,0
DNpe001,3029.0,0.0009904258831297458,0
DNpe045,6192.0,0.0009689922480620155,0
DNxn168,6606.0,0.0009082652134423251,0
DNa03,6658.0,0.0009011715229798738,0
DNb02,3463.0,0.0008663008951775916,0
DNp10,7937.0,0.0007559531309058839,0
DNg100,17155.0,0.00034975225881667154,0
DNpe028,549.0,0.0,0
DNp25,1146.0,0.0,0
DNp38,2226.0,0.0,0
DNp27,591.0,0.0,0
DNpe020,2742.0,0.0,0
DNp37,673.0,0.0,0
DNpe022,1839.0,0.0,0
DNp29,747.0,0.0,0
DNpe025,1998.0,0.0,0
DNpe027,1508.0,0.0,0
DNp35,3596.0,0.0,0
DNpe048,1176.0,0.0,0
DNpe029,342.0,0.0,0
DNpe052,445.0,0.0,0
DNpe032,1542.0,0.0,0
DNpe034,971.0,0.0,0
DNpe039,1309.0,0.0,0
DNp30,261.0,0.0,0
DNp32,1212.0,0.0,0
untyped_720575941436586784,172.0,0.0,0
DNpe054,1662.0,0.0,0
DNp34,2484.0,0.0,0
DNpe041,1689.0,0.0,0
DNpe042,4207.0,0.0,0
DNpe031,2708.0,0.0,0
DNp54,4478.0,0.0,0
DNpe018,37.0,0.0,0
DNp39,767.0,0.0,0
DNp69,5400.0,0.0,0
DNp68,3765.0,0.0,0
DNp67,1136.0,0.0,0
DNp66,3896.0,0.0,0
DNp65,2537.0,0.0,0
DNp64,3193.0,0.0,0
DNp62,492.0,0.0,0
