dn_group,DLM1,DLM5,DVM1A,DVM2A,DVM3A,b1,b2,b3,hg1,hg2,hg3,hg4,i1,i2,iii1,iii3,iii4,ps1
DNa02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013464991023339318,0.007405745062836625,0.0,0.0,0.0029174147217235187,0.0011220825852782765,0.0,0.0,0.0,0.0020197486535008975,0.0
DNa03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010830324909747292,0.0,0.0,0.0,0.0,0.0
DNa04,0.0,0.0,0.0,0.0,0.0,0.0,0.0018214936247723133,0.027625986642380085,0.07073466909532483,0.0,0.0021250758955676987,0.015482695810564663,0.028840315725561626,0.0,0.0,0.0,0.007285974499089253,0.0
DNa05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009893992932862191,0.011307420494699646,0.0,0.0,0.0,0.0353356890459364,0.0,0.0,0.0,0.0,0.0
DNa07,0.0,0.0,0.0,0.0,0.0,0.0,0.06484641638225255,0.0,0.1945392491467577,0.034129692832764506,0.0,0.010238907849829351,0.030716723549488054,0.0,0.0,0.0,0.051194539249146756,0.0
DNa08,0.28360215053763443,0.04704301075268817,0.033602150537634407,0.033602150537634407,0.008064516129032258,0.0,0.0,0.06989247311827956,0.0,0.005376344086021506,0.01478494623655914,0.0,0.0,0.005376344086021506,0.0,0.0,0.0,0.0
DNa09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008321096426823299,0.0,0.0,0.0,0.0,0.003915810083210965,0.0,0.0,0.0,0.0,0.0
DNa10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02530044275774826,0.002530044275774826,0.0,0.0,0.0,0.01739405439595193,0.13314358001265023,0.002213788741302973,0.0,0.0,0.0
DNa12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004250797024442083,0.0
DNa15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02754399387911247,0.019127773527161437,0.0,0.0,0.0,0.018617699566437135,0.0,0.0,0.0,0.0,0.0
DNa16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031902552204176333,0.0095707656612529,0.0,0.0,0.03248259860788863,0.0,0.0,0.0,0.0,0.005510440835266821,0.0
DNae002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03108003108003108,0.011655011655011656,0.0,0.0,0.001554001554001554,0.006216006216006216,0.0,0.0,0.0,0.0,0.0
DNae003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01678445229681979,0.0,0.0,0.0,0.0,0.002208480565371025,0.0,0.0,0.0,0.0,0.0
DNb01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005840071877807727,0.01302785265049416,0.016621743036837375,0.008535489667565139,0.0,0.02021563342318059,0.0,0.0,0.0,0.0,0.0
