dn_group,denominator_output,total_wing_output_fraction,n_muscles_ge_0.01
DNge015,81.0,0.5061728395061729,3
DNa08,744.0,0.5013440860215054,6
DNa07,293.0,0.3856655290102389,6
DNpe010,60.0,0.3833333333333333,3
DNp31,4725.0,0.33925925925925926,6
DNg26,188.0,0.324468085106383,1
DNg82,1511.0,0.32164129715420253,6
DNut053,920.0,0.29239130434782606,4
DNg110,925.0,0.2854054054054054,4
untyped_720575941434874912,157.0,0.2802547770700637,3
DNp03,1243.0,0.2711182622687047,7
DNg04,1323.0,0.26303854875283444,4
DNut051,661.0,0.2586989409984871,2
DNg02,5907.0,0.23988488234298289,3
DNa10,3162.0,0.1805819101834282,3
DNut040,3173.0,0.16325244248345414,7
DNg05,2096.0,0.15935114503816794,5
DNp63,1237.0,0.1576394502829426,2
DNa04,3294.0,0.15391621129326047,4
DNg50,419.0,0.1360381861575179,2
DNg27,2049.0,0.1268911664226452,2
DNge154,152.0,0.125,4
DNxn125,3063.0,0.12373490042442051,4
DNp33,2152.0,0.11942379182156133,5
DNbe005,966.0,0.11180124223602483,3
DNge110,306.0,0.09803921568627451,3
DNge148,1715.0,0.0967930029154519,2
DNg92,630.0,0.09365079365079365,2
DNge175,503.0,0.09343936381709742,4
DNnt007,87.0,0.09195402298850575,1
DNge071,341.0,0.09090909090909091,3
DNge038,565.0,0.07964601769911504,3
DNxn007,1089.0,0.07897153351698806,3
DNp26,1702.0,0.07403055229142186,3
DNg17,2121.0,0.07307873644507308,2
DNut037,1248.0,0.07291666666666667,2
DNge092,260.0,0.06923076923076923,1
DNp51,1172.0,0.06655290102389079,2
DNa15,3921.0,0.06528946697271104,3
DNut058,636.0,0.06446540880503145,3
DNb01,2226.0,0.06424079065588499,3
DNpe053,997.0,0.059177532597793375,1
DNpe005,2309.0,0.0584668687743612,1
DNa05,2830.0,0.05653710247349823,2
DNp49,3814.0,0.05558468799160986,1
DNg91,1459.0,0.055517477724468814,2
DNxn118,797.0,0.05144291091593475,3
DNa16,3448.0,0.05075406032482598,1
DNae002,2574.0,0.050505050505050504,2
DNg10,2498.0,0.0500400320256205,1
DNxn136,303.0,0.04950495049504951,1
DNxl082,473.0,0.048625792811839326,1
DNxn122,2069.0,0.046399226679555344,2
DNp28,1494.0,0.04618473895582329,2
DNxn124,4217.0,0.04576713303296182,1
DNp60,645.0,0.04496124031007752,1
DNge150,67.0,0.04477611940298507,1
DNxn113,249.0,0.04417670682730923,2
DNb07,5845.0,0.041231822070145425,2
DNut047,634.0,0.04100946372239748,2
DNge090,498.0,0.040160642570281124,2
DNp22,3983.0,0.03866432337434095,2
DNut054,828.0,0.03864734299516908,2
DNxn109,597.0,0.038525963149078725,1
DNp57,1267.0,0.037095501183898975,1
DNge014,331.0,0.03625377643504532,2
DNp05,1555.0,0.03279742765273312,1
DNg01,1238.0,0.02827140549273021,1
DNb05,5058.0,0.027876631079478055,1
DNxn102,2345.0,0.026865671641791045,1
DNge118,411.0,0.026763990267639905,1
DNg08,2684.0,0.02608047690014903,1
DNg76,878.0,0.025056947608200455,1
DNb06,2449.0,0.023683135973866884,1
DNg99,2686.0,0.02345495160089352,1
DNpe055,1163.0,0.023215821152192603,1
DNp19,2495.0,0.021643286573146292,1
DNg06,1248.0,0.021634615384615384,1
DNg51,701.0,0.021398002853067047,1
DNge095,472.0,0.0211864406779661,1
DNge016,537.0,0.020484171322160148,1
DNp18,5628.0,0.020078180525941722,0
DNg09,415.0,0.01927710843373494,1
DNae003,2264.0,0.018992932862190816,1
DNg42,1428.0,0.018907563025210083,1
DNxn142,3206.0,0.015907673112913287,0
DNxn177,1511.0,0.01588352084712111,1
DNge145,320.0,0.015625,1
DNxn114,450.0,0.015555555555555555,0
DNxn126,606.0,0.01485148514851485,0
DNa02,4456.0,0.01481149012567325,0
DNg32,1757.0,0.014797951052931134,1
DNg93,9520.0,0.014390756302521008,1
DNxl130,3492.0,0.013745704467353952,0
DNut048,223.0,0.013452914798206279,1
DNge001,473.0,0.012684989429175475,1
DNp16,1118.0,0.012522361359570662,1
DNut062,241.0,0.012448132780082987,1
DNg07,1940.0,0.012371134020618556,0
DNa09,2043.0,0.012236906510034264,0
DNp73,3348.0,0.011947431302270013,0
DNnt012,617.0,0.011345218800648298,1
DNa03,554.0,0.010830324909747292,1
DNg03,1034.0,0.010638297872340427,0
DNut050,379.0,0.010554089709762533,1
DNxn151,2661.0,0.010522360015031942,0
DNxl119,1642.0,0.010353227771010961,0
DNg71,1962.0,0.010193679918450561,0
DNge049,4699.0,0.009150883166631199,0
DNp72,1008.0,0.008928571428571428,0
DNbe007,563.0,0.008880994671403197,0
DNg108,15938.0,0.008846781277450118,0
DNp13,4191.0,0.007396802672393224,0
DNp48,2311.0,0.006923409779316313,0
DNge048,2169.0,0.006915629322268326,0
DNg81,435.0,0.006896551724137931,0
aSP22,893.0,0.006718924972004479,0
DNge109,461.0,0.006507592190889371,0
DNg74,20161.0,0.006448092852537076,0
DNpe013,966.0,0.006211180124223602,0
DNp07,2707.0,0.005910602142593277,0
DNg41,1358.0,0.005891016200294551,0
DNge032,855.0,0.005847953216374269,0
DNxn117,718.0,0.005571030640668524,0
DNnt017,737.0,0.005427408412483039,0
DNp15,1765.0,0.0050991501416430595,0
DNpe003,991.0,0.005045408678102927,0
DNxn163,3647.0,0.004661365505895256,0
DNa12,941.0,0.004250797024442083,0
DNg79,4021.0,0.003979109674210396,0
DNp02,3755.0,0.0037283621837549932,0
DNpe001,805.0,0.0037267080745341614,0
DNb03,2824.0,0.0028328611898017,0
DNg37,3899.0,0.0028212362144139523,0
DNxn176,1116.0,0.002688172043010753,0
DNp11,3791.0,0.002637826431020839,0
DNpe045,3070.0,0.001954397394136808,0
DNg15,5005.0,0.0017982017982017982,0
DNg35,3480.0,0.0017241379310344827,0
DNb02,1782.0,0.0016835016835016834,0
DNxn168,4902.0,0.0012239902080783353,0
DNp10,5986.0,0.0010023387905111927,0
DNg100,13369.0,0.00044879946144064627,0
DNpe052,137.0,0.0,0
DNxn179,3256.0,0.0,0
DNpe028,439.0,0.0,0
DNpe054,1534.0,0.0,0
DNpe012,99.0,0.0,0
DNpe048,0.0,0.0,0
DNpe042,1740.0,0.0,0
DNpe029,338.0,0.0,0
DNpe014,631.0,0.0,0
DNpe016,975.0,0.0,0
DNpe041,184.0,0.0,0
DNpe018,37.0,0.0,0
DNxn183,2002.0,0.0,0
DNxn181,4722.0,0.0,0
DNpe020,1313.0,0.0,0
DNpe022,1104.0,0.0,0
DNpe039,1177.0,0.0,0
DNpe034,556.0,0.0,0
DNpe025,1543.0,0.0,0
DNpe027,217.0,0.0,0
DNpe032,1336.0,0.0,0
DNpe031,1909.0,0.0,0
DNpe011,192.0,0.0,0
DNp59,5822.0,0.0,0
DNpe008,457.0,0.0,0
DNpe007,149.0,0.0,0
DNp47,3110.0,0.0,0
pIP9,523.0,0.0,0
DNp46,273.0,0.0,0
DNp45,2107.0,0.0,0
DNp44,2005.0,0.0,0
DNp43,3272.0,0.0,0
DNp42,3740.0,0.0,0
DNp41,1872.0,0.0,0
DNp39,324.0,0.0,0
DNp38,1785.0,0.0,0
DNp37,478.0,0.0,0
DNp35,1398.0,0.0,0
DNp34,1804.0,0.0,0
DNp32,172.0,0.0,0
untyped_720575941436586784,172.0,0.0,0
DNp30,34.0,0.0,0
DNp29,112.0,0.0,0
DNp27,13.0,0.0,0
DNp25,279.0,0.0,0
oviDN,15461.0,0.0,0
DNp52,0.0,0.0,0
DNp53,2376.0,0.0,0
DNp65,1255.0,0.0,0
DNpe006,1871.0,0.0,0
DNpe004,455.0,0.0,0
DNp71,2082.0,0.0,0
DNp70,1369.0,0.0,0
DNp69,4372.0,0.0,0
DNp68,2041.0,0.0,0
DNp67,980.0,0.0,0
DNp66,3068.0,0.0,0
DNp64,1384.0,0.0,0
DNp54,1638.0,0.0,0
DNxn187,2098.0,0.0,0
DNp62,64.0,0.0,0
DNxn189,154.0,0.0,0
MDN,3090.0,0.0,0
DNp58,1573.0,0.0,0
SA_DMT_DMetaN_6,43.0,0.0,0
DNp56,2216.0,0.0,0
DNp55,2873.0,0.0,0
DNxn178,911.0,0.0,0
DNxn140,1376.0,0.0,0
DNut042,2266.0,0.0,0
DNut043,276.0,0.0,0
DNxn106,121.0,0.0,0
DNxn105,30.0,0.0,0
DNxn159,1277.0,0.0,0
DNxn162,193.0,0.0,0
DNxn104,46.0,0.0,0
DNxn073,662.0,0.0,0
DNxn071,2468.0,0.0,0
DNxl134,4284.0,0.0,0
DNxl132,3678.0,0.0,0
DNxl131,863.0,0.0,0
DNxl129,2073.0,0.0,0
DNxl128,728.0,0.0,0
DNxl127,3491.0,0.0,0
DNxl125,758.0,0.0,0
DNxl124,1597.0,0.0,0
DNxl123,2311.0,0.0,0
DNxl121,1569.0,0.0,0
DNxn165,1266.0,0.0,0
DNxl120,2439.0,0.0,0
DNxl118,2451.0,0.0,0
DNxl117,1690.0,0.0,0
DNxl115,2326.0,0.0,0
DNxl114,2493.0,0.0,0
DNxn108,125.0,0.0,0
DNxn110,33.0,0.0,0
DNxn111,91.0,0.0,0
DNxn146,1433.0,0.0,0
DNxn137,8.0,0.0,0
DNxn134,327.0,0.0,0
DNxn133,28.0,0.0,0
DNxn132,208.0,0.0,0
DNxn131,1157.0,0.0,0
DNxn130,464.0,0.0,0
DNxn143,1180.0,0.0,0
DNxn144,274.0,0.0,0
DNxn145,922.0,0.0,0
DNxn129,748.0,0.0,0
DNxn128,69.0,0.0,0
DNxn112,183.0,0.0,0
DNxn127,417.0,0.0,0
DNxn148,688.0,0.0,0
DNxn152,2373.0,0.0,0
DNxn119,547.0,0.0,0
DNxn153,1923.0,0.0,0
DNxn154,562.0,0.0,0
DNxn116,59.0,0.0,0
DNxn115,13.0,0.0,0
DNxn155,2380.0,0.0,0
DNxn157,922.0,0.0,0
DNxl113,3080.0,0.0,0
DNxl112,1062.0,0.0,0
DNxl111,1571.0,0.0,0
DNxn172,683.0,0.0,0
DNxn171,510.0,0.0,0
DNxl081,344.0,0.0,0
DNxl080,14314.0,0.0,0
DNxl078,466.0,0.0,0
DNxl075,579.0,0.0,0
DNxl073,530.0,0.0,0
DNxl072,264.0,0.0,0
DNxl070,784.0,0.0,0
DNxl068,749.0,0.0,0
DNxl067,208.0,0.0,0
DNxn139,237.0,0.0,0
DNxn170,220.0,0.0,0
DNxl063,669.0,0.0,0
