dn_group,muscle,F_in,F_indirect,pathway_type
DNa10,i2,0.029276773296244785,0.013356230994801585,both
DNb07,hg2,0.02497918401332223,0.013496860174866754,both
DNp31,DLM5,0.013635526073337019,0.010602238436865703,both
DNxn124,i2,0.01321279554937413,0.01587246018358311,both
DNg02,DVM3A,0.012682926829268294,0.012978807380680536,both
DNg02,DVM2A,0.012334801762114538,0.014063117499439342,both
DNb07,hg3,0.010970927043335162,0.011770154690800954,both
DNg02,DVM1A,0.01083621020329881,0.011942751030749427,both
DNg02,ps1,0.05494864917904101,0.007326587964441829,direct_only
DNp63,hg2,0.04301970580072162,0.0017335644921023196,direct_only
DNg82,hg2,0.035525950596724955,0.0035540149111836362,direct_only
DNp31,DVM2A,0.029955947136563875,0.007869885893412256,direct_only
DNpe005,hg2,0.028032195392728283,0.0029762689104035804,direct_only
DNp49,iii1,0.026869455006337136,0.00952240378318386,direct_only
DNg05,hg2,0.025534276991396057,0.0008793699658651851,direct_only
DNp31,ps1,0.02361483613527834,0.006022198552713819,direct_only
DNxn125,b1,0.022910216718266253,0.003917004397920681,direct_only
DNge148,DVM3A,0.0224390243902439,0.0012247141341808208,direct_only
DNp31,DLM1,0.020552199198238384,0.009970853467311512,direct_only
DNa04,hg1,0.020239749826268243,0.0038077358925590003,direct_only
DNp31,DVM3A,0.01951219512195122,0.007222012659394626,direct_only
DNp31,DVM1A,0.016877637130801686,0.006622162174250828,direct_only
DNxn122,hg2,0.01582014987510408,0.0015539647572865806,direct_only
DNg05,hg3,0.015496434448710916,0.0009721553801276488,direct_only
DNut040,hg3,0.015222161272627537,0.007557972541884688,direct_only
DNut040,hg2,0.014154870940882597,0.007057846212653001,direct_only
DNg04,hg1,0.013290479499652537,0.0015943905553993517,direct_only
DNg04,hg4,0.013107445385644227,0.0009619036932213448,direct_only
DNp26,hg2,0.013044684984734944,0.0006584090797292895,direct_only
DNa15,b3,0.012627148368993335,0.006133148571316669,direct_only
DNxn125,hg2,0.011656952539550375,0.004436076824022784,direct_only
DNp57,hg2,0.011101859561476548,0.0004365262813010809,direct_only
DNa08,DVM2A,0.011013215859030838,0.004979405553222536,direct_only
DNa04,b3,0.010639541681281423,0.005489656522537454,direct_only
DNg110,ps1,0.010400994308889907,0.00036808986614306097,direct_only
DNb01,hg2,0.010269220094365806,0.0015914250196586675,direct_only
DNxn125,b2,0.010178117048346057,0.00455087429329951,direct_only
DNg27,DLM5,0.009581721024507094,0.013299384394726844,indirect_only
DNg02,DLM1,0.009316244142058607,0.0131916925669744,indirect_only
DNg02,DLM5,0.004606596646397641,0.010741318627657792,indirect_only
DNg27,DLM1,0.004093501213934842,0.014245118328415183,indirect_only
DNg27,DVM3A,0.0016260162601626016,0.03658988271293118,indirect_only
DNg27,DVM1A,0.00028768699654775604,0.026394070249350424,indirect_only
DNg27,DVM2A,0.0,0.03570539679125896,indirect_only
DNxn124,DLM1,0.0,0.010163890115370212,indirect_only
DNxn124,hg3,0.0,0.01877167094889135,indirect_only
DNxn124,ps1,0.0,0.010796851912282414,indirect_only
