dn_group,n_muscles_direct_only,n_muscles_indirect_only,n_muscles_both,n_muscles_total,overall_strategy
DNp31,5,0,1,6,mixed_across_muscles
DNg02,1,2,3,6,mixed_across_muscles
DNg27,0,5,0,5,indirect_only
DNxn124,0,3,1,4,mixed_across_muscles
DNxn125,3,0,0,3,direct_only
DNg05,2,0,0,2,direct_only
DNut040,2,0,0,2,direct_only
DNa04,2,0,0,2,direct_only
DNg04,2,0,0,2,direct_only
DNb07,0,0,2,2,both_on_every_muscle
DNg110,1,0,0,1,direct_only
DNa08,1,0,0,1,direct_only
DNge148,1,0,0,1,direct_only
DNp26,1,0,0,1,direct_only
DNb01,1,0,0,1,direct_only
DNp49,1,0,0,1,direct_only
DNp57,1,0,0,1,direct_only
DNp63,1,0,0,1,direct_only
DNpe005,1,0,0,1,direct_only
DNa15,1,0,0,1,direct_only
DNxn122,1,0,0,1,direct_only
DNa10,0,0,1,1,both_on_every_muscle
DNg82,1,0,0,1,direct_only
