dn_id,dn_name,has_direct,direct_target_mns,direct_synapses,has_indirect,indirect_target_ins,indirect_reachable_mns,indirect_synapses,category,total_synapses
720575941533704067,DNp31,True,18.0,555.0,True,27,43,424,both,979.0
720575941618366079,DNp31,True,17.0,609.0,True,21,37,316,both,925.0
720575941440280767,DNa15,True,3.0,103.0,True,20,16,659,both,762.0
720575941638407199,DNa15,True,3.0,126.0,True,19,14,593,both,719.0
720575941612044518,DNa04,True,5.0,213.0,True,16,13,465,both,678.0
720575941496011719,DNa16,True,1.0,46.0,True,7,9,611,both,657.0
720575941602323897,DNa04,True,3.0,181.0,True,16,16,388,both,569.0
720575941507568709,DNa16,True,1.0,40.0,True,8,13,474,both,514.0
720575941471808375,DNxn125,True,4.0,131.0,True,11,15,349,both,480.0
720575941552726407,DNg99,True,1.0,22.0,True,15,25,458,both,480.0
720575941450506830,DNp18,True,1.0,15.0,True,10,21,401,both,416.0
720575941547452084,DNp49,True,2.0,66.0,True,15,24,345,both,411.0
720575941515972698,DNg99,False,0.0,0.0,True,13,20,378,indirect_only,378.0
720575941645444808,DNp22,True,1.0,32.0,True,12,15,339,both,371.0
720575941510642192,DNa10,True,5.0,224.0,True,6,22,146,both,370.0
720575941504652482,DNxn124,True,2.0,65.0,True,8,23,298,both,363.0
720575941540246364,DNxn125,True,4.0,105.0,True,10,14,254,both,359.0
720575941592893992,DNp49,True,2.0,91.0,True,11,10,268,both,359.0
720575941411441323,DNxn124,True,2.0,65.0,True,6,19,270,both,335.0
720575941639588127,DNp33,True,2.0,63.0,True,12,14,270,both,333.0
720575941535245034,DNb07,False,0.0,0.0,True,10,13,322,indirect_only,322.0
720575941652633585,DNae002,True,1.0,34.0,True,12,11,287,both,321.0
720575941478585450,DNp22,True,1.0,14.0,True,12,13,300,both,314.0
720575941472160011,DNp73,False,0.0,0.0,True,11,14,306,indirect_only,306.0
720575941568870770,DNa10,True,4.0,183.0,True,6,21,122,both,305.0
720575941600878377,DNa05,True,1.0,37.0,True,17,14,264,both,301.0
720575941733034283,DNp19,False,0.0,0.0,True,18,18,296,indirect_only,296.0
720575941474063968,DNxn163,False,0.0,0.0,True,9,16,295,indirect_only,295.0
720575941652614129,DNae002,True,1.0,31.0,True,11,12,263,both,294.0
720575941560503155,DNp73,False,0.0,0.0,True,11,13,286,indirect_only,286.0
720575941563218944,DNxn122,True,2.0,24.0,True,8,10,262,both,286.0
720575941442418639,DNxn142,False,0.0,0.0,True,9,12,280,indirect_only,280.0
720575941414262161,DNxn163,True,1.0,10.0,True,12,19,261,both,271.0
720575941491972327,DNge084,False,0.0,0.0,True,7,12,267,indirect_only,267.0
720575941486700098,DNa05,True,1.0,56.0,True,13,14,211,both,267.0
720575941595189029,DNp18,True,2.0,21.0,True,5,7,242,both,263.0
720575941451941498,DNp33,True,2.0,38.0,True,12,15,221,both,259.0
720575941453030983,DNb07,True,1.0,11.0,True,9,13,240,both,251.0
720575941552603966,DNp19,False,0.0,0.0,True,16,22,250,indirect_only,250.0
720575941523099127,DNut053,True,9.0,201.0,True,4,24,47,both,248.0
720575941392812548,DNp26,True,2.0,26.0,True,9,11,220,both,246.0
720575941573616891,DNp59,False,0.0,0.0,True,9,13,243,indirect_only,243.0
720575941566309174,DNp26,True,1.0,11.0,True,9,12,229,both,240.0
720575941527162905,DNb05,True,1.0,34.0,True,6,18,203,both,237.0
720575941574675869,DNb07,False,0.0,0.0,True,7,20,221,indirect_only,221.0
720575941503549931,DNg71,False,0.0,0.0,True,9,11,215,indirect_only,215.0
720575941445707284,DNp28,False,0.0,0.0,True,6,9,214,indirect_only,214.0
720575941438410514,DNb07,False,0.0,0.0,True,5,16,205,indirect_only,205.0
720575941701235930,DNxn142,False,0.0,0.0,True,6,10,202,indirect_only,202.0
720575941476477492,DNxn122,True,1.0,10.0,True,8,13,186,both,196.0
720575941651815445,DNge084,False,0.0,0.0,True,7,11,194,indirect_only,194.0
720575941508492417,DNg71,False,0.0,0.0,True,6,9,193,indirect_only,193.0
720575941447863316,DNb05,True,2.0,38.0,True,4,10,154,both,192.0
720575941505673566,DNg82,True,6.0,93.0,True,4,8,76,both,169.0
720575941408508078,DNp08,False,0.0,0.0,True,6,8,166,indirect_only,166.0
720575941504328791,DNpe005,True,1.0,10.0,True,6,22,155,both,165.0
720575941572471454,DNg108,True,2.0,121.0,True,4,4,43,both,164.0
720575941563183016,DNg74,True,2.0,95.0,True,3,4,68,both,163.0
720575941572671995,DNp59,False,0.0,0.0,True,8,19,160,indirect_only,160.0
720575941471955264,DNut040,True,6.0,78.0,True,7,22,82,both,160.0
720575941492697264,DNp28,True,1.0,17.0,True,8,13,141,both,158.0
720575941535258802,DNxn155,False,0.0,0.0,True,5,18,157,indirect_only,157.0
720575941509010305,DNxn151,True,2.0,20.0,True,8,10,136,both,156.0
720575941438773548,DNae003,False,0.0,0.0,True,9,16,156,indirect_only,156.0
720575941618895231,DNb01,True,1.0,26.0,True,6,8,128,both,154.0
720575941631642860,DNut037,True,1.0,47.0,True,6,8,106,both,153.0
720575941625972123,DNae003,True,1.0,10.0,True,9,7,142,both,152.0
720575941463843597,DNp45,False,0.0,0.0,True,6,9,152,indirect_only,152.0
720575941662506040,DNg27,True,3.0,35.0,True,7,23,116,both,151.0
720575941540466381,DNp08,False,0.0,0.0,True,7,10,151,indirect_only,151.0
720575941478195265,DNg42,True,1.0,15.0,True,7,7,134,both,149.0
720575941598950556,DNg27,True,2.0,36.0,True,5,25,112,both,148.0
720575941532728195,DNut040,True,3.0,46.0,True,7,16,98,both,144.0
720575941594823537,DNp05,True,1.0,17.0,True,3,9,124,both,141.0
720575941595542823,DNp05,False,0.0,0.0,True,2,8,138,indirect_only,138.0
720575941510475536,DNa02,True,1.0,11.0,True,5,5,124,both,135.0
720575941508375390,DNpe005,False,0.0,0.0,True,4,20,129,indirect_only,129.0
720575941496919168,DNp57,True,1.0,18.0,True,5,6,110,both,128.0
720575941542534236,DNp13,True,1.0,14.0,True,7,11,112,both,126.0
720575941504526386,DNg55,False,0.0,0.0,True,1,1,123,indirect_only,123.0
720575941490717390,DNa09,False,0.0,0.0,True,9,12,122,indirect_only,122.0
720575941629872422,DNut037,True,1.0,28.0,True,5,4,94,both,122.0
720575941558607396,DNp03,True,6.0,84.0,True,2,2,37,both,121.0
720575941593505387,DNnt017,False,0.0,0.0,True,3,1,121,indirect_only,121.0
720575941628867042,DNg04,True,2.0,37.0,True,4,4,81,both,118.0
720575941553786503,aSP22,False,0.0,0.0,True,4,7,118,indirect_only,118.0
720575941552907838,DNp45,False,0.0,0.0,True,6,9,115,indirect_only,115.0
720575941491761895,DNp10,False,0.0,0.0,True,7,13,114,indirect_only,114.0
720575941688189935,DNb01,False,0.0,0.0,True,5,8,114,indirect_only,114.0
720575941456897005,DNa02,True,1.0,11.0,True,3,3,102,both,113.0
720575941414341521,DNxn102,True,1.0,11.0,True,4,14,102,both,113.0
720575941506310821,DNge016,False,0.0,0.0,True,4,3,110,indirect_only,110.0
720575941477013825,DNg04,True,2.0,41.0,True,3,6,68,both,109.0
720575941534222770,DNp15,False,0.0,0.0,True,5,6,109,indirect_only,109.0
720575941515619427,DNpe055,False,0.0,0.0,True,6,25,108,indirect_only,108.0
720575941470003677,DNa12,False,0.0,0.0,True,2,4,108,indirect_only,108.0
720575941408661934,DNxn155,False,0.0,0.0,True,4,16,107,indirect_only,107.0
