dn_id,dn_name
720575941543962629,DNg05
720575941574984201,DNge148
720575941626299530,DNg10
720575941688517388,DNg93
720575941591448972,DNa08
720575941652278033,DNg10
720575941390285462,DNg05
720575941394131094,DNg26
720575941433415200,DNp60
720575941632594592,DNa07
720575941480780451,DNg50
720575941439285036,DNg08
720575941405473327,DNge015
720575941408639535,DNge148
720575941429113775,DNg10
720575941476378164,DNg10
720575941490416181,DNg93
720575941546668988,DNpe053
720575941550196797,DNxl082
720575941550165054,DNg10
720575941439029951,DNg02
720575941681032125,DNg02
720575941481407427,DNg10
720575941496426695,DNg02
720575941494986951,DNg02
720575941526676045,DNg50
720575941553985875,DNg02
720575941432905943,DNg110
720575941700316378,DNg02
720575941642966629,DNg07
720575941612321382,DNa07
