dn_id,dn_name,has_direct,direct_target_mns,direct_synapses,has_indirect,indirect_target_ins,indirect_reachable_mns,indirect_synapses,category,total_synapses
720575941618366079,DNp31,True,17.0,609.0,True,21,37,316,both,925.0
720575941533704067,DNp31,True,18.0,555.0,True,27,43,424,both,979.0
720575941510642192,DNa10,True,5.0,224.0,True,6,22,146,both,370.0
720575941612044518,DNa04,True,5.0,213.0,True,16,13,465,both,678.0
720575941523099127,DNut053,True,9.0,201.0,True,4,24,47,both,248.0
720575941568870770,DNa10,True,4.0,183.0,True,6,21,122,both,305.0
720575941602323897,DNa04,True,3.0,181.0,True,16,16,388,both,569.0
720575941471808375,DNxn125,True,4.0,131.0,True,11,15,349,both,480.0
720575941638407199,DNa15,True,3.0,126.0,True,19,14,593,both,719.0
720575941572471454,DNg108,True,2.0,121.0,True,4,4,43,both,164.0
720575941540246364,DNxn125,True,4.0,105.0,True,10,14,254,both,359.0
720575941440280767,DNa15,True,3.0,103.0,True,20,16,659,both,762.0
720575941563183016,DNg74,True,2.0,95.0,True,3,4,68,both,163.0
720575941505673566,DNg82,True,6.0,93.0,True,4,8,76,both,169.0
720575941592893992,DNp49,True,2.0,91.0,True,11,10,268,both,359.0
720575941558607396,DNp03,True,6.0,84.0,True,2,2,37,both,121.0
720575941471955264,DNut040,True,6.0,78.0,True,7,22,82,both,160.0
720575941688517388,DNg93,True,1.0,70.0,False,0,0,0,direct_only,70.0
720575941511336402,DNg04,True,2.0,69.0,True,1,2,35,both,104.0
720575941547452084,DNp49,True,2.0,66.0,True,15,24,345,both,411.0
720575941504652482,DNxn124,True,2.0,65.0,True,8,23,298,both,363.0
720575941411441323,DNxn124,True,2.0,65.0,True,6,19,270,both,335.0
720575941574230523,DNg02,True,3.0,65.0,True,1,2,11,both,76.0
720575941639588127,DNp33,True,2.0,63.0,True,12,14,270,both,333.0
720575941591448972,DNa08,True,4.0,61.0,False,0,0,0,direct_only,61.0
720575941624831228,DNg17,True,1.0,58.0,True,2,14,33,both,91.0
720575941486700098,DNa05,True,1.0,56.0,True,13,14,211,both,267.0
720575941537703144,DNg04,True,2.0,54.0,True,1,2,21,both,75.0
720575941496426695,DNg02,True,4.0,54.0,False,0,0,0,direct_only,54.0
720575941574984201,DNge148,True,3.0,53.0,False,0,0,0,direct_only,53.0
