dn_id,dn_name,has_direct,direct_target_mns,direct_synapses,has_indirect,indirect_target_ins,indirect_reachable_mns,indirect_synapses,category,total_synapses
720575941440280767,DNa15,True,3.0,103.0,True,20,16,659,both,762.0
720575941496011719,DNa16,True,1.0,46.0,True,7,9,611,both,657.0
720575941638407199,DNa15,True,3.0,126.0,True,19,14,593,both,719.0
720575941507568709,DNa16,True,1.0,40.0,True,8,13,474,both,514.0
720575941612044518,DNa04,True,5.0,213.0,True,16,13,465,both,678.0
720575941552726407,DNg99,True,1.0,22.0,True,15,25,458,both,480.0
720575941533704067,DNp31,True,18.0,555.0,True,27,43,424,both,979.0
720575941450506830,DNp18,True,1.0,15.0,True,10,21,401,both,416.0
720575941602323897,DNa04,True,3.0,181.0,True,16,16,388,both,569.0
720575941515972698,DNg99,False,0.0,0.0,True,13,20,378,indirect_only,378.0
720575941471808375,DNxn125,True,4.0,131.0,True,11,15,349,both,480.0
720575941547452084,DNp49,True,2.0,66.0,True,15,24,345,both,411.0
720575941645444808,DNp22,True,1.0,32.0,True,12,15,339,both,371.0
720575941535245034,DNb07,False,0.0,0.0,True,10,13,322,indirect_only,322.0
720575941618366079,DNp31,True,17.0,609.0,True,21,37,316,both,925.0
720575941472160011,DNp73,False,0.0,0.0,True,11,14,306,indirect_only,306.0
720575941478585450,DNp22,True,1.0,14.0,True,12,13,300,both,314.0
720575941504652482,DNxn124,True,2.0,65.0,True,8,23,298,both,363.0
720575941733034283,DNp19,False,0.0,0.0,True,18,18,296,indirect_only,296.0
720575941474063968,DNxn163,False,0.0,0.0,True,9,16,295,indirect_only,295.0
720575941652633585,DNae002,True,1.0,34.0,True,12,11,287,both,321.0
720575941560503155,DNp73,False,0.0,0.0,True,11,13,286,indirect_only,286.0
720575941442418639,DNxn142,False,0.0,0.0,True,9,12,280,indirect_only,280.0
720575941411441323,DNxn124,True,2.0,65.0,True,6,19,270,both,335.0
720575941639588127,DNp33,True,2.0,63.0,True,12,14,270,both,333.0
720575941592893992,DNp49,True,2.0,91.0,True,11,10,268,both,359.0
720575941491972327,DNge084,False,0.0,0.0,True,7,12,267,indirect_only,267.0
720575941600878377,DNa05,True,1.0,37.0,True,17,14,264,both,301.0
720575941652614129,DNae002,True,1.0,31.0,True,11,12,263,both,294.0
720575941563218944,DNxn122,True,2.0,24.0,True,8,10,262,both,286.0
