dn_id,dn_name,in_id,mn_id,muscle,muscle_type,dn_in_synapses,in_mn_synapses,pathway_strength
720575941638407199,DNa15,720575941394069654,720575941456201887,hg1,steering,33,17,561
720575941638407199,DNa15,720575941394069654,720575941542412805,b3,steering,33,3,99
720575941638407199,DNa15,720575941394069654,720575941547315060,i1,steering,33,12,396
720575941638407199,DNa15,720575941394069654,720575941547315060,i1,steering,33,5,165
720575941638407199,DNa15,720575941394069654,720575941547315060,i1,steering,33,4,132
720575941638407199,DNa15,720575941394069654,720575941630940642,hg4,steering,33,3,99
720575941638407199,DNa15,720575941399309603,720575941521196211,b1,steering,3,27,81
720575941638407199,DNa15,720575941399309603,720575941624155644,b2,steering,3,3,9
720575941638407199,DNa15,720575941399309603,720575941624155644,b2,steering,3,3,9
720575941638407199,DNa15,720575941399309603,720575941624155644,b2,steering,3,11,33
720575941638407199,DNa15,720575941399309603,720575941521196211,b1,steering,6,27,162
720575941638407199,DNa15,720575941399309603,720575941624155644,b2,steering,6,3,18
720575941638407199,DNa15,720575941399309603,720575941624155644,b2,steering,6,3,18
720575941638407199,DNa15,720575941399309603,720575941624155644,b2,steering,6,11,66
720575941638407199,DNa15,720575941400818723,720575941456201887,hg1,steering,18,4,72
720575941638407199,DNa15,720575941400818723,720575941468288375,hg3,steering,18,8,144
720575941638407199,DNa15,720575941400818723,720575941479658831,hg2,steering,18,4,72
720575941638407199,DNa15,720575941400818723,720575941483845954,hg3,steering,18,5,90
720575941638407199,DNa15,720575941400818723,720575941513173763,hg4,steering,18,36,648
720575941638407199,DNa15,720575941400818723,720575941513173763,hg4,steering,18,4,72
720575941638407199,DNa15,720575941400818723,720575941513173763,hg4,steering,18,10,180
720575941638407199,DNa15,720575941400818723,720575941513173763,hg4,steering,18,11,198
720575941638407199,DNa15,720575941400818723,720575941513173763,hg4,steering,18,3,54
720575941638407199,DNa15,720575941400818723,720575941580669817,hg1,steering,18,26,468
