source,target,weight,neuropil,nt_type,muscle,muscle_type
720575941390285462,720575941732789547,15,VNC_unassigned_R,,hg2,steering
720575941392812548,720575941456201887,11,VNC_HTct_L,,hg1,steering
720575941392812548,720575941547315060,15,VNC_IntTct_L,,i1,steering
720575941394131094,720575941643100754,12,VNC_WTct_R,,ps1,steering
720575941405473327,720575941519783640,10,VNC_WTct_L,,DLM1,power
720575941408639535,720575941566847847,10,VNC_WTct_L,,DVM1A,power
720575941408639535,720575941590220684,14,VNC_WTct_L,,DVM3A,power
720575941411441323,720575941475745898,11,VNC_IntTct_R,,i2,steering
720575941411441323,720575941475745898,13,VNC_WTct_R,,i2,steering
720575941411441323,720575941547394081,24,VNC_IntTct_L,,i2,steering
720575941411441323,720575941547394081,17,VNC_WTct_L,,i2,steering
720575941414262161,720575941629172716,10,VNC_LTct_R,,iii1,steering
720575941414341521,720575941479034563,11,VNC_WTct_R,,DLM1,power
720575941429113775,720575941630940642,11,VNC_NTct_L,,hg4,steering
720575941431097737,720575941603635190,10,VNC_WTct_R,,DVM1A,power
720575941432905943,720575941645041313,10,VNC_WTct_L,,ps1,steering
720575941433415200,720575941468288375,20,VNC_WTct_R,,hg3,steering
720575941433415200,720575941688499212,11,VNC_WTct_R,,unknown,unknown
720575941436259602,720575941542412805,12,VNC_NTct_L,,b3,steering
720575941439029951,720575941645041313,13,VNC_HTct_L,,ps1,steering
720575941439285036,720575941475745898,14,VNC_IntTct_R,,i2,steering
720575941440280767,720575941468897856,15,VNC_HTct_R,,i1,steering
720575941440280767,720575941468897856,16,VNC_IntTct_R,,i1,steering
720575941440280767,720575941474574132,11,VNC_HTct_R,,b3,steering
720575941440280767,720575941474574132,14,VNC_IntTct_R,,b3,steering
720575941440280767,720575941474574132,20,VNC_WTct_R,,b3,steering
720575941440280767,720575941580669817,14,VNC_HTct_R,,hg1,steering
720575941440280767,720575941580669817,13,VNC_IntTct_R,,hg1,steering
720575941441633883,720575941569529458,11,VNC_WTct_L,,unknown,unknown
720575941441643867,720575941643100754,12,VNC_WTct_R,,ps1,steering
720575941441974479,720575941645041313,16,VNC_HTct_L,,ps1,steering
720575941447863316,720575941580669817,13,VNC_IntTct_R,,hg1,steering
720575941447863316,720575941655597785,25,VNC_IntTct_R,,b2,steering
720575941450506830,720575941655597785,15,VNC_WTct_R,,b2,steering
720575941451941498,720575941468897856,16,VNC_IntTct_R,,i1,steering
720575941451941498,720575941475745898,22,VNC_IntTct_R,,i2,steering
720575941453030983,720575941463144336,11,VNC_WTct_R,,DLM1,power
