source,target,weight,neuropil,nt_type,dn_name,in_name,in_rank,in_score,in_cluster,dn_specialization
720575941392812548,720575941572251144,45,VNC_HTct_L,,DNp26,720575941572251144,13,45.201551287463005,1,steering_control
720575941392812548,720575941572251144,17,VNC_IntTct_L,,DNp26,720575941572251144,13,45.201551287463005,1,steering_control
720575941392812548,720575941579868917,10,VNC_IntTct_L,,DNp26,720575941579868917,37,37.05389094430501,4,steering_control
720575941392812548,720575941611080010,13,VNC_HTct_L,,DNp26,720575941611080010,45,36.5042123371087,5,steering_control
720575941400285475,720575941579868917,45,VNC_NTct_L,,DNnt020,720575941579868917,37,37.05389094430501,4,steering_control
720575941408661934,720575941519213016,12,VNC_IntTct_L,,DNxn155,720575941519213016,32,38.932820302033775,2,steering_control
720575941411212715,720575941579868917,13,VNC_NTct_L,,DNg32,720575941579868917,37,37.05389094430501,4,steering_control
720575941411441323,720575941623108298,29,VNC_HTct_R,,DNxn124,720575941623108298,1,61.48917156774057,3,steering_control
720575941411441323,720575941623108298,27,VNC_IntTct_R,,DNxn124,720575941623108298,1,61.48917156774057,3,steering_control
720575941411441323,720575941623108298,36,VNC_WTct_R,,DNxn124,720575941623108298,1,61.48917156774057,3,steering_control
720575941411441323,720575941671138727,12,VNC_HTct_L,,DNxn124,720575941671138727,19,43.07185790314436,3,steering_control
720575941411441323,720575941671138727,32,VNC_IntTct_L,,DNxn124,720575941671138727,19,43.07185790314436,3,steering_control
720575941411441323,720575941671138727,11,VNC_NTct_L,,DNxn124,720575941671138727,19,43.07185790314436,3,steering_control
720575941411441323,720575941671138727,31,VNC_WTct_L,,DNxn124,720575941671138727,19,43.07185790314436,3,steering_control
720575941411472555,720575941477166622,22,VNC_IntTct_L,,DNb09,720575941477166622,28,39.98144562172689,5,steering_control
720575941412619631,720575941473850720,12,VNC_IntTct_L,,DNxn153,720575941473850720,49,36.094129825843325,5,steering_control
720575941414262161,720575941457802480,23,VNC_IntTct_R,,DNxn163,720575941457802480,6,48.06843106807939,2,power_control
720575941414262161,720575941457802480,57,VNC_LTct_R,,DNxn163,720575941457802480,6,48.06843106807939,2,power_control
720575941414262161,720575941474741819,41,VNC_LTct_R,,DNxn163,720575941474741819,14,45.09030416514421,2,power_control
720575941414341521,720575941532246762,52,VNC_IntTct_R,,DNxn102,720575941532246762,36,37.60221501644136,5,steering_control
720575941414341521,720575941557612915,11,VNC_IntTct_R,,DNxn102,720575941557612915,11,45.47062630877588,1,steering_control
720575941414424977,720575941473850720,16,VNC_IntTct_L,,DNp57,720575941473850720,49,36.094129825843325,5,steering_control
720575941414424977,720575941477166622,10,VNC_IntTct_L,,DNp57,720575941477166622,28,39.98144562172689,5,steering_control
720575941414424977,720575941572251144,14,VNC_HTct_L,,DNp57,720575941572251144,13,45.201551287463005,1,steering_control
720575941414424977,720575941572251144,15,VNC_IntTct_L,,DNp57,720575941572251144,13,45.201551287463005,1,steering_control
720575941430069641,720575941608991050,14,VNC_HTct_R,,DNp17,720575941608991050,22,42.72906772882216,1,steering_control
720575941430069641,720575941608991050,17,VNC_IntTct_R,,DNp17,720575941608991050,22,42.72906772882216,1,steering_control
720575941430250377,720575941457147206,15,VNC_HTct_L,,DNg91,720575941457147206,38,37.02653434949327,4,steering_control
720575941430250377,720575941457147206,25,VNC_IntTct_L,,DNg91,720575941457147206,38,37.02653434949327,4,steering_control
720575941433654048,720575941557612915,12,VNC_HTct_R,,DNge175,720575941557612915,11,45.47062630877588,1,steering_control
720575941433654048,720575941557612915,15,VNC_IntTct_R,,DNge175,720575941557612915,11,45.47062630877588,1,steering_control
720575941433654048,720575941608991050,14,VNC_HTct_R,,DNge175,720575941608991050,22,42.72906772882216,1,steering_control
720575941435430542,720575941477166622,31,VNC_IntTct_L,,DNg42,720575941477166622,28,39.98144562172689,5,steering_control
720575941435430542,720575941477166622,13,VNC_NTct_L,,DNg42,720575941477166622,28,39.98144562172689,5,steering_control
720575941436052768,720575941557612915,14,VNC_HTct_R,,DNut043,720575941557612915,11,45.47062630877588,1,steering_control
720575941436259602,720575941671138727,14,VNC_HTct_L,,DNut047,720575941671138727,19,43.07185790314436,3,steering_control
720575941438410514,720575941623108298,23,VNC_HTct_R,,DNb07,720575941623108298,1,61.48917156774057,3,steering_control
720575941438410514,720575941623108298,19,VNC_IntTct_R,,DNb07,720575941623108298,1,61.48917156774057,3,steering_control
720575941438410514,720575941623108298,29,VNC_WTct_R,,DNb07,720575941623108298,1,61.48917156774057,3,steering_control
720575941438410514,720575941671138727,21,VNC_HTct_L,,DNb07,720575941671138727,19,43.07185790314436,3,steering_control
720575941438410514,720575941671138727,20,VNC_IntTct_L,,DNb07,720575941671138727,19,43.07185790314436,3,steering_control
