source,target,weight,neuropil,nt_type,dn_name,in_name,in_rank,in_score,in_cluster,dn_specialization
720575941474063968,720575941474741819,81,VNC_LTct_L,,DNxn163,720575941474741819,6,67.21221156339116,4,power_control
720575941491972327,720575941456348575,74,VNC_IntTct_R,,DNge084,720575941456348575,10,61.96655431682648,2,steering_control
720575941491972327,720575941477884802,68,VNC_HTct_R,,DNge084,720575941477884802,37,49.28787485956254,2,steering_control
720575941651815445,720575941457147206,66,VNC_IntTct_L,,DNge084,720575941457147206,28,50.37810042347231,2,steering_control
720575941474063968,720575941457802480,62,VNC_LTct_L,,DNxn163,720575941457802480,5,68.98863538155713,4,power_control
720575941447863316,720575941457802480,59,VNC_IntTct_R,,DNb05,720575941457802480,5,68.98863538155713,4,power_control
720575941414262161,720575941457802480,57,VNC_LTct_R,,DNxn163,720575941457802480,5,68.98863538155713,4,steering_control
720575941527162905,720575941474741819,57,VNC_LTct_L,,DNb05,720575941474741819,6,67.21221156339116,4,power_control
720575941595542823,720575941457802480,52,VNC_LTct_R,,DNp05,720575941457802480,5,68.98863538155713,4,power_control
720575941515972698,720575941671138727,51,VNC_IntTct_L,,DNg99,720575941671138727,3,70.40012985890591,5,steering_control
720575941645444808,720575941456348575,48,VNC_IntTct_R,,DNp22,720575941456348575,10,61.96655431682648,2,steering_control
720575941527162905,720575941474741819,47,VNC_IntTct_L,,DNb05,720575941474741819,6,67.21221156339116,4,power_control
720575941447863316,720575941457802480,43,VNC_LTct_R,,DNb05,720575941457802480,5,68.98863538155713,4,power_control
720575941573616891,720575941474741819,43,VNC_LTct_L,,DNp59,720575941474741819,6,67.21221156339116,4,steering_control
720575941595542823,720575941474741819,42,VNC_LTct_R,,DNp05,720575941474741819,6,67.21221156339116,4,power_control
720575941414262161,720575941474741819,41,VNC_LTct_R,,DNxn163,720575941474741819,6,67.21221156339116,4,steering_control
720575941550794751,720575941438938175,40,VNC_HTct_L,,DNg36,720575941438938175,35,49.351179673321184,2,steering_control
720575941552726407,720575941623108298,40,VNC_IntTct_R,,DNg99,720575941623108298,4,69.82304058399461,5,steering_control
720575941527162905,720575941457802480,39,VNC_LTct_L,,DNb05,720575941457802480,5,68.98863538155713,4,power_control
720575941496011719,720575941438938175,37,VNC_HTct_L,,DNa16,720575941438938175,35,49.351179673321184,2,steering_control
