dn_group,in_group,numerator_synapses,denominator_input,input_fraction
DNxn145,IN02A029,8,11.0,0.7272727272727273
DNut040,IN06A129,14,21.0,0.6666666666666666
DNxn122,IN02A063,3,6.0,0.5
DNb03,IN06A099,16,35.0,0.45714285714285713
DNp17,IN02A035,98,238.0,0.4117647058823529
pIP9,INFST153,66,165.0,0.4
pIP9,IN17A094,82,232.0,0.35344827586206895
DNb03,IN06A036,95,287.0,0.3310104529616725
DNg02,IN06A023,144,438.0,0.3287671232876712
DNp49,IN06B064,68,217.0,0.31336405529953915
DNg02,INXXX146,34,111.0,0.3063063063063063
DNxn124,IN03B090,111,417.0,0.26618705035971224
DNg41,IN06A099,9,35.0,0.2571428571428571
DNb04,IN03B043,164,666.0,0.24624624624624625
DNg29,IN08B085,64,269.0,0.2379182156133829
DNpe005,IN06A103,77,324.0,0.23765432098765432
DNb07,IN00A040,268,1138.0,0.23550087873462214
DNxn124,IN02A048,23,99.0,0.23232323232323232
DNb03,IN06A051,116,512.0,0.2265625
DNpe005,IN06A081,117,528.0,0.2215909090909091
DNg02,IN07B030,237,1118.0,0.21198568872987478
DNa05,IN06A100,63,303.0,0.2079207920792079
DNxn183,IN19B047,27,134.0,0.20149253731343283
DNp53,IN12A034,116,578.0,0.20069204152249134
DNg06,IN19B020,175,904.0,0.19358407079646017
DNpe005,IN06A048,70,363.0,0.1928374655647383
DNp53,IN07B102,13,68.0,0.19117647058823528
DNp49,IN11A027,328,1742.0,0.18828932261768083
DNg08,IN06A136,8,43.0,0.18604651162790697
DNpe005,IN06A058,64,345.0,0.1855072463768116
DNp49,IN08B083,575,3312.0,0.1736111111111111
DNpe005,IN06A054,56,327.0,0.1712538226299694
DNxl123,INFST172,8,48.0,0.16666666666666666
DNg27,IN08A040,10,61.0,0.16393442622950818
DNa05,IN02A043,166,1036.0,0.16023166023166024
DNp17,IN06A101,8,51.0,0.1568627450980392
DNb02,IN06A078,47,301.0,0.15614617940199335
DNae003,IN06A047,54,346.0,0.15606936416184972
DNut040,IN06A054,51,327.0,0.1559633027522936
DNb07,INXXX146,17,111.0,0.15315315315315314
DNxn183,IN03B065,56,366.0,0.15300546448087432
DNge083,IN17A091,5,33.0,0.15151515151515152
DNp33,IN19B055,11,73.0,0.1506849315068493
DNa04,IN11A036,37,246.0,0.15040650406504066
DNb09,IN07B066,60,400.0,0.15
