in_group,muscle,numerator_synapses,denominator_input,input_fraction
IN11B013,DVM3A,739,3075,0.24032520325203252
IN11B013,DVM2A,499,2270,0.2198237885462555
IN06A002,iii3,628,3518,0.17851051733939738
IN19B043,DVM2A,380,2270,0.16740088105726872
IN11B013,DVM1A,1671,10428,0.1602416570771001
IN19B043,DLM1,5564,35422,0.15707752244367906
IN19B043,DVM3A,444,3075,0.144390243902439
IN06B066,DLM5,1488,10854,0.1370923161967938
IN19B043,DVM1A,1417,10428,0.13588415803605677
IN06B042,hg2,457,3603,0.12683874548986956
IN19B043,DLM5,1265,10854,0.11654689515386032
IN02A010,iii1,784,7890,0.09936628643852978
IN08B051,i1,1020,10448,0.09762633996937213
IN03B066,b1,629,6460,0.09736842105263158
IN06B047,hg3,702,7292,0.09626988480526605
IN06B066,DLM1,3321,35422,0.09375529332053525
IN19B067,DLM1,3195,35422,0.09019818192084016
IN17A064,iii1,697,7890,0.08833967046894804
IN12A063,hg3,637,7292,0.08735600658255623
IN03B069,iii3,303,3518,0.08612848209209778
IN03B058,ps1,1285,15287,0.08405835023222345
IN19B067,DLM5,882,10854,0.0812603648424544
IN06B047,hg4,906,11215,0.08078466339723585
IN03B086,DLM5,834,10854,0.07683803206191266
IN19B040,DVM2A,174,2270,0.07665198237885462
IN06B013,ps1,1157,15287,0.07568522273827435
w-cHIN,iii3,256,3518,0.07276861853325753
IN06A003,b3,616,8553,0.07202151291944348
IN12A052,DVM2A,163,2270,0.07180616740088105
IN03B089,DLM5,764,10854,0.07038879675695596
IN03B072,b1,443,6460,0.06857585139318885
IN10B023,iii3,239,3518,0.0679363274587834
IN08B051,i2,924,14380,0.06425591098748261
IN13A013,ps1,971,15287,0.06351802184862955
IN03B086,DLM1,2225,35422,0.06281407035175879
IN03B089,DLM1,2209,35422,0.06236237366608322
IN03B070,iii3,217,3518,0.06168277430358158
IN03B063,b1,390,6460,0.06037151702786378
IN06A022,b1,376,6460,0.05820433436532508
IN12A052,DVM3A,175,3075,0.056910569105691054
IN12A059,i2,817,14380,0.05681502086230876
IN03A011,hg3,390,7292,0.053483269336258916
IN11B016,hg3,390,7292,0.053483269336258916
IN06A019,b3,454,8553,0.053080790365953465
IN08B051,b3,447,8553,0.05226236408277797
IN06A022,b2,675,12969,0.0520471894517696
IN19B008,hg1,598,11512,0.0519457956914524
IN06A033,hg3,376,7292,0.05156335710367526
IN07B083,iii3,181,3518,0.05144968732234224
IN06B047,iii4,601,12155,0.04944467297408474
IN03B074,iii3,173,3518,0.04917566799317794
IN19B067,DVM2A,111,2270,0.04889867841409692
dMS2,hg1,560,11512,0.048644892286309936
IN19A026,b3,411,8553,0.04805331462644686
IN07B031,hg3,347,7292,0.047586396050466266
IN06A044,b3,405,8553,0.047351806383725006
IN11B014,i2,680,14380,0.04728789986091794
IN19B075,DLM5,513,10854,0.0472636815920398
IN06A033,iii4,561,12155,0.046153846153846156
IN06B061,iii1,360,7890,0.045627376425855515
IN06B047,hg1,520,11512,0.045170257123002086
