dn_group,muscle,indirect_fraction
DNg27,DVM3A,0.03658988271293118
DNg27,DVM2A,0.03570539679125896
DNg27,DVM1A,0.026394070249350424
DNxn124,hg3,0.01877167094889135
DNxn124,i2,0.01587246018358311
DNg27,DLM1,0.014245118328415183
DNg02,DVM2A,0.014063117499439342
DNb07,hg2,0.013496860174866754
DNa10,i2,0.013356230994801585
DNg27,DLM5,0.013299384394726844
DNg02,DLM1,0.0131916925669744
DNg02,DVM3A,0.012978807380680536
DNg02,DVM1A,0.011942751030749427
DNb07,hg3,0.011770154690800954
DNxn124,ps1,0.010796851912282414
DNg02,DLM5,0.010741318627657792
DNp31,DLM5,0.010602238436865703
DNxn124,DLM1,0.010163890115370212
DNp31,DLM1,0.009970853467311512
DNg02,i2,0.009703170530407684
DNp49,iii1,0.00952240378318386
DNa16,iii3,0.009503505871075534
DNxn124,hg2,0.009272164847549844
DNxn124,DLM5,0.009177380777841911
DNb07,ps1,0.00825949613767685
DNp31,DVM2A,0.007869885893412256
DNa10,DLM5,0.007630824124708855
DNut040,hg3,0.007557972541884688
DNb07,hg1,0.007355891802963992
DNg02,ps1,0.007326587964441829
DNp31,DVM3A,0.007222012659394626
DNa05,iii3,0.0071041193766059555
DNut040,hg2,0.007057846212653001
DNg06,hg2,0.006893433521450327
DNg02,hg1,0.00683442870235851
DNxn124,DVM3A,0.006755548249813798
DNg02,hg3,0.006731096606447928
DNa04,iii3,0.006709472005728365
DNp31,DVM1A,0.006622162174250828
DNp33,hg4,0.006527150842373235
DNa10,i1,0.006524716857567699
DNxn124,b3,0.006512720087850468
DNp31,hg2,0.006410829967012393
DNa10,DLM1,0.00632714723405474
DNxn124,hg4,0.006168832275152856
DNa15,b3,0.006133148571316669
DNae002,iii3,0.006117729759222112
DNp31,ps1,0.006022198552713819
DNxn124,DVM1A,0.005961027981390938
DNp33,iii3,0.005938233710732715
DNa08,DLM1,0.005906605829977229
DNxn124,iii3,0.005869478586368756
DNg04,iii3,0.005864196235282296
DNa05,b3,0.005830054000996318
DNa10,b3,0.0057088545010185
DNa10,ps1,0.005629881432649133
DNg02,hg2,0.005547037948915457
DNp19,b1,0.005529072793609315
DNp22,b1,0.005514631088620751
DNa04,b3,0.005489656522537454
DNxn124,i1,0.005481476291299081
DNa10,iii3,0.005384688657958613
DNg79,hg3,0.005355388884303521
DNa15,i1,0.005350439872770304
DNg17,DVM3A,0.005315390032841197
DNa05,hg4,0.0052101459117099925
DNxn124,iii4,0.005197201428043545
DNg41,hg4,0.005179814785153374
DNp08,iii1,0.005167332848971182
DNa05,i1,0.005021161961496285
DNa08,DLM5,0.005004455569781901
DNa08,DVM2A,0.004979405553222536
DNp33,hg1,0.004951719370506392
DNpe005,ps1,0.0049261125563828875
DNa04,i1,0.004925115664215559
DNg17,DVM2A,0.004912647952438755
DNb02,iii3,0.004870753545999739
DNa15,hg1,0.004818899990132091
DNa10,hg3,0.004782530552642816
DNg36,hg2,0.004730865896721264
DNg08,iii3,0.004730727127132586
DNa15,iii3,0.004730451472964834
DNxn124,hg1,0.0047026973360563325
DNb03,iii3,0.004582757999581391
DNxn125,b2,0.00455087429329951
DNa04,hg2,0.0044977508005846255
DNxn125,hg2,0.004436076824022784
DNa08,DVM3A,0.004390825458023494
DNxn183,DVM3A,0.0043366312032199926
DNp22,hg1,0.004299105381579808
DNbe005,hg3,0.004291038729575511
DNp49,i2,0.0042905315949094015
DNa08,DVM1A,0.004266720077152814
DNg08,hg4,0.004255494104729732
DNg17,DVM1A,0.004180270213555408
DNxn007,hg3,0.004115375283938583
DNxn183,DVM1A,0.0040108830592115625
DNb07,iii3,0.003919856187580194
DNxn125,b1,0.003917004397920681
DNg99,hg1,0.0038642303111417445
DNp53,b1,0.003863233765087789
DNp53,b2,0.0038464050926932196
DNa04,hg1,0.0038077358925590003
DNa09,hg3,0.0037965013766209964
DNae003,b1,0.003786589880006442
DNa05,iii4,0.0037766469605362354
DNa05,hg1,0.003742215559034991
DNb07,DVM1A,0.0036984995814716296
DNg32,hg4,0.003697815143051533
DNg04,hg2,0.003685841469329729
DNge084,hg1,0.003655926968849898
DNp19,hg1,0.0036364054641204575
DNg51,b1,0.0036107052426343073
DNg32,hg3,0.003579361773988977
DNp73,b1,0.0035662555194527273
DNa16,hg4,0.003562498824268555
DNg82,hg2,0.0035540149111836362
DNut058,hg2,0.003549659263057827
DNg08,hg1,0.0034854815765537547
DNpe005,DLM1,0.003459404059225049
DNp19,i1,0.0034510494434278325
DNa04,b1,0.003445586728057557
DNa09,b1,0.0034162220318280623
DNp31,i2,0.0034009788672058052
DNxn163,iii1,0.003399208316722068
DNa16,hg2,0.0033778046335927606
DNg99,b1,0.003376790715596973
DNxn124,DVM2A,0.0033743908161908867
DNb07,i2,0.0033685229417889143
DNxn007,hg2,0.003368407932347728
DNp13,hg3,0.003347691072097802
DNb07,hg4,0.00332596852602275
DNg91,b1,0.0033205531347286913
DNp22,b3,0.0033177706035150694
DNbe005,hg2,0.0032869515701149624
DNp22,b2,0.0032431771159145742
DNp33,i1,0.0031720036113588737
DNut040,iii3,0.0031548213714408177
DNp19,b2,0.0031369962158891602
DNp22,iii3,0.0031246041515729556
DNp26,iii3,0.003124334582521133
DNp31,hg1,0.003099509418478612
DNa05,hg3,0.003084663525470312
DNa10,hg1,0.0030845822269819022
DNa04,hg3,0.0030711634526626877
DNb07,DLM1,0.003019441815704159
