dn_group,DLM1,DLM5,DVM1A,DVM2A,DVM3A,b1,b2,b3,hg1,hg2,hg3,hg4,i1,i2,iii1,iii3,iii4,ps1
DNa01,3.917237547729459e-05,3.8062080823061665e-05,2.577216739001075e-05,4.7279904539621304e-05,6.053659810401558e-06,3.8710814199660594e-05,2.8882225602599863e-05,9.058002995228356e-05,3.0392504725913882e-05,5.066885272235838e-05,9.819621933426727e-05,3.665349185483562e-05,4.382235408747136e-05,1.3277773224146128e-06,1.7036163582403226e-05,0.0,5.3938173588136975e-06,1.3420285455321448e-05
DNa02,1.2248522767013954e-06,5.386718485005214e-06,6.728945090455235e-06,0.0,2.7884523218222536e-06,0.00020413791535899744,0.00015587064061331924,0.0002462090901827811,0.0006282142313911954,0.0003746607841126369,0.00047449213864311356,0.0006256059222191964,0.0002583182645815545,1.7081795832795254e-05,1.1924807334243525e-05,0.0012383492939282547,0.00032741618303925804,1.1297380595494326e-05
DNa03,6.367904403320989e-07,6.715621629597395e-07,1.58624409124076e-05,0.0,0.0,2.2957443459096393e-05,2.8930464088095518e-05,0.0010178956263308008,0.0007548999436099108,0.00039673694630048217,0.0007070769118744012,0.000352206041371446,0.0007713633173717089,0.00010698657393753578,6.788272919118576e-07,0.00023940890848898557,0.0002983569512172225,9.261123251771639e-07
DNa04,0.0005113115143300863,0.00044723549969755843,0.00044077848084179413,7.935638615222858e-05,0.00011662646580357971,0.003445586728057557,0.0021770197220873522,0.005489656522537454,0.0038077358925590003,0.0044977508005846255,0.0030711634526626877,0.0025424296492765805,0.004925115664215559,0.002263279194793969,0.0001557215151397771,0.006709472005728365,0.0021720332671674196,0.0009719086474549807
DNa05,0.00046405771300414203,0.00033112298724893114,0.0003912127920042202,0.00011084788881737332,0.00011454868809601131,0.0028978956737686023,0.001997508501053417,0.005830054000996318,0.003742215559034991,0.0018918038227287728,0.003084663525470312,0.0052101459117099925,0.005021161961496285,0.0013898120652314468,0.00021513950723238163,0.0071041193766059555,0.0037766469605362354,0.0023011086087650705
DNa06,4.4034555579290724e-07,1.4370665448034236e-06,2.221482690556127e-05,0.0,0.0,1.912327257534708e-05,3.4596585991040026e-05,4.630476761165963e-05,0.00020128596241085708,0.00019641189402810923,0.0002563770684090677,0.0013667570895726903,0.0,1.660764903093682e-05,1.8102061117649536e-06,0.0006922234100125923,0.00012478986037766656,2.7601788107838513e-05
DNa07,0.0002190571696914886,0.00024044405440467895,0.00015088151987228954,9.965127288618501e-05,5.248226529819957e-05,0.00010065038281426436,0.00020512787067465077,0.00019729725252460057,0.0002501635307073382,0.0002761327456106535,0.00023147624951061905,0.0001598677240191511,0.00032875646946719665,0.00022905683217338302,0.0,0.00012423125711091983,0.00017086267195770845,0.00013200686065598078
DNa08,0.005906605829977229,0.005004455569781901,0.004266720077152814,0.004979405553222536,0.004390825458023494,6.741810336869437e-05,3.719292573977875e-05,3.420387118756334e-05,3.1357072042339106e-05,0.0002403112797160145,0.0008077389380085209,0.0002751678859106112,8.10663697596137e-06,0.00034931893804045124,4.941343100868509e-05,0.0006278834823853572,5.95755079700558e-05,0.0012177072111407726
DNa09,0.0011741135788147174,0.0003986891155568141,9.26237988297819e-05,0.0,0.0001757303355780786,0.0034162220318280623,0.0022507387223888098,0.0011881478550296379,0.0023686028565945184,0.0007949694296296982,0.0037965013766209964,0.002749113682026094,0.0009578288629189552,0.0004022444830844708,5.059104687711923e-05,0.001613350008488124,0.0021906190823788537,0.0003011002627205719
DNa10,0.00632714723405474,0.007630824124708855,0.001936869656814697,0.0010229310710049109,0.001477422092994679,0.0006118704287487912,0.0014615730707708732,0.0057088545010185,0.0030845822269819022,0.002206085491835894,0.004782530552642816,0.0028917142335465537,0.006524716857567699,0.013356230994801585,0.0015133444023798688,0.005384688657958613,0.002456872977591615,0.005629881432649133
DNa11,0.0,0.0,2.6426987896183525e-05,0.0,0.0,0.0,0.0,2.437331228660888e-06,5.492908715210298e-05,5.4559169198348505e-05,7.671146769403099e-06,5.652624418271117e-05,2.0335721859875444e-05,7.624043625108472e-06,0.0,3.567089143787134e-05,2.8419195559884384e-05,1.4909415053328182e-06
DNa12,1.365463112416556e-05,8.385475286696778e-06,0.00036133157610127964,0.00013622331835609215,0.0002252702235518106,6.687975299077896e-06,5.51748518911618e-05,5.930873793395792e-05,5.349943122501339e-05,6.378656337549589e-05,0.0006094158506912278,0.000157695013155397,6.30122032474165e-05,0.00018011775552132607,8.55519651299433e-05,0.00022659329816331753,0.0001077959710910714,0.0001404133534337273
DNa13,4.5009634312224534e-07,1.4302809658210826e-06,1.6236350862622422e-05,0.0,2.191150490954657e-06,2.3308936646310195e-06,4.462402460701216e-06,1.3865431017729117e-05,6.37973614446225e-06,2.2756608427405883e-05,6.20857143501732e-05,6.36358732805311e-05,8.746473758068851e-06,1.426134388038943e-06,1.185928991730486e-05,3.273057050391483e-06,9.403620079722035e-06,6.034485407325037e-06
DNa14,0.0,0.0,7.467913249043188e-06,0.0,5.065066625107146e-06,0.0,3.6673325480994925e-05,0.0,6.539768748196388e-06,4.74413413072857e-05,0.0,4.03258479575914e-05,0.0,0.0,9.606720734018803e-05,0.0,9.765264649096958e-05,1.8635785605432761e-06
DNa15,0.00044452348317166197,0.0004774146054772768,0.00030820156927469935,0.00017691968071462645,5.83912746326565e-05,0.0021836417258711085,0.001785593070969304,0.006133148571316669,0.004818899990132091,0.0021690720992532213,0.00203200827915266,0.002946498069082636,0.005350439872770304,0.0007353879507797184,5.186313139407505e-05,0.004730451472964834,0.0022963881962133046,0.0003106940150092701
DNa16,0.00011951386032034713,0.00011999300296471364,0.00044820975588185584,1.209294290403386e-05,1.5323713446558547e-05,0.00041836061879264375,0.0009121476422455678,0.0004946487081181565,0.0027270701522925525,0.0033778046335927606,0.0011170750010220424,0.003562498824268555,0.00018455303579779534,0.00034657743567970654,0.00028872194221303804,0.009503505871075534,0.0012669372828255853,4.974788591785083e-05
DNae001,0.0,0.0,7.055219848406744e-05,0.0,0.0,1.4270787173407428e-06,1.1434249903597448e-06,1.3294533974513934e-06,3.0129828274643183e-05,9.467789265946518e-06,3.11870951958359e-06,3.0416803143294967e-05,3.0096968319295557e-05,1.015779136347289e-05,0.0,1.102822177092288e-06,1.184947117837014e-05,0.00016736011594337526
DNae002,4.295023082823036e-05,6.42121107963983e-05,6.648718061951942e-05,1.5548069448043535e-05,1.0956521441398873e-06,0.001858755982181466,0.001079828079615479,0.0026663869077422466,0.001582438703052083,0.0005003300413356625,0.0006706994910702121,0.0011762638889698488,0.002282169612558232,0.00032025300056222285,5.073804636812946e-05,0.006117729759222112,0.0006835153866830251,0.0003364654912035862
DNae003,0.0003841182610330876,0.00015536863279169154,4.3535564192984224e-05,0.0,4.680283873040212e-05,0.003786589880006442,0.002016092867180372,0.0012221871731517033,0.001723574248993066,0.0004011982516867286,0.0022143246471476325,0.0016274301028144347,0.001012850496709153,0.00017682520749671483,2.1353573262599405e-05,0.0013935466135524721,0.0011695548837990766,0.00025407097738216957
DNae005,0.0,0.0,1.028000478210984e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.865794520087275e-06,3.606306429485968e-06,0.0,3.27140959992343e-06,1.0186674200278164e-06,0.0,0.0,1.478382895703111e-05,0.0
DNae008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0622340061837688e-07,3.953445108940474e-06,1.1347495792600727e-06,1.6229159495357813e-06,0.0,0.0,1.0347517048612205e-06,0.0,0.0,1.5529821337860633e-07
