dn_group,muscle,indirect_fraction
DNg27,DVM3A,0.03658988271293118
DNg27,DVM2A,0.03570539679125896
DNg27,DVM1A,0.026394070249350424
DNxn124,hg3,0.01877167094889135
DNxn124,i2,0.01587246018358311
DNg27,DLM1,0.014245118328415183
DNg02,DVM2A,0.014063117499439342
DNb07,hg2,0.013496860174866754
DNa10,i2,0.013356230994801585
DNg27,DLM5,0.013299384394726844
DNg02,DLM1,0.0131916925669744
DNg02,DVM3A,0.012978807380680536
DNg02,DVM1A,0.011942751030749427
DNb07,hg3,0.011770154690800954
DNxn124,ps1,0.010796851912282414
DNg02,DLM5,0.010741318627657792
DNp31,DLM5,0.010602238436865703
DNxn124,DLM1,0.010163890115370212
