,direct_total_fraction,indirect_total_fraction,combined_total
hg2,0.2875381626422426,0.18922137614128678,0.4767595387835294
hg1,0.1178769979152189,0.16913150538729746,0.28700850330251637
hg3,0.07076247942951179,0.19043589694685245,0.2611983763763642
ps1,0.12612023287760843,0.11918703596727023,0.24530726884487866
b3,0.10920144978370162,0.12267061152976669,0.23187206131346833
DVM3A,0.0897560975609756,0.13721912713234993,0.22697522469332554
hg4,0.0688363798484173,0.15706581870687913,0.22590219855529642
i1,0.08441807044410414,0.11740634962390364,0.20182442006800777
DLM1,0.07207385240810796,0.12944999409746058,0.20152384650556854
DVM2A,0.07180616740088105,0.1277532402151371,0.19955940761601815
i2,0.06675938803894298,0.1314391836307459,0.19819857166968885
DVM1A,0.06501726121979286,0.13093707764372622,0.1959543388635191
b2,0.05505436039787185,0.1266529952688989,0.18170735566677074
DLM5,0.06099133959830477,0.11509503889026053,0.1760863784885653
iii3,0.005400795906765207,0.16881641379107853,0.17421720969784374
iii4,0.021801727684080625,0.1350866414722713,0.15688836915635193
b1,0.0346749226006192,0.11643931852157383,0.15111424112219302
iii1,0.041191381495564006,0.08198968853166978,0.12318107002723379
