Root ID,Top in/out region,Community labels,Predicted NT type,Predicted NT confidence,Verified NT type,Verified Neuropeptide,Body Part,Function,Flow,Super Class,Class,Sub Class,Hemilineage,Nerve,Soma side,Primary Cell Type,Alternative Cell Type(s),Cable length (nm),Surface area (nm^2),Volume (nm^3),neuron_type,interneuron_id,cluster
720575941350374960,WTCT,"IN08A018_T2_L,soma in VNC",GLUT,0.95,glutamate,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,08A,,right,IN08A011,"IN08A011,IN08A018",,,,IN,720575941350374960,3
720575941350393904,INTTCT.WTCT,soma in VNC,GABA,0.96,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,06B,,right,IN06B047,IN06B047,,,,IN,720575941350393904,4
720575941350409264,INTTCT.HTCT,soma in VNC,ACH,0.92,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,08B,,right,IN08B073,IN08B073,,,,IN,720575941350409264,5
720575941351927600,WTCT,soma in VNC,ACH,0.9,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,07B,,right,IN07B038,IN07B038,,,,IN,720575941351927600,3
720575941390320644,WTCT,soma in VNC,GABA,0.98,,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_interconnecting,03B,,left,IN03B071,IN03B071,,,,IN,720575941390320644,5
720575941390660502,WTCT,soma in VNC,GABA,0.99,,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,03B,,left,IN03B090,IN03B090,,,,IN,720575941390660502,2
720575941390684310,WTCT,soma in VNC,ACH,0.91,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_interconnecting,17A,,left,dMS2,dMS2,,,,IN,720575941390684310,4
720575941390688150,WTCT,soma in VNC,GABA,0.99,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,06B,,left,IN06B071,IN06B071,,,,IN,720575941390688150,4
720575941392423830,NTCT.WTCT,soma in VNC,GABA,0.98,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,06A,,right,IN06A075,IN06A075,,,,IN,720575941392423830,1
720575941392667286,LTCT.HTCT,soma in VNC,ACH,0.84,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,08B,,right,IN08B083,IN08B083,,,,IN,720575941392667286,5
720575941392743940,HTCT.WTCT,soma in VNC,GABA,0.96,,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_interconnecting,03B,,left,IN03B062,IN03B062,,,,IN,720575941392743940,1
720575941393490326,WTCT,soma in VNC,GABA,0.97,,,,proprioception,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_interconnecting,03B,,left,IN03B066,IN03B066,,,,IN,720575941393490326,1
720575941393490838,T3_METANM.INTTCT,soma in VNC,GABA,0.97,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,06B,,right,IN06B027,IN06B027,,,,IN,720575941393490838,4
720575941394069654,HTCT,soma in VNC,ACH,0.73,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_interconnecting,12A,,left,IN12A054,IN12A054,,,,IN,720575941394069654,4
720575941399188003,NTCT.HTCT,soma in VNC,ACH,0.94,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,07B,,right,IN07B063,IN07B063,,,,IN,720575941399188003,5
720575941399253283,INTTCT.WTCT,soma in VNC,GABA,0.98,,,,proprioception,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_interconnecting,03B,,right,IN03B066,IN03B066,,,,IN,720575941399253283,1
720575941399264291,WTCT,soma in VNC,GABA,0.98,,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,03B,,left,IN03B089,IN03B089,,,,IN,720575941399264291,2
720575941399309603,INTTCT.WTCT,soma in VNC,GABA,0.95,,,,proprioception,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_interconnecting,03B,,left,IN03B066,IN03B066,,,,IN,720575941399309603,1
