source,target,weight,neuropil,nt_type
720575941428412809,720575941624155644,51,VNC_WTct_L,
720575941429556655,720575941630940642,57,VNC_HTct_L,
720575941430389006,720575941458961604,57,VNC_HTct_R,
720575941431099567,720575941643100754,91,VNC_WTct_R,
720575941431311575,720575941645041313,112,VNC_WTct_L,
720575941437603669,720575941596050112,60,VNC_WTct_R,
720575941438729919,720575941534583786,61,VNC_WTct_L,
720575941438748351,720575941624155644,82,VNC_WTct_L,
720575941438935131,720575941624155644,53,VNC_WTct_L,
720575941439017423,720575941542412805,182,VNC_HTct_L,
720575941439017423,720575941547315060,100,VNC_HTct_L,
720575941441993167,720575941643100754,52,VNC_WTct_R,
720575941447294045,720575941534583786,54,VNC_WTct_L,
720575941450532174,720575941475745898,100,VNC_WTct_R,
720575941452198707,720575941489673420,81,VNC_WTct_L,
720575941452199475,720575941489673420,85,VNC_WTct_L,
720575941456348575,720575941630940642,61,VNC_HTct_L,
720575941457147206,720575941513173763,66,VNC_HTct_R,
720575941457979039,720575941629172716,62,VNC_WTct_R,
720575941458334163,720575941624155644,50,VNC_WTct_L,
720575941459883846,720575941479034563,63,VNC_WTct_R,
720575941459883846,720575941596050112,55,VNC_WTct_R,
720575941460235152,720575941479034563,66,VNC_WTct_R,
720575941460235152,720575941533190337,67,VNC_WTct_R,
720575941460235152,720575941583644382,53,VNC_WTct_R,
720575941461240019,720575941596050112,55,VNC_WTct_R,
720575941468245879,720575941643100754,53,VNC_WTct_R,
720575941470077047,720575941630940642,88,VNC_WTct_L,
720575941470111863,720575941547394081,51,VNC_WTct_L,
720575941474413873,720575941655597785,58,VNC_WTct_R,
720575941474447134,720575941596050112,72,VNC_WTct_R,
720575941474806068,720575941513173763,160,VNC_WTct_R,
720575941474806068,720575941516770670,81,VNC_WTct_R,
720575941475696746,720575941547394081,60,VNC_WTct_L,
720575941477425770,720575941547315060,55,VNC_WTct_L,
720575941477573344,720575941459347411,63,VNC_WTct_L,
720575941479369346,720575941489673420,78,VNC_WTct_L,
720575941482478778,720575941596050112,63,VNC_WTct_R,
720575941484346621,720575941459347411,51,VNC_WTct_L,
720575941486089538,720575941499558369,50,VNC_WTct_R,
720575941486089538,720575941597489344,84,VNC_WTct_R,
720575941486089538,720575941603635190,86,VNC_WTct_R,
720575941486089538,720575941624985226,52,VNC_WTct_R,
720575941487910608,720575941459347411,50,VNC_WTct_L,
720575941487910608,720575941630940642,77,VNC_WTct_L,
720575941487942608,720575941483845954,53,VNC_WTct_L,
720575941487942608,720575941630940642,51,VNC_WTct_L,
720575941488732876,720575941549822781,53,VNC_WTct_R,
720575941489089255,720575941547315060,67,VNC_WTct_L,
720575941489677001,720575941603635190,64,VNC_WTct_R,
720575941489819081,720575941472734048,77,VNC_WTct_R,
720575941489819081,720575941487139138,63,VNC_WTct_R,
720575941489819081,720575941499558369,61,VNC_WTct_R,
720575941489819081,720575941597489344,58,VNC_WTct_R,
720575941489819081,720575941603635190,94,VNC_WTct_R,
720575941492350590,720575941459347411,99,VNC_WTct_L,
720575941496830370,720575941565378919,58,VNC_HTct_L,
720575941496949410,720575941516770670,50,VNC_WTct_R,
720575941498803874,720575941489673420,117,VNC_WTct_L,
720575941499420555,720575941489673420,64,VNC_WTct_L,
720575941499544715,720575941468288375,166,VNC_WTct_R,
720575941499544715,720575941513173763,166,VNC_WTct_R,
720575941499544715,720575941516770670,167,VNC_WTct_R,
720575941499544715,720575941580669817,117,VNC_WTct_R,
720575941501026283,720575941534583786,50,VNC_WTct_L,
720575941501721138,720575941565378919,51,VNC_HTct_L,
720575941505835137,720575941597489344,72,VNC_WTct_R,
720575941505835137,720575941603635190,72,VNC_WTct_R,
720575941507228545,720575941459347411,72,VNC_WTct_L,
720575941507848208,720575941629172716,73,VNC_WTct_R,
720575941508354770,720575941516770670,85,VNC_WTct_R,
720575941511275986,720575941513173763,60,VNC_HTct_R,
720575941511275986,720575941513173763,57,VNC_WTct_R,
720575941511275986,720575941516770670,126,VNC_WTct_R,
720575941511275986,720575941580669817,64,VNC_HTct_R,
