dn_name,power,steering
720575941434874912,657,4600
720575941436586784,1589,7741
720575941606629485,27,910
DNa01,276,3519
DNa02,273,32122
DNa03,0,14735
DNa04,4731,150933
DNa05,4065,108272
DNa06,135,14144
DNa07,2002,7797
DNa08,108643,5884
DNa09,7221,54251
DNa10,68469,192803
DNa11,217,1400
DNa12,6338,7850
DNa13,216,1189
DNa14,18,1662
DNa15,4781,167920
DNa16,4261,157132
DNae001,704,1092
DNae002,479,94692
DNae003,3198,59517
DNae005,33,837
DNae008,0,24
DNb01,12475,45016
DNb02,3418,42703
DNb03,5423,10370
DNb04,9086,27833
DNb05,36632,116469
DNb06,1541,57230
DNb07,119068,311821
DNb08,332,778
DNb09,502,4481
DNbe002,309,7783
DNbe003,0,368
DNbe005,7040,35543
DNbe007,44,2701
DNd02,0,427
DNd03,6295,2907
DNd04,96,2193
DNd05,0,285
DNde001,30,920
DNde005,0,804
DNde006,36,6893
DNfl012,9,123
DNfl017,0,126
DNfl020,0,18
DNfl021,334,226
DNfl024,9,36
DNfl025,0,958
DNfl026,0,335
DNfl027,0,517
DNfl030,0,59
DNfl032,0,18
DNfl033,33,0
DNfl035,0,56
DNfl036,96,125
DNfl038,0,440
DNfl040,0,20
DNfl041,90,132
DNfl042,69,475
DNg01,329,31849
DNg02,196366,116169
DNg03,4576,20281
DNg04,3325,83088
DNg05,32448,20297
DNg06,29873,58495
DNg07,3351,77475
DNg08,4901,79846
DNg09,18,2780
DNg10,689,4305
DNg100,2575,3133
DNg105,4983,5583
DNg106,741,48409
DNg108,16980,45223
DNg109,124,926
DNg11,107,5628
DNg110,29189,14289
DNg111,390,12024
DNg12,63,2990
DNg13,456,377
DNg15,5092,45403
DNg16,131,583
DNg17,30082,18393
DNg18,0,4077
DNg19,12,167
DNg20,246,876
DNg21,3209,7297
DNg22,0,48
DNg23,0,16
DNg24,0,722
DNg26,0,63
DNg27,240075,45356
DNg29,243,738
DNg30,116,865
DNg31,93,558
DNg32,3666,51550
DNg33,1263,0
DNg34,21,93
DNg35,220,1193
DNg36,5182,27577
DNg37,1701,11662
DNg38,76,2060
DNg39,39,1109
DNg40,0,21
DNg41,3622,17969
DNg42,179,28711
DNg43,880,335
DNg44,1131,5899
DNg45,3143,5229
DNg46,0,821
DNg48,0,360
DNg49,75,2835
DNg51,63,19244
DNg53,900,550
DNg54,53,231
DNg55,0,2293
DNg56,881,4700
DNg57,0,15
DNg59,1211,4137
DNg60,108,99
DNg62,9,729
DNg63,236,84
DNg64,15,18
DNg65,18,708
DNg68,170,1169
DNg69,0,12
DNg70,3282,392
DNg71,3858,71007
DNg72,0,3048
DNg73,0,3281
DNg74,6900,28714
DNg75,1024,4051
DNg78,0,1051
DNg79,43212,27473
DNg80,48,0
DNg82,3777,43760
DNg84,0,660
DNg85,0,47
DNg87,80,854
DNg88,321,1121
DNg89,150,13382
DNg90,39,3526
DNg91,3457,62882
DNg92,22903,56860
DNg93,2445,5142
DNg94,93,15651
DNg95,0,18
DNg96,180,748
DNg97,314,891
DNg98,5982,11431
DNg99,44165,187996
DNge003,175,284
DNge004,39,2388
DNge006,728,15697
DNge007,48,760
DNge010,100,697
DNge014,50,7551
DNge015,156,2188
DNge016,16085,27122
DNge020,0,763
DNge023,12,57
DNge024,0,9
DNge025,0,12
DNge028,18,0
DNge032,0,2344
DNge034,0,30
DNge035,4129,7350
DNge037,96,2162
DNge038,0,737
DNge044,0,50
DNge046,57,762
DNge048,3526,739
DNge049,14470,7706
DNge050,1468,1967
DNge053,4650,12493
DNge054,0,391
DNge056,15,165
DNge058,9,72
DNge059,32,298
DNge060,21,332
DNge062,0,51
DNge063,1358,867
DNge068,0,180
DNge069,0,12
DNge071,0,719
DNge073,97,1268
DNge074,0,24
DNge076,141,1440
DNge080,18,144
DNge081,0,748
DNge083,0,1140
DNge084,11590,99773
DNge085,169,6697
DNge088,87,7018
DNge089,151,3823
DNge090,1617,24258
DNge091,1736,79576
DNge092,172,3107
DNge093,486,9889
DNge094,111,3816
DNge095,36,4308
DNge099,208,491
DNge102,0,1518
DNge104,0,378
DNge109,54,3272
DNge110,828,8193
DNge111,0,648
DNge114,0,867
DNge115,0,1058
DNge116,0,4428
DNge117,0,147
DNge118,499,7559
DNge122,0,190
DNge127,192,120
DNge128,369,392
DNge129,1096,1175
DNge131,67,1695
DNge133,795,2732
DNge139,39,615
DNge140,422,17271
DNge142,44,288
DNge144,36,112
DNge145,0,4876
DNge148,9802,2956
DNge149,12,24
DNge150,63,366
DNge154,592,5316
DNge175,5730,22113
DNht001,0,741
DNit003,36,4598
DNit005,0,1992
DNit007,1912,8381
DNit013,0,588
DNnt007,0,207
DNnt008,24,1249
DNnt009,0,63
DNnt010,171,5072
DNnt011,243,5891
DNnt012,291,5771
DNnt013,0,1217
DNnt015,64,10972
DNnt017,348,16543
DNnt018,0,178
DNnt019,0,128
DNnt020,195,7125
DNp01,10951,5154
DNp02,10068,42109
DNp03,24587,46764
DNp04,1073,6457
DNp05,24578,46839
DNp06,6907,32265
DNp07,18400,49937
DNp08,2668,62925
DNp09,12,1311
DNp10,11018,54816
DNp103,5076,35431
DNp11,15306,40568
DNp12,380,30835
DNp13,6688,87846
DNp14,21,78
DNp15,1369,22199
DNp16,402,17893
DNp17,249,19708
DNp18,14231,102766
DNp19,8978,120464
DNp20,0,545
DNp22,7142,146811
DNp23,400,1129
DNp26,4867,61743
DNp27,0,528
DNp28,1112,62348
DNp31,164026,284978
DNp32,67,2322
DNp33,7700,136276
DNp34,16,2758
DNp35,261,1684
DNp37,2974,4731
DNp38,18,1755
DNp41,21,4539
DNp42,8243,39310
DNp43,3984,23835
DNp44,0,557
DNp45,11789,70560
DNp46,183,213
DNp47,33124,81996
DNp48,12837,1109
DNp49,13198,98211
DNp51,1568,39574
DNp53,1184,28661
DNp54,9104,26292
DNp55,276,2571
DNp56,0,60
DNp57,2476,24964
DNp59,29563,49148
DNp60,5068,5309
DNp63,38123,78133
DNp64,36,804
DNp66,216,5542
DNp67,483,715
DNp68,42,1705
DNp69,1662,20741
DNp70,1873,3261
DNp71,0,329
DNp72,1238,4884
DNp73,6785,108425
DNpe001,480,3956
DNpe003,147,1372
DNpe004,78,8265
DNpe005,45688,58334
DNpe006,9,1738
DNpe008,0,1431
DNpe010,2140,238
DNpe011,0,3255
DNpe012,18,1959
DNpe013,0,1376
DNpe014,3624,12899
DNpe016,176,1342
DNpe020,1376,808
DNpe022,0,496
DNpe025,300,1582
DNpe031,6061,23773
DNpe032,606,3546
DNpe039,220,2803
DNpe042,595,5875
DNpe045,5630,3305
DNpe052,0,63
DNpe053,2724,659
DNpe054,60,8692
DNpe055,21688,17909
DNut037,1721,36603
DNut040,13308,97491
DNut042,635,40767
DNut043,5722,8638
DNut046,242,9934
DNut047,34023,28063
DNut048,1335,11395
DNut050,14823,11564
DNut051,15982,16436
DNut053,49359,8257
DNut054,574,17969
DNut058,5190,27951
DNut062,249,13842
DNxl014,0,777
DNxl021,111,499
DNxl022,9,1087
DNxl049,669,1839
DNxl056,0,82
DNxl063,0,18
DNxl067,312,192
DNxl068,1056,2560
DNxl070,48,60
DNxl072,0,27
DNxl073,64,1339
DNxl075,24,359
DNxl078,0,45
DNxl080,4875,17573
DNxl081,18,0
DNxl082,64,1184
DNxl084,0,619
DNxl086,174,501
DNxl087,33,1043
DNxl091,0,25
DNxl092,0,772
DNxl093,260,636
DNxl094,21,0
DNxl095,0,111
DNxl096,0,135
DNxl097,117,54
DNxl100,712,2243
DNxl101,35,979
DNxl102,0,521
DNxl103,32,326
DNxl104,9,432
DNxl105,0,631
DNxl106,242,12429
DNxl107,0,158
DNxl108,201,4309
DNxl111,0,1385
DNxl112,426,4397
DNxl113,59,3365
DNxl114,30,748
DNxl115,32,1401
DNxl117,45,2564
DNxl118,0,492
DNxl119,1458,203
DNxl120,634,1742
DNxl121,922,2067
DNxl123,448,517
DNxl124,156,150
DNxl125,44,1113
DNxl127,2939,1328
DNxl128,0,354
DNxl129,78,1624
DNxl130,27563,7149
DNxl131,0,395
DNxl132,0,12
DNxl134,2096,5118
DNxn007,4309,36992
DNxn071,0,78
DNxn073,0,30
DNxn102,39960,32965
DNxn104,27,1817
DNxn105,0,252
DNxn106,0,3297
DNxn109,105,9624
DNxn110,9,876
DNxn111,28,1207
DNxn112,52,5002
DNxn113,6701,2834
DNxn114,177,19830
DNxn115,0,406
DNxn116,0,986
DNxn117,1124,32462
DNxn118,197,19758
DNxn119,72,1799
DNxn122,6543,66396
DNxn124,126533,320826
DNxn125,1758,184419
DNxn126,51,747
DNxn127,0,3870
DNxn128,12,208
DNxn130,0,164
DNxn131,145,1395
DNxn132,8156,1460
DNxn133,0,50
DNxn134,0,57
DNxn136,339,9898
DNxn139,0,140
DNxn140,3789,0
DNxn142,8364,70878
DNxn143,189,4873
DNxn144,45,6010
DNxn145,0,99
DNxn146,99,4818
DNxn148,0,125
DNxn151,5165,51554
DNxn152,968,9961
DNxn153,291,7650
DNxn154,235,521
DNxn155,29103,47195
DNxn157,536,1704
DNxn159,3327,18048
DNxn162,48,147
DNxn163,28983,92010
DNxn165,0,1116
DNxn167,0,84
DNxn168,1490,4337
DNxn170,0,128
DNxn171,357,18
DNxn172,18,7970
DNxn173,75,4293
DNxn174,0,382
DNxn175,57,3487
DNxn176,3442,16841
DNxn177,2074,538
DNxn178,221,871
DNxn179,3758,15275
DNxn181,1328,23407
DNxn183,6855,11485
DNxn187,8254,35208
DNxn189,18,856
MDN,96,334
SA_DMT_DMetaN_6,0,156
aSP22,3905,8815
pIP9,949,1722
