muscle,n_pathways,n_dns,n_ins,muscle_type,pathway_strength
ps1,731,68,44,steering,566514
b2,808,195,107,steering,310748
iii3,285,67,27,steering,297950
hg4,494,153,73,steering,264775
hg1,581,167,91,steering,246024
DLM1,724,68,40,power,237183
b3,508,122,40,steering,208302
iii4,480,146,78,steering,203720
i1,473,115,50,steering,167618
i2,353,103,57,steering,148188
DVM1A,321,71,33,power,147441
b1,365,114,60,steering,127996
iii1,138,38,27,steering,59113
hg2,209,80,17,steering,52812
hg3,129,59,31,steering,42949
DLM5,111,31,26,power,39807
DVM3A,52,18,12,power,16487
DVM2A,65,17,9,power,15669
