,muscle_type,direct_total_fraction,indirect_total_fraction,direct_share
DVM3A,power,0.0897560975609756,0.13721912713234993,0.3954444705683113
DVM2A,power,0.07180616740088105,0.1277532402151371,0.35982351450474714
DLM1,power,0.07207385240810796,0.12944999409746058,0.3576442870552116
DLM5,power,0.06099133959830477,0.11509503889026053,0.34637170757796826
DVM1A,power,0.06501726121979286,0.13093707764372622,0.33179801782841334
hg2,steering,0.2875381626422426,0.18922137614128678,0.603109406842509
ps1,steering,0.12612023287760843,0.11918703596727023,0.5141316581098183
b3,steering,0.10920144978370162,0.12267061152976669,0.4709556173569008
i1,steering,0.08441807044410414,0.11740634962390364,0.4182748074571858
hg1,steering,0.1178769979152189,0.16913150538729746,0.4107090785075893
i2,steering,0.06675938803894298,0.1314391836307459,0.33683082313126833
iii1,steering,0.041191381495564006,0.08198968853166978,0.334397009917653
hg4,steering,0.0688363798484173,0.15706581870687913,0.3047176180163094
b2,steering,0.05505436039787185,0.1266529952688989,0.30298366401212107
hg3,steering,0.07076247942951179,0.19043589694685245,0.270914698671592
b1,steering,0.0346749226006192,0.11643931852157383,0.22946164665301522
iii4,steering,0.021801727684080625,0.1350866414722713,0.13896331386014626
iii3,steering,0.005400795906765207,0.16881641379107853,0.031000358208768005
