source,target,weight,neuropil,nt_type,target_total_input,shrec_score,target_cluster,target_function
720575941350890544,720575941489038311,3,VNC_WTct_R,,205,1.4634146341463417,3,power_control
720575941350890544,720575941563316022,3,VNC_unassigned_R,,343,0.8746355685131195,4,steering_control
720575941350890544,720575941567030516,2,VNC_IntTct_R,,169,1.183431952662722,1,power_control
720575941350890544,720575941567030516,2,VNC_NTct_R,,169,1.183431952662722,1,power_control
720575941350890544,720575941579017337,3,VNC_IntTct_R,,210,1.4285714285714286,4,steering_control
720575941352918576,720575941449942877,7,VNC_T2_MesoNm_L,,108,6.481481481481481,1,power_control
720575941352918576,720575941449942877,2,VNC_unassigned_L,,108,1.8518518518518516,1,power_control
720575941352918576,720575941533786906,1,VNC_AMNp_R,,162,0.6172839506172839,1,power_control
720575941352918576,720575941533786906,7,VNC_T2_MesoNm_R,,162,4.320987654320987,1,power_control
720575941352918576,720575941533786906,2,VNC_WTct_R,,162,1.2345679012345678,1,power_control
720575941352918576,720575941533786906,2,VNC_unassigned_R,,162,1.2345679012345678,1,power_control
720575941352918576,720575941555938899,1,VNC_AMNp_R,,39,2.564102564102564,1,power_control
720575941352918576,720575941555938899,1,VNC_T1_ProNm_R,,39,2.564102564102564,1,power_control
720575941352918576,720575941555938899,3,VNC_WTct_R,,39,7.6923076923076925,1,power_control
720575941352918576,720575941555938899,1,VNC_unassigned_R,,39,2.564102564102564,1,power_control
720575941352918576,720575941578793809,4,VNC_AMNp_L,,94,4.25531914893617,3,power_control
720575941352918576,720575941578793809,1,VNC_T2_MesoNm_L,,94,1.0638297872340425,3,power_control
720575941352918576,720575941626286474,5,VNC_AMNp_R,,112,4.464285714285714,3,power_control
720575941390308246,720575941491651559,2,VNC_IntTct_R,,162,1.2345679012345678,5,steering_control
720575941390308246,720575941491651559,5,VNC_NTct_R,,162,3.0864197530864197,5,steering_control
720575941390308246,720575941546335676,3,VNC_WTct_R,,546,0.5494505494505495,5,steering_control
720575941392812548,720575941414508948,22,VNC_IntTct_L,,2237,0.9834599910594547,3,power_control
720575941392812548,720575941447013813,4,VNC_HTct_L,,962,0.4158004158004158,5,steering_control
720575941392812548,720575941459514512,5,VNC_HTct_L,,755,0.6622516556291391,5,steering_control
720575941392812548,720575941464073558,6,VNC_IntTct_L,,785,0.7643312101910829,5,steering_control
720575941392812548,720575941465484566,22,VNC_HTct_L,,2567,0.8570315543435918,2,steering_control
720575941392812548,720575941465484566,19,VNC_IntTct_L,,2567,0.7401636151149201,2,steering_control
720575941392812548,720575941469724125,19,VNC_IntTct_L,,1594,1.1919698870765372,5,steering_control
720575941392812548,720575941472042282,3,VNC_IntTct_L,,143,2.097902097902098,1,power_control
720575941392812548,720575941490785712,2,VNC_IntTct_L,,234,0.8547008547008548,5,steering_control
720575941392812548,720575941490785712,1,VNC_WTct_L,,234,0.4273504273504274,5,steering_control
720575941392812548,720575941501786930,3,VNC_HTct_L,,434,0.6912442396313364,5,steering_control
720575941392812548,720575941515936505,4,VNC_IntTct_L,,938,0.42643923240938164,3,power_control
720575941392812548,720575941520333047,9,VNC_HTct_L,,936,0.9615384615384616,5,steering_control
