muscle,rank,dn_group,input_fraction,numerator_synapses,denominator_input
DLM1,1,DNp31,0.020552199198238384,728,35422
DLM1,2,DNg02,0.009316244142058607,330,35422
DLM1,3,DNa08,0.005956750042346564,211,35422
DLM1,4,DNg82,0.005787363785218226,205,35422
DLM1,5,DNut053,0.00443227372819152,157,35422
DLM5,1,DNp31,0.013635526073337019,148,10854
DLM5,2,DNg27,0.009581721024507094,104,10854
DLM5,3,DNg82,0.0062649714391007924,68,10854
DLM5,4,DNut053,0.005620047908605122,61,10854
DLM5,5,DNg02,0.004606596646397641,50,10854
DVM1A,1,DNp31,0.016877637130801686,176,10428
DVM1A,2,DNg02,0.01083621020329881,113,10428
DVM1A,3,DNge148,0.008247027234369007,86,10428
DVM1A,4,DNpe053,0.004411200613732259,46,10428
DVM1A,5,DNp33,0.004411200613732259,46,10428
DVM2A,1,DNp31,0.029955947136563875,68,2270
DVM2A,2,DNg02,0.012334801762114538,28,2270
DVM2A,3,DNa08,0.011013215859030838,25,2270
DVM2A,4,DNge148,0.003524229074889868,8,2270
DVM2A,5,DNg110,0.0030837004405286344,7,2270
DVM3A,1,DNge148,0.0224390243902439,69,3075
DVM3A,2,DNp31,0.01951219512195122,60,3075
DVM3A,3,DNg02,0.012682926829268294,39,3075
DVM3A,4,DNge049,0.004227642276422764,13,3075
DVM3A,5,DNxl130,0.003902439024390244,12,3075
b1,1,DNxn125,0.022910216718266253,148,6460
b1,2,DNut040,0.005417956656346749,35,6460
b1,3,DNb05,0.003405572755417957,22,6460
b1,4,DNge175,0.0013931888544891642,9,6460
b1,5,DNut058,0.00108359133126935,7,6460
b2,1,DNxn125,0.010178117048346057,132,12969
b2,2,DNg17,0.008558871154291001,111,12969
b2,3,DNut040,0.006322769681548307,82,12969
b2,4,DNb05,0.005011951576837073,65,12969
b2,5,DNg82,0.002467422314750559,32,12969
b3,1,DNa15,0.012627148368993335,108,8553
b3,2,DNa04,0.010639541681281423,91,8553
b3,3,DNae002,0.00935344323629136,80,8553
b3,4,DNa10,0.00935344323629136,80,8553
b3,5,DNp22,0.0073658365485794455,63,8553
hg1,1,DNa04,0.020239749826268243,233,11512
hg1,2,DNg04,0.013290479499652537,153,11512
hg1,3,DNut040,0.006775538568450313,78,11512
hg1,4,DNa15,0.006514940931202224,75,11512
hg1,5,DNbe005,0.006514940931202224,75,11512
hg2,1,DNp63,0.04301970580072162,155,3603
hg2,2,DNg82,0.035525950596724955,128,3603
hg2,3,DNpe005,0.028032195392728283,101,3603
hg2,4,DNg05,0.025534276991396057,92,3603
hg2,5,DNb07,0.02497918401332223,90,3603
hg3,1,DNg05,0.015496434448710916,113,7292
hg3,2,DNut040,0.015222161272627537,111,7292
hg3,3,DNb07,0.010970927043335162,80,7292
hg3,4,DNut053,0.0047997805814591335,35,7292
hg3,5,DNxn125,0.0042512342292923755,31,7292
hg4,1,DNg04,0.013107445385644227,147,11215
hg4,2,DNa16,0.009986625055728934,112,11215
hg4,3,DNg10,0.009362460989745877,105,11215
hg4,4,DNut040,0.004636647347302719,52,11215
hg4,5,DNa04,0.004547481052162282,51,11215
i1,1,DNa05,0.009571209800918835,100,10448
i1,2,DNa04,0.009092649310872895,95,10448
i1,3,DNut037,0.007465543644716692,78,10448
i1,4,DNa15,0.006986983154670751,73,10448
i1,5,DNp22,0.0059341500765696786,62,10448
i2,1,DNa10,0.029276773296244785,421,14380
i2,2,DNxn124,0.01321279554937413,190,14380
i2,3,DNg08,0.004311543810848401,62,14380
i2,4,DNp33,0.004242002781641168,61,14380
i2,5,DNp22,0.0020166898470097357,29,14380
iii1,1,DNp49,0.026869455006337136,212,7890
iii1,2,DNp05,0.006463878326996198,51,7890
iii1,3,DNxn163,0.0021546261089987325,17,7890
iii1,4,DNg108,0.001520912547528517,12,7890
iii1,5,DNge048,0.0010139416983523447,8,7890
iii3,1,DNut054,0.0028425241614553724,10,3518
iii3,2,DNut062,0.0008527572484366117,3,3518
iii3,3,DNg32,0.0008527572484366117,3,3518
iii3,4,DNge118,0.0008527572484366117,3,3518
iii4,1,DNp33,0.0042780748663101605,52,12155
iii4,2,DNp13,0.0023035787741670093,28,12155
iii4,3,DNg04,0.001974496092143151,24,12155
iii4,4,DNa04,0.001974496092143151,24,12155
iii4,5,DNxl082,0.0018922254216371863,23,12155
ps1,1,DNg02,0.05494864917904101,840,15287
ps1,2,DNp31,0.02361483613527834,361,15287
ps1,3,DNg110,0.010400994308889907,159,15287
ps1,4,DNg108,0.007391901615751946,113,15287
ps1,5,DNg93,0.00680316608883365,104,15287
