muscle,denominator_input,rank1_dn_group,rank1_input_fraction,rank2_dn_group,rank2_input_fraction,rank3_dn_group,rank3_input_fraction,rank4_dn_group,rank4_input_fraction,rank5_dn_group,rank5_input_fraction,cumulative_top5_fraction
hg2,3603,DNp63,0.04301970580072162,DNg82,0.035525950596724955,DNpe005,0.028032195392728283,DNg05,0.025534276991396057,DNb07,0.02497918401332223,0.15709131279489313
ps1,15287,DNg02,0.05494864917904101,DNp31,0.02361483613527834,DNg110,0.010400994308889907,DNg108,0.007391901615751946,DNg93,0.00680316608883365,0.10315954732779485
DVM3A,3075,DNge148,0.0224390243902439,DNp31,0.01951219512195122,DNg02,0.012682926829268294,DNge049,0.004227642276422764,DNxl130,0.003902439024390244,0.06276422764227642
DVM2A,2270,DNp31,0.029955947136563875,DNg02,0.012334801762114538,DNa08,0.011013215859030838,DNge148,0.003524229074889868,DNg110,0.0030837004405286344,0.05991189427312776
hg1,11512,DNa04,0.020239749826268243,DNg04,0.013290479499652537,DNut040,0.006775538568450313,DNa15,0.006514940931202224,DNbe005,0.006514940931202224,0.05333564975677554
i2,14380,DNa10,0.029276773296244785,DNxn124,0.01321279554937413,DNg08,0.004311543810848401,DNp33,0.004242002781641168,DNp22,0.0020166898470097357,0.05305980528511822
hg3,7292,DNg05,0.015496434448710916,DNut040,0.015222161272627537,DNb07,0.010970927043335162,DNut053,0.0047997805814591335,DNxn125,0.0042512342292923755,0.050740537575425126
b3,8553,DNa15,0.012627148368993335,DNa04,0.010639541681281423,DNae002,0.00935344323629136,DNa10,0.00935344323629136,DNp22,0.0073658365485794455,0.04933941307143692
DLM1,35422,DNp31,0.020552199198238384,DNg02,0.009316244142058607,DNa08,0.005956750042346564,DNg82,0.005787363785218226,DNut053,0.00443227372819152,0.04604483089605331
DVM1A,10428,DNp31,0.016877637130801686,DNg02,0.01083621020329881,DNge148,0.008247027234369007,DNpe053,0.004411200613732259,DNp33,0.004411200613732259,0.04478327579593402
hg4,11215,DNg04,0.013107445385644227,DNa16,0.009986625055728934,DNg10,0.009362460989745877,DNut040,0.004636647347302719,DNa04,0.004547481052162282,0.04164065983058404
DLM5,10854,DNp31,0.013635526073337019,DNg27,0.009581721024507094,DNg82,0.0062649714391007924,DNut053,0.005620047908605122,DNg02,0.004606596646397641,0.03970886309194767
i1,10448,DNa05,0.009571209800918835,DNa04,0.009092649310872895,DNut037,0.007465543644716692,DNa15,0.006986983154670751,DNp22,0.0059341500765696786,0.03905053598774885
iii1,7890,DNp49,0.026869455006337136,DNp05,0.006463878326996198,DNxn163,0.0021546261089987325,DNg108,0.001520912547528517,DNge048,0.0010139416983523447,0.03802281368821293
b1,6460,DNxn125,0.022910216718266253,DNut040,0.005417956656346749,DNb05,0.003405572755417957,DNge175,0.0013931888544891642,DNut058,0.00108359133126935,0.03421052631578947
b2,12969,DNxn125,0.010178117048346057,DNg17,0.008558871154291001,DNut040,0.006322769681548307,DNb05,0.005011951576837073,DNg82,0.002467422314750559,0.03253913177577299
iii4,12155,DNp33,0.0042780748663101605,DNp13,0.0023035787741670093,DNg04,0.001974496092143151,DNa04,0.001974496092143151,DNxl082,0.0018922254216371863,0.012422871246400657
iii3,3518,DNut054,0.0028425241614553724,DNut062,0.0008527572484366117,DNg32,0.0008527572484366117,DNge118,0.0008527572484366117,,0.0,0.005400795906765207
